content	x	y	w	h	
5-1	6390	76	132	70	
VERB	596	215	123	44	
LIST	748	217	103	45	
PO6	4182	194	85	50	
P32	4473	198	99	54	
,	4574	198	14	54	
P72	4585	198	101	56	
P35	4955	199	93	55	
,	5054	199	15	55	
P75	5068	201	93	54	
P70	7384	199	90	55	
,	7488	201	13	53	
P71	7500	201	90	54	
NOUN	1306	208	164	49	
LIST	1516	212	100	46	
LEGIT	1152	262	107	38	
LOADABLE	1275	264	187	38	
NOUN	1477	264	114	39	
&	1622	265	10	38	
DATA	1653	265	100	38	
VALID	1157	302	100	40	
ANYTIME	1282	303	172	40	
NOUN	1469	303	113	42	
CALLED	1612	304	126	41	
V	1089	341	10	40	
-	1127	341	10	40	
DATA	1153	341	95	41	
VALID	1272	342	100	40	
ANYTIME	1397	343	171	41	
NOUN	1583	343	115	42	
CALLED	1721	345	125	40	
L	1084	380	10	39	
-	1124	380	10	39	
LEGIT	1152	380	105	40	
LOADABLE	1273	381	191	41	
NOUN	1480	382	119	41	
X	1088	418	11	43	
-	1127	418	11	43	
LEGIT	1156	419	103	43	
LOADABLE	1272	419	190	44	
NOUN	1483	420	111	45	
(	1618	422	11	42	
HR	1625	422	48	43	
,	1675	422	11	42	
MIN	1691	423	67	43	
,	1772	423	11	43	
.015	1793	423	77	43	
)	1869	423	11	43	
(	1157	459	13	46	
IF	1172	459	25	46	
LOAD	1217	459	96	47	
,	1321	461	13	45	
ENTR	1357	461	83	46	
RI	1465	462	34	45	
,	1503	462	12	45	
R2	1518	462	43	45	
,	1564	462	12	45	
R3	1580	463	41	46	
)	1620	463	13	46	
V37E06	3863	287	110	36	
E	3987	287	10	36	
50	3884	321	38	40	
25	3944	322	30	40	
(	3996	322	9	40	
00062	4007	322	95	42	
)	4104	323	10	41	
IMU	3859	363	67	42	
OPR	3945	363	65	42	
-	4028	363	11	42	
OPEN	4052	363	96	42	
,	4157	363	11	42	
PRO	4188	363	60	42	
V37E35E	4743	296	138	41	
/	4894	296	10	41	
V37E75E	4904	296	145	41	
16	4770	336	29	40	
45	4822	336	35	40	
,	4865	336	10	40	
PRO	4899	336	57	40	
DON'T	4763	385	120	51	
V32E	4904	386	83	51	
(	4987	387	14	50	
RCYCL	5000	389	120	50	
)	5119	390	13	49	
L	4744	440	12	44	
ON	4845	437	59	43	
16	4934	435	27	44	
45	4984	434	34	44	
06	4769	497	31	41	
81	4822	497	37	41	
,	4863	496	10	40	
PRO	4899	496	52	40	
/	4971	496	10	40	
L	5005	496	10	40	
,	5022	496	10	40	
PRO	5046	496	50	39	
16	4774	538	22	37	
45	4822	538	34	37	
,	4864	538	10	37	
PRO	4899	538	55	36	
37	4772	578	28	32	
V37E32E	4346	298	142	39	
/	4503	299	10	38	
V37E72E	4509	299	143	38	
06	4370	338	31	33	
11	4428	338	31	33	
(	4414	378	10	39	
T	4427	378	10	39	
APO	4458	378	62	39	
)	4535	378	11	39	
PRO	4567	378	56	39	
ON	4432	418	54	38	
0,0,0	4510	419	93	38	
(	4411	455	12	42	
T	4428	455	12	42	
CSI	4461	455	53	42	
)	4514	455	11	42	
L	4544	455	12	42	
,	4562	455	11	42	
PRO	4587	455	53	42	
06	4370	495	32	42	
55	4427	495	30	42	
,	4463	495	12	42	
L	4500	495	11	42	
,	4517	495	12	42	
PRO	4539	495	53	42	
06	4370	536	32	42	
37	4427	536	30	42	
,	4462	536	12	42	
L	4500	536	11	42	
,	4517	536	12	42	
PRO	4539	536	53	42	
16	4374	576	20	36	
45	4423	576	34	36	
9	4388	614	11	42	
(	4409	614	12	42	
RCYCL	4418	614	121	42	
)	4538	614	11	42	
V32E	4568	614	82	42	
06	4434	654	23	40	
75	4486	654	29	40	
,	4524	654	10	40	
PRO	4558	654	57	40	
06	4430	694	31	40	
81	4483	694	37	40	
,	4524	694	10	40	
PRO	4555	694	57	40	
06	4435	736	23	39	
82	4485	736	36	37	
,	4524	734	11	40	
PRO	4560	734	57	39	
.	4388	774	12	42	
(	4415	774	11	42	
FINAL	4426	774	109	41	
)	4533	772	12	43	
PRO	4562	772	61	42	
06	4372	819	28	38	
75	4427	819	34	38	
,	4464	819	11	38	
PRO	4502	819	55	38	
06	4375	854	23	41	
81	4426	854	37	41	
,	4466	854	11	41	
V90E	4499	853	81	40	
[	4354	887	11	43	
06	4375	888	24	44	
16	4428	888	24	45	
)	4469	890	10	43	
,	4486	890	11	43	
L	4522	891	10	43	
,	4539	891	11	43	
PRO	4560	891	54	44	
[	4350	926	11	43	
06	4377	928	23	43	
90	4430	928	23	43	
]	4465	929	11	43	
,	4479	929	11	43	
PRO	4513	929	55	44	
06	4375	973	23	40	
81	4422	973	36	40	
,	4462	973	10	40	
L	4500	973	10	40	
(	4520	973	10	40	
-	4533	973	10	40	
)	4549	973	10	40	
,	4562	973	10	40	
PRO	4586	973	52	40	
06	4371	1012	29	39	
82	4428	1012	29	39	
,	4466	1012	10	39	
PRO	4500	1012	57	39	
16	4375	1055	22	38	
45	4423	1055	35	38	
,	4465	1054	10	38	
PRO	4498	1054	54	38	
37	4374	1093	26	35	
POSSIBLE	4764	637	158	34	
P20	4807	684	52	46	
IN	4879	685	24	46	
BKGRND	4931	685	155	49	
05	4823	731	30	42	
09	4876	732	36	42	
(	4929	733	9	41	
00525	4940	734	92	42	
)	5040	737	10	41	
06	4828	775	18	34	
49	4879	776	31	34	
L50	4758	815	99	40	
18	4878	813	32	41	
1	4772	766	2	33	
P12	4199	461	67	48	
V37E12E	3863	492	144	34	
06	3893	535	22	38	
33	3948	534	26	38	
,	3983	534	10	38	
L	4018	534	11	38	
,	4033	534	11	38	
PRO	4057	533	55	37	
06	3891	574	29	39	
76	3946	574	21	39	
,	3982	573	10	39	
PRO	4016	573	57	39	
TIF	3856	620	67	52	
NOT	3933	620	98	52	
PGNS	4033	620	105	52	
,	4140	620	14	52	
AUTOT	4160	620	122	52	
50	3890	670	34	39	
25	3948	671	28	40	
(	3997	671	9	40	
00203	4007	671	95	41	
)	4107	673	9	39	
(	3930	709	11	42	
AUTO	3941	709	89	43	
BURN	4060	712	84	42	
)	4157	713	11	42	
SET	3948	752	59	40	
SW	4025	752	30	40	
,	4072	752	10	40	
PRO	4109	752	58	40	
L	3863	794	15	49	
(	3929	793	14	49	
MAN	3944	793	79	47	
BURN	4049	790	90	48	
)	4146	789	14	49	
E	4176	789	15	49	
06	3888	853	30	33	
74	3941	853	37	33	
99	3889	889	38	42	
74	3941	889	38	42	
(	3991	889	12	42	
TIG	4003	889	43	42	
-	4072	889	12	42	
5	4090	889	11	42	
)	4106	889	12	42	
,	4120	889	12	42	
PRO	4158	889	53	42	
06	3890	930	28	38	
74	3944	930	34	38	
(	3989	931	10	38	
T	4008	931	10	38	
<	4036	931	10	38	
TIG	4078	931	44	38	
)	4138	931	10	38	
06	3893	972	27	36	
94	3944	972	34	36	
,	3984	972	10	36	
...	4004	972	54	35	
V16	4064	970	53	37	
NZZE	4126	970	92	37	
[	3871	1007	9	41	
06	3888	1007	38	41	
77	3943	1007	36	42	
]	3983	1008	10	41	
,	4003	1008	10	41	
KREL	4036	1008	85	41	
06	3890	1053	29	31	
94	3945	1053	29	31	
16	3891	1093	29	39	
94	3948	1092	29	39	
