content	x	y	w	h	
C	2291	339	11	44	
B	3253	350	10	41	
A	4180	359	10	40	
LTR	3729	432	51	30	
PCN	3797	432	53	30	
DR	3897	435	33	26	
ENG	4032	438	49	24	
DATE	4237	436	76	27	
APPROVAL	4423	441	152	28	
COMMENTS	3744	533	155	42	
:	3903	533	11	42	
PON	3942	539	101	62	
-	4077	541	15	60	
3	4120	541	15	60	
PEI	4174	542	120	62	
PWRICNIL	4978	930	115	680	
8	4630	693	10	43	
CM	3714	812	57	46	
-BAND	2109	858	84	42	
NORMAL	2209	860	116	41	
MODE	2153	918	82	27	
26	2615	938	31	34	
22	2853	936	43	47	
K22A	2689	1069	72	30	
K21A	2934	1111	72	28	
RANGING	2145	1207	119	25	
27	2617	1284	37	37	
23	2857	1292	35	25	
mu	2443	1196	18	259	
7	4624	1390	9	43	
23	2564	1392	33	28	
RANGING	2692	1393	117	33	
DISABLE	2826	1393	120	33	
22,27	2563	1421	85	37	
RANGING	2689	1427	117	31	
ENABLE	2824	1427	111	31	
22,26	2563	1455	80	36	
RANGING	2689	1455	120	36	
RESET	2824	1455	94	36	
OFF	2168	1458	55	24	
S	2352	1457	7	29	
35	2378	1457	26	29	
S	2546	1549	6	28	
-	2563	1549	7	28	
BAND	2575	1549	72	29	
PWR	2663	1550	56	28	
AMPL	2734	1551	78	28	
/	2819	1551	7	28	
PHASE	2541	1577	93	39	
MOD	2644	1577	62	39	
XPNDR	2717	1577	90	39	
1	2677	1638	6	25	
C	5074	1675	83	22	
8	5074	1591	83	22	
W	5075	1499	83	22	
GROUP	2623	1714	93	33	
1	2739	1718	6	28	
23	2143	1778	34	26	
2A	2670	1800	23	26	
RHEB	2532	1834	71	29	
225	2623	1836	49	28	
CB	2745	1840	31	31	
18	2799	1842	24	32	
S	2571	1910	5	24	
-	2587	1910	5	24	
BAND	2596	1910	74	26	
FM	2689	1912	25	24	
XMTR	2738	1912	72	25	
TELECOM	3486	1940	124	29	
DATA	2524	1964	68	31	
STORAGE	2615	1965	128	31	
EQUIP	2755	1966	79	30	
GROUP	2615	2032	98	30	
1	2737	2034	6	27	
GROUP	3475	2057	95	27	
1	3591	2057	7	27	
[	3934	2054	10	62	
Vaci	3949	2054	90	70	
24	2143	2103	31	33	
2A	2662	2131	29	22	
6	4622	2140	11	38	
RHEB	2526	2168	71	31	
225	2614	2171	51	31	
CB	2738	2175	36	28	
14	2797	2175	25	28	
AC1	3640	2209	61	31	
S	2548	2251	7	26	
-	2564	2251	7	26	
BAND	2579	2251	69	28	
PWR	2667	2252	53	27	
AMPL	2735	2252	76	28	
/	2819	2253	7	27	
PHASE	2543	2284	88	27	
MOD	2643	2284	63	27	
XPNDR	2719	2284	94	27	
OFF	3630	2283	53	28	
Vaca	4121	2291	101	57	
2	2671	2343	7	25	
AC	3639	2336	29	37	
2	3687	2335	12	38	
!	3707	2335	12	38	
S4	3659	2384	29	25	
MDC	3377	2381	58	28	
PWR	5031	2364	78	275	
SCS	5034	2678	77	229	
GROUP	2614	2410	96	30	
2	2733	2411	6	29	
GROUP	3470	2428	94	28	
2	3585	2428	7	28	
IVACI	3931	2410	115	81	
22	2141	2471	33	28	
O	2631	2480	5	20	
2A	2657	2494	28	23	
RHEB	2520	2536	75	30	
225	2613	2536	53	30	
CB	2735	2540	36	29	
20	2790	2542	30	28	
AC	3623	2584	33	28	
1	3679	2583	7	28	
21	2139	2607	33	27	
OFF	3627	2651	53	27	
AC	3631	2718	27	34	
21	3679	2722	39	35	
MDC	3380	2770	53	28	
