content	x	y	w	h	
EESSSSSSSSSSSSSSS	990	254	2714	103	
Valuable	1321	491	420	143	
Song	1782	495	281	142	
and	2108	498	161	140	
Tune	2343	499	236	142	
Book	2652	502	223	141	
Original	807	878	971	341	
Sacred	1819	876	749	341	
Hilarp	2754	874	570	342	
SSSSSSSS	3629	640	108	1193	
REVISED	1325	1302	337	124	
,	1673	1302	36	124	
CORRECTED	1720	1301	441	124	
AND	2207	1301	160	123	
ENLARGED	2413	1300	408	123	
STANDARD	698	1634	1325	188	
MELODIES	2199	1632	1237	187	
Living	773	1978	232	126	
.	1004	1978	37	126	
Stirring	1065	1978	278	125	
,	1347	1977	37	126	
Sacred	1408	1977	253	126	
Songs	1682	1977	233	125	
,	1919	1976	37	126	
Odes	1962	1976	181	126	
and	2175	1976	126	125	
Anthems	2368	1975	349	126	
.	2694	1975	37	126	
Both	2744	1975	187	125	
New	2965	1974	144	126	
and	3148	1974	143	126	
Old	3308	1973	126	126	
THE	1326	2164	134	84	
BEST	1495	2164	164	84	
ARRANGED	1710	2163	388	84	
MUSIC	2141	2163	207	83	
AND	2402	2162	146	84	
HYMNS	2586	2162	271	83	
YET	1806	2261	127	74	
PUBLISHED	1979	2261	378	73	
BY	1587	2366	81	74	
AUTHORS	1687	2366	263	73	
OF	1965	2365	68	74	
WIDE	2059	2365	139	74	
REPUTATION	2227	2364	346	74	
ALL	828	2511	232	116	
PLATES	1164	2511	515	115	
AND	1743	2509	266	116	
EVERYTHING	2097	2509	844	114	
NEW	3017	2507	266	116	
Just	1339	2681	182	129	
Out	1581	2683	184	129	
:	1849	2685	38	128	
:	1966	2686	38	128	
:	2096	2688	38	128	
August	2226	2688	335	131	
,	2564	2691	38	128	
1911	2639	2692	213	129	
ATLANTA	1658	2843	507	74	
,	2192	2837	24	80	
GEORGIA	2245	2834	455	76	
SSSSSSS	3632	2228	107	697	
