content	x	y	w	h	
111	2677	700	18	20	
GLASS	278	341	2443	532	
GHOID	1320	927	1354	390	
CONGREGATION	1320	1468	1373	316	
ANDI	1770	1329	563	120	
.	2412	1291	52	147	
JUMAH	748	1849	58	12	
SUMUS	811	1843	49	14	
PUBLISHED	1980	1955	228	44	
BY	2242	1956	56	44	
The	1677	2018	66	46	
A	1763	2018	13	46	
.	1786	2018	13	46	
J	1815	2019	13	46	
.	1833	2019	13	46	
SHOWALTER	1856	2019	277	48	
COMPANY	2153	2021	206	47	
,	2364	2022	13	46	
Dalton	2388	2022	128	47	
,	2524	2023	13	46	
Ga	2543	2023	51	47	
.	2595	2024	13	46	
The	1869	2078	59	51	
Showalter	1945	2079	206	52	
-	2157	2080	14	51	
Lincoln	2174	2080	142	52	
Co	2345	2081	47	51	
.	2396	2081	14	51	
,	2406	2082	14	51	
Dallas	1995	2141	121	39	
,	2122	2142	10	38	
Texas	2153	2142	112	39	
.	2271	2143	10	38	
MBWALL	1469	2271	149	43	
.	1619	2272	11	42	
CINO	1629	2272	91	43	
,	1713	2273	11	42	
