content	x	y	w	h	
II	363	945	28	50	
All	685	2026	10	23	
We	1373	2543	28	44	
10	1815	1017	18	16	
Avanzi	1886	2905	70	179	
d'un	1887	2697	69	102	
antico	1887	2574	70	142	
Castello	1888	2396	69	157	
,	1888	2233	69	20	
e	1888	2205	69	20	
dell	1888	2160	70	92	
'	1889	2058	69	20	
Acqua	1889	2020	69	137	
Marzia	1889	1838	70	139	
ove	1890	1658	69	60	
erano	1890	1566	70	108	
li	1891	1424	69	25	
Trofei	1891	1384	69	114	
Di	1891	1241	69	51	
Marrio	1892	1174	69	128	
Da	1953	2107	34	38	
-Iontaonani	1952	2064	33	164	
-	1951	1900	34	9	
Mirabili	1951	1887	34	101	
a	1950	1767	34	9	
Paroquino	1952	1722	39	100	
