content	x	y	w	h	
CLASS	343	410	892	218	
,	1263	410	64	218	
CHOIR	1421	410	829	218	
CONGREGATION	614	744	1390	207	
AND	1283	690	91	30	
FOR	1278	985	108	42	
-	1426	985	11	42	
Singing	303	1076	231	76	
Schools	561	1076	234	76	
,	797	1076	22	76	
Conventions	835	1076	382	76	
,	1213	1076	22	76	
Normal	1267	1076	239	76	
Schools	1548	1076	235	76	
,	1783	1076	22	76	
Sunday	1839	1076	232	76	
Schools	2124	1076	237	76	
,	2357	1076	22	76	
Chorus	767	1172	220	64	
Choirs	1049	1172	186	64	
and	1296	1172	109	64	
Congregations	1463	1172	434	64	
.	1898	1172	18	64	
BY	1313	1288	53	38	
A	876	1376	30	103	
.	949	1376	30	103	
J	1032	1376	30	103	
.	1063	1376	30	103	
SHOWALTER	1143	1376	647	103	
.	1812	1376	30	103	
PUBLISHED	1153	1807	264	48	
BY	1464	1807	61	48	
The	480	1883	126	74	
A	652	1883	21	74	
.	697	1883	21	74	
J	757	1883	21	74	
.	787	1883	21	74	
SHOWALTER	837	1883	497	74	
COMPANY	1384	1883	394	74	
,	1777	1883	21	74	
Dalton	1819	1883	217	74	
,	2055	1883	21	74	
Ga	2097	1883	95	74	
.	2197	1883	21	74	
Copyright	992	2010	164	40	
,	1155	2010	11	40	
1888	1192	2010	57	40	
,	1250	2010	11	40	
by	1279	2010	37	40	
A	1348	2010	11	40	
.	1369	2010	11	40	
J	1401	2010	11	40	
.	1414	2010	11	40	
Showalter	1439	2010	157	40	
&	1623	2010	11	40	
Co	1663	2010	29	40	
