content	x	y	w	h	
Key	246	520	85	47	
of	354	520	46	41	
a	418	522	32	31	
Minor.	475	518	137	36	
VALE	1352	363	196	55	
OF	1586	363	94	51	
SORROW.	1718	358	340	60	
P-	2134	357	64	57	
M.	2226	357	84	51	
*‘	1470	475	18	13	
For	1498	475	64	27	
we	1573	482	50	18	
are	1634	481	57	20	
saved	1702	472	97	28	
by	1811	471	44	35	
hope.’"—Rom.	1866	470	246	36	
8	2125	469	17	28	
:	2153	477	10	20	
24.	2178	469	45	28	
1	1303	557	21	31	
2	1394	556	23	31	
83	3471	344	74	61	
Published	3062	492	208	37	
in	3293	490	42	36	
1769.	3358	489	99	40	
1	1303	818	21	31	
2	1394	818	22	30	
While	428	1039	125	42	
in	569	1042	37	34	
this	622	1041	77	37	
vale	714	1041	83	35	
of	813	1040	39	35	
sorrow	868	1049	137	25	
I	1025	1037	10	34	
travel	1053	1035	122	39	
on	1191	1048	45	23	
in	1256	1036	36	35	
pain;	1309	1035	97	44	
1	1467	1037	15	31	
g	1503	1054	28	33	
t	1559	1057	17	30	
w	1590	1066	37	21	
u	1628	1055	22	18	
en	1656	1065	43	22	
t	1717	1053	11	18	
come	1745	1063	101	23	
+	1861	1054	17	21	
0	1878	1063	21	23	
bid	1913	1051	58	35	
adieu	1986	1049	105	38	
To	2105	1046	55	42	
those	2176	1047	107	39	
I	2298	1046	13	35	
dearly	2328	1045	125	45	
love,	2468	1046	96	43	
My	2584	1044	67	43	
heart	2662	1043	105	37	
is	2783	1042	32	37	
often	2831	1041	101	38	
melted—It	2946	1039	210	39	
is	3170	1038	32	35	
the	3217	1039	65	34	
grief	3295	1036	91	46	
of	3403	1037	39	36	
love.	3456	1035	96	38	
My	429	1086	65	45	
heart	507	1087	104	36	
is	624	1086	29	35	
fixed.on	670	1086	153	43	
Jesus,	843	1083	124	44	
1	983	1082	10	35	
hope	1006	1082	93	45	
the	1115	1082	63	36	
prize	1195	1081	96	43	
to	1304	1083	37	32	
gain,	1355	1079	96	44	
j	1469	1089	12	29	
1	1311	1387	19	30	
2	1402	1387	21	29	
This	255	1610	92	39	
is	364	1607	31	42	
old	413	1608	58	39	
tune,	488	1610	101	43	
first	607	1606	80	39	
published	702	1606	193	46	
in	910	1605	38	37	
1769,	970	1604	96	45	
has	1084	1603	69	38	
been	1171	1603	90	37	
