content	x	y	w	h	
ci	2	1551	28	110	
Sito	34	1549	74	106	
ctitur	226	1537	243	95	
.	494	1519	39	109	
COMO	7	2054	88	62	
12	1	2147	47	108	
ROM	-19	268	130	142	
nus	223	472	157	140	
eft	391	473	118	139	
quod	565	474	207	139	
patimur	839	475	381	140	
,	1233	477	40	139	
maius	1271	477	299	140	
eft	1608	478	119	140	
quod	1763	479	227	140	
meremur	194	601	450	112	
.	676	593	37	119	
om	-5	716	46	123	
,	64	716	37	123	
Grauius	111	715	370	121	
eft	492	713	109	123	
quod	635	712	230	122	
commifimus	918	711	573	120	
,	1512	708	37	123	
leuius	1591	707	261	122	
eft	1894	706	124	122	
er	-1	842	47	118	
mob	59	841	54	118	
quod	230	837	214	114	
toleramus	482	832	462	109	
.	964	822	37	118	
oli	2	944	85	147	
Peccati	100	943	363	146	
poenam	479	942	331	146	
ſentimus	895	940	419	146	
,	1324	938	44	147	
&	1414	938	44	147	
peccandi	1554	937	456	146	
eladi	-1	1074	129	116	
pertinaciam	205	1071	511	110	
non	795	1063	169	115	
vitamus	1028	1060	376	112	
.	1421	1055	36	117	
alvIn	38	1182	169	127	
flagellis	250	1182	335	127	
tuis	624	1182	160	127	
infirmitas	826	1182	442	127	
noftra	1285	1182	291	127	
teritur	1641	1182	294	127	
,	1959	1182	37	127	
Rom	9	1306	82	115	
&	249	1305	34	115	
iniquitas	357	1304	393	113	
non	771	1302	182	114	
mutatur	981	1301	400	113	
.	1398	1299	34	115	
maho	-5	1424	109	119	
Mens	107	1423	251	119	
ægra	412	1422	218	119	
torquetur	662	1421	464	118	
,	1132	1419	35	119	
&	1204	1419	35	119	
ceruix	1305	1419	280	118	
non	1629	1417	169	119	
fle	1871	1416	124	119	
di	2	1628	54	147	
Vita	118	1630	194	148	
in	337	1632	79	147	
dolore	463	1633	293	150	
ſuſpirat	781	1637	345	150	
,	1118	1640	41	147	
&	1190	1641	41	147	
in	1297	1642	79	148	
opere	1439	1644	249	149	
non	1723	1647	164	149	
ung	-17	1788	90	119	
ſe	222	1768	69	93	
emendat	328	1767	418	92	
.	769	1766	27	93	
ndo	15	1880	76	131	
Si	108	1879	100	131	
expectas	228	1879	400	129	
,	613	1877	39	131	
non	643	1877	169	130	
corrigimur	860	1876	515	128	
.	1391	1873	39	131	
Si	1468	1873	96	130	
vindicas	1588	1872	388	129	
,	1973	1870	39	131	
non	206	2000	179	105	
duramus	435	1993	410	97	
.	858	1978	36	110	
Confitemur	117	2096	541	135	
in	687	2101	73	131	
correctione	819	2102	534	134	
quod	1375	2106	242	132	
egimus	1644	2108	322	133	
:	1977	2110	37	131	
obliuiſcimur	220	2220	575	128	
poft	862	2224	193	126	
vifitationem	1120	2226	519	128	
quod	1750	2230	222	126	
fleuimus	234	2352	383	93	
.	637	2349	28	95	
Si	112	2455	90	119	
extenderis	233	2454	479	117	
manum	770	2450	331	118	
,	1155	2448	36	120	
facienda	1212	2445	395	124	
Ogos	14	2518	94	93	
promit	1637	2462	333	113	
.	1970	2450	40	123	
timus	223	2560	259	133	
:	523	2562	37	131	
Si	584	2562	94	132	
ſuſpenderis	699	2563	496	134	
gladium	1249	2566	322	133	
,	1603	2568	37	131	
promif	1640	2569	342	133	
ſa	219	2696	63	110	
non	318	2695	174	109	
foluimus	529	2693	400	107	
.	956	2689	33	111	
Si	130	2789	91	125	
ferias	248	2790	237	127	
,	498	2793	35	125	
clamamus	557	2794	470	130	
vt	1056	2799	114	127	
parcas	1182	2801	311	128	
:	1506	2805	35	125	
Si	1579	2805	90	126	
peper	1686	2807	296	128	
boat	-3	2932	112	120	
ceris	224	2929	206	119	
,	422	2927	36	121	
iterum	473	2927	261	117	
prouocamus	805	2923	586	114	
vt	1420	2916	89	121	
ferias	1535	2915	242	119	
.	1787	2912	36	121	
Fitial	-2	3075	102	94	
Habes	88	3036	321	112	
Dñe	429	3037	209	112	
confitentes	687	3038	521	113	
reos	1251	3041	186	111	
.	1466	3041	32	111	
Nouimus	1526	3042	439	112	
,	1958	3043	32	111	
quod	241	3144	203	147	
nifi	486	3144	154	147	
dimittas	662	3144	406	147	
,	1050	3144	43	147	
rectè	1113	3144	229	147	
nos	1390	3144	166	147	
perimas	1594	3144	374	147	
.	1970	3144	43	147	
he	-7	3280	74	126	
Pręſta	99	3279	276	124	
Pater	424	3276	230	125	
omnipotés	692	3273	486	122	
fine	1227	3268	168	124	
merito	1389	3266	317	124	
quod	1768	3262	212	125	
euer	15	3406	80	123	
rogamus	224	3402	390	117	
,	600	3395	38	124	
qui	671	3393	145	122	
fecifti	841	3390	272	120	
ex	1125	3385	95	123	
nihilo	1265	3382	253	120	
qui	1579	3377	145	122	
te	1731	3374	93	123	
ro	1857	3371	128	124	
Que	23	3518	80	134	
garent	215	3515	307	130	
.	545	3510	41	134	
Per	635	3509	159	133	
Chriftum	849	3506	378	130	
Dominum	1325	3500	421	129	
no	1842	3492	159	134	
Atrum	247	3623	192	108	
.	510	3619	34	110	
B.	605	3617	147	109	
Amenn	770	3614	382	106	
:	1172	3608	34	110	
Ligi	4	3744	97	126	
Ý	133	3742	38	127	
.	197	3742	38	127	
Gregem	247	3741	337	122	
tuum	663	3736	194	124	
Paſtor	931	3733	281	123	
æterne	1247	3729	347	123	
non	1635	3725	165	124	
de	1853	3722	118	126	
e	62	3845	38	129	
feras	116	3845	202	129	
.	322	3845	38	129	
B.	408	3845	165	129	
Sed	592	3845	147	129	
per	782	3845	165	129	
Beatos	977	3845	308	129	
Apoſtolos	1310	3845	469	129	
per	1822	3845	189	129	
Ini	23	3972	57	123	
petua	109	3971	276	122	
defenfione	403	3969	517	120	
cuſtodias	941	3966	431	120	
,	1392	3963	37	123	
Ý	1516	3962	37	123	
.	1580	3961	37	123	
Protege	1662	3961	341	121	
Domine	98	4084	385	120	
populum	545	4080	383	120	
tuum	1034	4076	205	122	
ad	1328	4074	96	122	
te	1506	4072	89	123	
claman	1647	4071	369	121	
tem	104	4196	148	130	
,	291	4195	39	131	
&	371	4195	39	131	
Apoftolorum	475	4194	574	129	
tuorum	1111	4191	310	130	
patrocinio	1528	4189	475	129	
can	1681	4331	196	76	
are	-2	2269	70	84	
al	74	2265	23	87	
anol	-4	2623	103	62	
00.0	-2	2753	83	66	
3	2412	3240	6	69	
bro	-8	3686	101	49	
12	8	4140	42	67	
