content	x	y	w	h	
ValuaLIIe	1286	521	443	95	
Song	1782	522	270	111	
ani	2105	526	159	90	
Cutte	2320	523	248	94	
REVISED,	1326	1328	356	80	
CORRECTED	1716	1327	460	83	
AND	2208	1328	164	73	
ENLARGED	2406	1329	419	74	
Ttving,	716	2000	305	91	
Stirring,	1043	2001	325	90	
SacreÖ	1390	2001	264	75	
Songs,	1676	2001	253	90	
Obes	1955	2001	186	75	
anö	2164	2008	130	66	
Zntbems,	2310	2001	397	89	
)30tl)	2737	2001	192	89	
)tew	2951	2001	176	72	
arts	3147	2003	131	70	
Olö	3302	2001	135	74	
THEtBEST	1304	2184	359	62	
ARRANGED	1698	2183	405	51	
MUSIC	2141	2184	218	50	
AND	2397	2185	157	47	
HYMNS	2595	2184	255	50	
YET	1790	2277	142	50	
PUBLISHED	1975	2277	391	50	
BY	1587	2385	77	36	
AUTHORS	1682	2385	262	37	
OF	1960	2385	76	36	
WIDE	2054	2385	148	38	
REPUTATION	2223	2383	356	38	
Just	1314	2706	202	85	
Out	1567	2705	179	75	
August,	2212	2705	364	91	
1911	2629	2713	207	64	
ATLANTA,	1670	2861	533	46	
GEORGIA	2258	2860	459	39	
