content	x	y	w	h	
VV	978	168	73	81	
se	1070	169	28	80	
gbenoecht	1108	170	199	83	
met	1306	173	79	81	
'	1393	174	22	80	
tgeen	1410	175	102	81	
hy	1526	176	43	81	
heeft	1582	177	102	82	
,	1696	179	22	80	
fs	991	243	44	81	
de	1048	243	46	81	
rijcfte	1100	243	113	81	
die	1228	243	58	81	
daer	1302	243	83	81	
leeft	1405	243	89	81	
.	1490	243	23	81	
Iogenes	817	437	172	68	
fijn	1008	435	65	69	
huys	1084	435	118	68	
gemaect	1213	434	196	67	
had	1413	432	90	69	
van	1521	431	70	69	
een	1622	430	60	69	
ton	1703	430	80	68	
,	1802	429	21	69	
Tot	825	497	84	74	
huyfraer	915	497	204	74	
had	1125	497	84	74	
een	1228	497	64	74	
nap	1312	497	85	74	
en	1416	497	41	74	
voor	1480	497	112	74	
fiin	1603	497	68	74	
vier	1701	497	75	74	
de	1795	497	55	74	
Son	1855	497	85	74	
,	1954	497	21	74	
Als	824	569	69	69	
Alexander	906	569	246	69	
quam	1167	569	107	69	
om	1314	569	51	69	
hem	1405	569	79	69	
van	1517	569	79	69	
als	1608	569	69	69	
te	1688	569	38	69	
geven	1741	569	118	69	
,	1876	569	20	69	
Ontneemt	659	641	252	65	
my	897	641	96	65	
nie	1001	641	64	65	
ſprack	1096	641	134	65	
hy	1248	641	60	65	
ic	1327	641	35	65	
hebb	1374	641	113	65	
'	1491	641	18	65	
genoech	1522	641	184	65	
te	1736	641	36	65	
leven	1782	641	102	65	
:	1910	641	18	65	
Alſoo	733	705	130	69	
een	892	705	69	69	
man	972	705	108	69	
die	1099	705	69	69	
ſich	1182	705	70	69	
met	1263	705	108	69	
weynich	1392	705	196	69	
vergenoecht	1610	705	289	69	
,	1906	705	20	69	
Tevreden	746	769	209	74	
met	962	769	106	74	
ſiin	1082	769	68	74	
deel	1166	769	97	74	
van	1271	769	85	74	
God	1373	769	95	74	
hem	1478	769	85	74	
toegevoecht	1607	769	281	74	
,	1895	769	21	74	
Hier	655	844	105	64	
in	777	844	35	64	
dit	832	844	64	64	
aertſche	910	844	180	64	
dal	1102	844	74	64	
,	1185	844	18	64	
is	1221	844	24	64	
wel	1260	844	91	64	
geluckich	1365	844	207	64	
t	1601	844	18	64	
'	1614	844	18	64	
achten	1635	844	132	64	
,	1796	844	18	64	
Want	659	908	142	72	
ſulcgeruſt	812	908	224	72	
gemoer	1047	908	174	72	
naet	1230	908	101	72	
Hemelſche	1333	908	264	72	
fal	1612	908	62	72	
trachten	1696	908	174	72	
.	1881	908	20	72	
Noftre	803	1283	219	83	
felicite	1048	1285	184	82	
n	1260	1286	22	81	
'	1293	1287	22	81	
eſt	1308	1287	80	81	
aux	1417	1288	104	81	
poffeſsions	1543	1289	319	83	
.	1859	1291	22	81	
Elle	804	1371	115	73	
eſt	941	1372	73	73	
de	1026	1373	67	72	
commander	1109	1373	346	75	
à	1477	1376	20	72	
nos	1513	1376	113	73	
affections	1632	1377	286	74	
.	1922	1379	20	72	
droom	1531	1512	244	61	
D	660	1580	8	72	
Jogenes	804	1581	169	73	
vn	993	1583	39	72	
tonneau	1051	1583	156	73	
pour	1226	1584	83	73	
fon	1331	1585	51	73	
logis	1404	1586	85	72	
ayant	1500	1587	126	72	
,	1634	1588	19	72	
Le	821	1638	52	72	
ſoleil	883	1639	104	73	
pour	992	1640	93	74	
ſon	1094	1642	61	73	
feu	1177	1643	51	73	
,	1239	1644	19	72	
un	1266	1645	53	72	
plat	1335	1646	76	72	
de	1430	1647	39	72	
bois	1481	1648	73	73	
rofant	1571	1649	132	74	
Pour	830	1716	100	64	
Vtenſiles	943	1717	173	65	
,	1133	1718	17	64	
vint	1168	1719	100	64	
le	1286	1719	23	65	
Roy	1327	1720	91	64	
es	1442	1721	23	64	
dit	1504	1721	54	65	
o	1568	1722	17	64	
drole	1599	1722	102	65	
Pour	681	1780	97	73	
avoir	784	1781	105	73	
ton	911	1782	51	73	
ſouhait	984	1783	138	73	
ne	1134	1784	53	72	
faut	1196	1785	85	72	
qu	1291	1785	39	72	
'	1333	1786	19	72	
vne	1356	1786	71	72	
parele	1437	1786	106	73	
.	1552	1787	19	72	
A	750	1857	21	74	
vivre	809	1857	119	74	
j	938	1857	21	74	
'	953	1857	21	74	
ay	969	1857	41	74	
aßez	1019	1857	104	74	
,	1133	1857	21	74	
reſpond	1164	1857	146	74	
,	1328	1857	21	74	
en	1352	1857	41	74	
me	1403	1857	81	74	
laiſſant	1479	1857	154	74	
Ce	736	1925	51	69	
que	795	1925	69	69	
tu	865	1925	38	69	
ne	918	1925	51	69	
me	972	1925	63	69	
peux	1047	1925	83	69	
donner	1152	1925	127	69	
en	1299	1925	38	69	
ton	1355	1925	59	69	
vivant	1441	1925	151	69	
.	1592	1925	20	69	
Bien	679	1989	81	74	
heureux	772	1989	164	74	
eſt	944	1989	53	74	
celuy	1015	1989	101	74	
qui	1132	1989	63	74	
de	1207	1989	41	74	
pes	1259	1989	53	74	
ſe	1334	1989	41	74	
contente	1379	1989	166	74	
,	1558	1989	21	74	
Son	667	2060	61	73	
eſprit	753	2061	99	73	
nox	864	2062	71	72	
humain	955	2063	148	73	
rien	1145	2064	75	72	
du	1240	2065	38	72	
mondain	1290	2065	175	73	
n	1479	2067	19	72	
'	1509	2067	19	72	
attente	1524	2067	141	73	
.	1669	2068	19	72	
Tua	1946	2181	93	65	
