content	x	y	w	h	
L	1270	301	3	49	
2-18	1223	369	127	52	
BOOST	132	720	55	170	
27	721	474	44	59	
EXTEND	848	473	198	57	
DOCKING	1091	470	223	58	
PROBE	1367	468	159	58	
cb	920	533	56	75	
DOCK	1026	532	128	74	
PROBE	1193	531	166	74	
(	1408	530	22	75	
2	1439	529	22	75	
)	1477	529	22	75	
-	1545	529	22	75	
close	1611	528	166	74	
(	1819	527	22	75	
verify	1844	527	203	73	
)	2054	525	22	75	
DOCK	926	610	125	68	
PROBE	1091	608	162	67	
EXTD	1304	605	125	68	
/	1439	604	21	69	
REL	1469	604	90	68	
-	1614	602	21	69	
EXTD	1673	601	134	68	
/	1817	600	21	69	
REL	1847	599	90	69	
until	1981	598	176	67	
full	998	679	131	65	
probe	1158	676	165	65	
extension	1372	673	288	64	
(	927	746	22	75	
DOCK	957	745	124	74	
PROBE	1131	743	165	74	
tb	1337	741	57	75	
-	1445	740	22	75	
gray	1511	739	127	74	
at	1675	737	70	74	
full	1785	736	124	73	
extension	1948	734	303	71	
)	2265	730	22	75	
EXT	1259	819	100	50	
RET	1533	814	106	52	
FULL	917	882	137	62	
EXT	1094	883	95	62	
Gray	1260	885	136	61	
Gray	1530	884	141	62	
FULL	927	956	122	58	
RET	1092	954	101	59	
|	1224	953	17	59	
BP	1269	953	54	59	
BP	1539	950	61	55	
PART	923	1026	128	53	
EXT	1099	1023	95	54	
|	1226	1021	16	55	
BP	1265	1021	62	54	
Gray	1531	1021	142	61	
DOCK	926	1082	128	80	
PROBE	1098	1080	160	80	
EXTD	1305	1078	125	80	
/	1446	1077	24	81	
REL	1477	1077	94	80	
-	1618	1075	24	81	
RETRACT	1681	1075	233	79	
(	1962	1072	24	81	
tb	1992	1072	63	81	
-	2060	1071	24	81	
gray	2101	1071	129	80	
)	2232	1070	24	81	
28	721	1234	58	53	
COPY	856	1232	136	63	
TLI	1036	1229	94	64	
,	1144	1228	19	65	
TLI	1208	1227	94	64	
ABORT	1338	1225	167	63	
,	1520	1223	19	65	
&	1580	1222	19	65	
P37	1648	1221	93	64	
PADS	1785	1219	128	64	
29	729	1362	54	71	
SV	857	1361	66	71	
UPDATES	958	1360	239	70	
(	1244	1358	21	71	
MCCH	1258	1358	140	70	
)	1409	1357	21	71	
INSERTION	144	1743	56	291	
&	142	1403	58	16	
SYS	142	1336	57	91	
CK	141	1201	58	54	
30	730	1502	52	68	
cb	863	1500	52	69	
SECS	968	1499	125	68	
ARM	1133	1498	90	68	
(	1278	1496	21	69	
2	1313	1496	21	69	
)	1341	1495	21	69	
-	1418	1495	21	69	
close	1477	1494	168	68	
Cue	860	1574	98	60	
MSEN	999	1573	123	60	
SECS	865	1636	122	72	
LOGIC	1035	1634	159	72	
(	1244	1633	22	73	
2	1273	1632	22	73	
)	1311	1632	22	73	
-	1377	1631	22	73	
on	1441	1631	56	73	
(	1517	1630	22	73	
up	1542	1630	68	73	
)	1621	1629	22	73	
MSFN	857	1710	132	62	
confirm	1041	1708	214	61	
GO	1299	1706	70	62	
for	1418	1705	83	62	
PYRO	1541	1703	133	62	
ARM	1718	1702	91	62	
|	359	1858	22	77	
(	381	1858	22	77	
01:35:00	408	1858	263	76	
)	685	1857	22	77	
Perform	844	1854	234	75	
UV	1118	1854	69	75	
Photography	1226	1854	371	75	
,	1609	1854	21	75	
pg	1676	1854	56	75	
L	1777	1854	21	75	
/	1815	1854	21	75	
2-19	1851	1854	123	75	
US	371	2010	67	53	
LOS	476	2009	98	53	
(	386	2072	20	67	
01:48:28	406	2071	266	63	
)	684	2066	20	67	
LAUNCH	124	2483	61	198	
ABORT	125	2247	61	173	
SUNSET	381	2213	196	54	
(	388	2276	20	71	
02:11:11	412	2276	274	69	
)	684	2274	20	71	
5/28/71	2393	2382	61	239	
DATE	2416	2668	55	129	
ALTITUDE	125	3218	64	262	
vs	131	2906	61	54	
Vi	133	2805	62	66	
