content	x	y	w	h	
VAC	567	573	138	90	
XFER	730	575	175	89	
TO	943	575	82	91	
ECS	1070	576	114	90	
7/13/71	1227	576	292	91	
(	1548	579	25	89	
narrow	1569	579	250	89	
rectangle	1863	580	338	91	
;	2211	581	25	90	
DRS	2259	581	141	90	
writing	2420	583	247	89	
)	2683	584	26	89	
Back	714	685	156	87	
side	913	685	140	87	
is	1074	685	47	87	
blank	1145	685	195	87	
LOSS	560	908	174	94	
OF	763	909	101	93	
COMM	887	909	239	94	
7/1/71	1168	911	252	93	
(	1454	912	26	92	
triangle	1486	912	264	94	
;	1763	913	26	93	
one	1807	913	141	93	
piece	1973	913	183	94	
of	2186	915	84	92	
handwriting	2276	915	443	95	
on	2747	917	84	93	
back	2854	917	165	94	
-	3062	919	26	92	
non	3098	919	132	92	
-	3249	919	25	92	
DRS	3275	919	145	93	
)	3425	920	26	92	
Back	710	1022	155	89	
side	915	1024	137	88	
:	1054	1025	24	87	
AC	1099	1025	95	87	
PWR	1225	1026	172	88	
5/10/71	1419	1028	305	88	
Small	557	1248	213	95	
Round	790	1248	220	95	
Piece	1037	1248	190	95	
with	1254	1248	151	95	
NO	1446	1248	104	95	
TITLE	1602	1248	173	95	
,	1783	1248	28	95	
at	1830	1248	69	95	
bottom	1920	1248	243	95	
is	2230	1248	35	95	
VIEW	2335	1248	162	95	
LOOKING	2559	1248	315	95	
FWD	2923	1248	175	95	
7/1/71	3163	1248	248	95	
(	3434	1248	27	95	
at	3470	1248	72	95	
center	3566	1248	235	95	
is	3819	1248	52	95	
:	3876	1248	28	95	
BEACON	3918	1248	306	95	
LIGHT	566	1362	223	90	
;	786	1362	26	90	
no	826	1362	82	90	
handwriting	931	1362	449	90	
Back	709	1473	159	82	
side	906	1473	142	82	
is	1075	1473	46	82	
blank	1140	1473	195	82	
