content	x	y	w	h	
POTENTIAL	160	192	366	77	
WEIGHT	575	194	251	77	
REDUCTIONS	882	196	406	77	
AT	1335	198	83	76	
LUNAR	1468	199	200	76	
LAUNCH	1706	200	249	77	
8	210	980	15	70	
.	259	982	15	70	
7	217	390	19	67	
.	257	390	19	67	
Wedge	365	392	215	82	
Bracket	629	390	287	82	
-	970	388	25	83	
.75	1049	388	108	82	
lbs	1231	387	108	82	
.	1348	386	25	83	
2	213	478	18	64	
.	258	478	18	64	
Interim	378	468	259	87	
Stowage	705	468	292	87	
Shelf	1053	468	200	87	
-	1303	468	25	87	
1.1	1397	468	112	87	
lbs	1554	468	111	87	
.	1689	468	25	87	
3	215	563	17	64	
.	254	564	17	64	
Lens	366	554	167	80	
Brush	585	555	193	80	
-	838	556	23	79	
.1	929	557	73	79	
lbs	1053	557	112	80	
.	1182	558	23	79	
4.	202	636	79	76	
EMU	367	637	118	76	
Kit	531	639	128	75	
-.5	694	640	167	76	
lbs	927	641	117	76	
.	1049	642	20	75	
5	207	727	17	68	
.	257	728	17	68	
Dust	366	728	175	82	
Caps	587	727	149	82	
(	800	726	24	83	
2	836	726	24	83	
Ea	912	725	87	83	
)	1012	725	24	83	
1.0	1091	725	107	82	
lbs	1263	724	118	83	
.	1388	723	24	83	
6.	190	808	94	87	
LM	369	808	80	87	
Utility	501	808	275	87	
Towels	833	808	248	87	
(	1139	808	25	87	
2	1175	808	25	87	
Ea	1246	808	94	87	
)	1351	808	25	87	
-	1431	808	25	87	
.8	1518	808	62	87	
lbs	1638	808	111	87	
.	1763	808	25	87	
7	209	898	18	67	
.	256	899	18	67	
Tape	373	892	156	83	
Roll	576	892	168	83	
.5	797	892	65	83	
lbs	926	892	118	83	
.	1051	892	24	83	
Tissue	368	970	247	99	
Dispensers	672	970	403	99	
-	1134	970	29	99	
2.8	1208	970	127	99	
lbs	1396	970	99	99	
.	1514	970	29	99	
9	212	1067	17	65	
.	259	1068	17	65	
Med	359	1064	132	73	
Kit	533	1067	130	72	
-.75	699	1110	175	77	
lbs	935	1113	106	78	
.	1054	1115	20	75	
Bio	363	1154	116	68	
Med	528	1154	137	68	
10.	165	1236	117	84	
Data	375	1239	156	84	
File	582	1241	163	85	
Clips	795	1244	202	85	
-.5	1081	1289	131	72	
lbs	1264	1295	114	70	
.	1389	1299	17	68	
Data	371	1323	161	84	
File	579	1328	153	84	
Clamps	793	1333	244	86	
11.	162	1416	111	72	
ICG	381	1419	89	71	
Harness	538	1421	283	73	
-.5	864	1472	118	69	
lbs	1057	1473	109	69	
.	1178	1473	20	69	
LCG	365	1504	106	76	
Harness	533	1505	291	77	
12.	169	1592	112	87	
Flight	377	1592	251	87	
Data	665	1592	168	87	
File	877	1592	157	87	
-	1095	1592	25	87	
6.5	1169	1592	124	87	
lbs	1350	1592	110	87	
.	1473	1592	25	87	
and	379	1681	114	88	
flaps	554	1688	188	90	
13	157	1768	80	71	
.	253	1768	20	71	
LIOH	367	1772	161	88	
Cartridge	579	1773	379	89	
Container	1002	1775	368	89	
Assy	1426	1777	155	88	
-	1641	1778	25	87	
1.8	1727	1778	111	88	
lbs	1893	1779	113	88	
.	2019	1780	25	87	
14	167	1857	72	67	
.	254	1858	18	66	
Inside	373	1856	247	85	
Bag	658	1856	134	85	
of	830	1856	94	85	
Food	964	1856	162	85	
Container	1170	1856	367	85	
-	1597	1856	24	85	
.9	1678	1856	76	85	
lbs	1809	1856	109	85	
.	1941	1856	24	85	
15.	177	1936	111	87	
Ancillary	374	1936	364	87	
Bag	793	1936	124	87	
1.4	973	1936	112	87	
lbs	1141	1936	112	87	
.	1267	1936	25	87	
