content	x	y	w	h	
EMBLEMATVM	386	360	756	104	
LIBELLVS	1235	369	494	101	
.	1719	374	26	95	
SI	1838	375	86	96	
Semper	600	562	233	132	
præſto	852	562	188	132	
eſſe	1070	562	116	132	
in	1218	562	48	132	
fortenia	1283	562	249	132	
.	1542	562	38	132	
WI	750	1288	41	320	
Om	1596	1680	66	5	
candida	15	1916	112	85	
i	129	1910	31	90	
NTTIIIIII	871	2028	182	44	
nis	12	2012	33	88	
habet	60	2019	60	91	
ITMITTIINNIH	1111	2050	201	10	
ULU	1318	2041	73	16	
Zorantia	-13	2131	122	77	
tai	115	2131	44	77	
trigomalia	-17	2231	161	85	
blanda	-15	2311	106	112	
vells	104	2311	67	112	
perba	1	2436	89	82	
rendes	89	2425	77	83	
Ludebant	361	2233	307	95	
parili	697	2233	167	95	
tres	883	2233	125	95	
olin	1038	2233	101	95	
atite	1175	2233	178	95	
puelle	1373	2233	197	95	
Sortibus	504	2336	245	95	
,	762	2336	27	95	
ad	788	2336	71	95	
ſtygias	869	2336	219	95	
quæ	1125	2336	95	95	
prior	1259	2336	165	95	
iret	1445	2336	123	95	
aquas	1576	2336	176	95	
.	1751	2336	27	95	
Ast	372	2438	103	90	
cui	495	2438	104	90	
ia	619	2438	49	90	
&	690	2438	26	90	
tato	711	2438	114	90	
malé	855	2438	154	90	
ceferat	1033	2438	237	90	
alea	1286	2438	118	90	
talo	1447	2438	105	90	
,	1564	2438	26	90	
Ridabat	470	2537	271	92	
ſortis	748	2537	175	92	
caca	934	2537	141	92	
puella	1115	2537	166	92	
fue	1309	2537	105	92	
:	1420	2537	26	92	
Cum	366	2642	119	91	
fubitò	541	2640	183	91	
ifta	765	2638	94	92	
caput	891	2637	170	91	
labente	1081	2636	219	90	
est	1332	2634	80	91	
mortua	1413	2633	225	91	
tecto	1667	2631	145	91	
,	1823	2630	27	92	
Soluit	507	2736	180	95	
&	720	2736	27	95	
audacis	818	2736	226	95	
debita	1060	2736	181	95	
fata	1283	2736	93	95	
ioci	1413	2736	111	95	
.	1527	2736	27	95	
Rebus	354	2831	212	105	
in	592	2831	39	105	
aduerſis	669	2831	250	105	
mala	925	2831	153	105	
ſors	1112	2831	118	105	
non	1242	2831	105	105	
fallitur	1377	2831	218	105	
:	1593	2831	30	105	
aft	1627	2831	75	105	
in	1737	2831	39	105	
Fauftis	501	2945	191	89	
,	698	2943	27	91	
nec	720	2942	106	91	
precibus	854	2941	254	88	
,	1116	2938	27	91	
nec	1138	2937	105	90	
locus	1267	2936	170	89	
eſ	1453	2934	52	90	
manui	1543	2932	197	89	
.	1739	2930	27	91	
D	1376	3040	25	87	
i	1499	3040	25	87	
