content	x	y	w	h	
PA	5021	1855	241	306	
Ito	4798	2319	167	280	
3	5898	2801	13	49	
பாடா	1548	2945	529	40	
CHIESA	1812	3817	269	76	
DI	2121	3817	113	76	
SANTO	2246	3817	218	76	
SPIRITO	2504	3817	289	76	
IN	2839	3817	55	76	
SASSIA	2947	3817	231	76	
CON	3231	3817	130	76	
LO	3390	3817	98	76	
SPEDALE	3535	3817	337	76	
DE	3887	3817	98	76	
GL'INFERMI	3995	3817	461	76	
ET	4464	3817	126	76	
FAN	4596	3817	119	76	
CIVLLI	4754	3817	250	76	
ESPOSTI	5039	3817	321	76	
nel	2767	3902	104	92	
Rione	2886	3902	174	92	
di	3075	3902	67	92	
Borgo	3154	3902	183	92	
Architettura	3362	3902	331	92	
di	3712	3902	67	92	
Ottauiano	3800	3902	302	92	
Maſcherino	4129	3902	346	92	
.	4487	3902	26	92	
í	1314	3982	23	83	
Palazzo	1376	3982	250	83	
di	1671	3982	62	83	
Mons	1752	3982	165	83	
.	1915	3982	24	83	
Commendatore	1971	3982	473	83	
di	2456	3982	74	83	
S	2544	3982	23	83	
Spirito	2601	3982	200	83	
2	3199	3977	24	92	
Portico	3267	3978	239	94	
dell'Hospedale	3534	3981	442	97	
3	4870	3976	25	87	
Portone	4926	3976	226	87	
del	5181	3976	101	87	
Borgo	5303	3976	184	87	
Santo	5530	3976	155	87	
Spirito	5715	3976	212	87	
.	5936	3976	25	87	
33	6002	4033	78	53	
Gio	2261	4059	70	61	
Balta	2346	4059	120	63	
Falda	2492	4060	136	62	
diet	2648	4062	135	61	
fece	2800	4062	103	61	
.	2915	4062	17	61	
Per	4148	4060	90	64	
Gio	4259	4060	81	64	
Iacomo	4361	4060	195	64	
Roſsi	4560	4060	145	64	
in	4726	4060	24	64	
Roma	4772	4060	173	64	
alla	4954	4060	84	64	
Pace	5063	4060	106	64	
co	5185	4060	36	64	
Irruil	5246	4060	138	64	
del	5425	4060	73	64	
S.	5519	4060	34	64	
Pont	5560	4060	108	64	
,	5688	4060	17	64	
