content	x	y	w	h	
DER	582	292	208	134	
LIEFDE	851	296	568	140	
JEZUS	1499	307	450	138	
.	1925	314	40	132	
147	2042	316	134	134	
Maar	530	652	195	96	
vlied	755	657	163	97	
de	959	662	87	93	
begeerlykheden	1075	665	457	102	
der	1573	676	108	94	
jongheid	1711	679	258	97	
.	1988	685	28	93	
II	995	756	71	92	
Tim	1108	759	121	94	
.	1267	763	28	92	
II	1330	764	69	93	
:	1397	766	28	92	
22	1456	767	87	93	
.	1546	770	28	92	
:	64	1656	20	5	
3	64	1647	20	5	
HEB	63	1804	21	53	
150	1796	1885	104	80	
RET	65	1942	19	50	
Ind	1120	950	178	104	
ia	1443	952	78	103	
is	1661	954	58	103	
on	1875	955	78	103	
D	335	1078	18	117	
aar	499	1079	123	118	
wand	648	1080	202	118	
'	848	1081	35	117	
len	891	1081	85	118	
twee	1027	1082	172	118	
Gezellen	1226	1084	323	119	
v	1816	1088	35	117	
Door	431	1225	210	101	
'	655	1227	30	99	
s	685	1227	30	99	
waerelds	745	1228	322	100	
levens	1097	1230	220	100	
-	1315	1231	30	99	
land	1347	1231	140	100	
,	1515	1233	30	99	
Die	432	1334	126	126	
t	591	1336	37	125	
’	616	1336	37	125	
zaamen	656	1336	260	126	
hand	955	1338	180	126	
aan	1173	1339	109	126	
hand	1319	1340	182	126	
,	1511	1342	37	125	
Gelyke	317	1493	295	90	
jaaren	643	1492	194	89	
tellen	894	1490	186	89	
;	1116	1487	27	91	
o	1147	1487	22	91	
o	1754	1482	26	91	
rlo	1888	1481	225	90	
Van	421	1613	140	109	
Ouds	608	1613	210	109	
gelyk	848	1612	190	109	
als	1083	1612	94	108	
Een	1207	1612	139	108	
geweeſt	1383	1611	300	107	
,	1697	1610	32	109	
Een	425	1726	133	117	
heet	602	1728	168	117	
'	774	1729	35	116	
er	811	1729	67	116	
Vlees	908	1730	204	117	
,	1116	1731	35	116	
en	1212	1732	67	116	
de	1325	1732	87	117	
ander	1431	1733	196	117	
Geeft	1670	1735	205	117	
.	1883	1736	35	116	
Maar	319	1862	200	109	
ach	552	1863	110	109	
!	698	1864	32	108	
wat	774	1865	141	108	
zouw	948	1866	174	109	
het	1175	1867	125	109	
weezen	1335	1868	266	110	
!	1622	1870	32	108	
Haar	411	1986	188	108	
vriendſchap	647	1988	414	109	
,	1081	1991	32	107	
die	1154	1991	110	108	
men	1283	1992	155	108	
ziet	1481	1993	142	108	
,	1637	1994	32	107	
Is	419	2110	65	117	
'	511	2111	35	116	
t	535	2111	35	116	
rechte	591	2112	235	117	
wezen	853	2113	221	118	
niet	1122	2115	137	117	
;	1290	2116	35	116	
o	1379	2117	20	116	
oooo	1611	2118	289	118	
Of	325	2230	116	124	
'	434	2231	37	124	
t	472	2231	37	124	
lof	543	2231	107	125	
’	635	2232	37	124	
lyk	669	2232	90	124	
word	816	2233	182	125	
gepreezen	1053	2235	348	126	
,	1429	2237	37	124	
'	404	2373	34	117	
t	428	2373	34	117	
Is	502	2373	64	117	
mommery	581	2372	375	117	
,	983	2372	34	117	
bedrog	1046	2372	257	116	
,	1325	2370	34	117	
en	1411	2371	64	116	
ſchyn	1517	2370	199	117	
,	1738	2369	34	117	
Wat	398	2486	197	125	
zouden	625	2488	247	125	
zy	915	2490	71	124	
voor	1041	2491	159	124	
vrienden	1226	2492	314	126	
zyn	1582	2494	109	125	
!	1732	2495	37	124	
Al	320	2640	96	104	
zyn	440	2640	119	103	
zy	608	2639	77	104	
t	726	2638	30	104	
’	747	2639	30	104	
zaam	776	2638	150	104	
gebooren	1007	2637	314	103	
,	1356	2636	30	104	
Noch	407	2755	220	117	
is	667	2755	45	115	
'	731	2754	35	116	
er	773	2754	45	116	
groot	876	2753	200	114	
verſcheel	1107	2751	341	114	
,	1451	2748	35	116	
bow	1495	2747	201	116	
In	423	2885	65	117	
'	526	2884	35	117	
t	550	2884	35	117	
een	624	2884	100	116	
,	750	2883	35	117	
of	836	2882	65	116	
'	927	2881	35	117	
t	963	2881	35	117	
ander	1025	2880	195	115	
deel	1256	2878	153	117	
,	1411	2877	35	117	
Daar	315	3013	174	104	
zy	531	3014	76	103	
als	645	3015	89	103	
Kind	772	3016	193	104	
'	968	3017	31	103	
ren	987	3017	104	104	
hooren	1139	3018	243	105	
:	1426	3020	31	103	
De	408	3142	130	100	
een	567	3143	100	100	
is	722	3144	38	100	
een	805	3145	101	99	
Burger	961	3146	248	100	
deezer	1248	3148	223	100	
tyd	1512	3150	115	99	
,	1645	3150	30	99	
En	412	3259	99	107	
de	558	3260	79	107	
ander	666	3261	205	107	
van	902	3263	124	106	
de	1060	3264	99	106	
eeuwigheid	1184	3264	406	109	
.	1607	3267	32	106	
De	308	3382	139	125	
Tydeling	483	3383	322	127	
vol	844	3385	126	126	
luften	1002	3386	192	126	
K	1199	3497	26	88	
2	1315	3497	26	88	
Leid	1983	3472	166	127	
Pelety	-2	3057	124	61	
