content	x	y	w	h	
16	367	4086	79	45	
HOLDING	366	3933	77	282	
ON	363	3597	79	74	
TO	363	3461	78	74	
THE	362	3329	78	113	
TOP	361	3153	78	102	
OF	359	3000	79	88	
QUAD	359	2869	78	162	
IV	357	2653	79	74	
WITH	356	2536	78	162	
THE	458	3927	74	119	
RIGHT	456	3764	73	214	
HAND	453	3508	74	170	
,	451	3323	75	22	
TEAR	450	3243	74	150	
AWAY	448	3041	74	160	
AT	446	2832	74	88	
THE	444	2685	75	105	
INCONEL	443	2521	72	284	
AND	538	3933	78	125	
THERMAL	536	3753	77	278	
BLANKETS	533	3421	76	330	
ON	529	3033	79	59	
THE	528	2909	78	114	
LEFT	527	2741	77	162	
HAND	525	2536	77	168	
SIDE	624	3934	78	165	
WITH	622	3729	78	165	
THE	620	3495	78	113	
SCISSORS	619	3331	76	333	
,	616	2982	79	24	
BY	615	2907	79	74	
STARTING	614	2779	76	322	
AT	611	2406	78	88	
THE	712	3929	78	114	
5	710	3756	79	24	
INCH	709	3658	78	136	
TAPED	707	3457	77	205	
OPENING	704	3209	77	282	
IN	701	2861	78	59	
THE	699	2733	79	113	
LEFT	698	2569	77	162	
HAND	695	2364	78	168	
SIDE	796	3926	82	153	
OF	794	3713	82	74	
THE	793	3590	82	119	
INCONEL	791	3408	81	273	
BLANKET	788	3075	81	284	
,	785	2776	83	25	
EXPOSING	784	2697	81	315	
THE	781	2311	82	108	
ED	882	3933	74	84	
RELAY	881	3800	73	209	
BOX	878	3539	75	120	
17	967	4082	75	57	
VERIFY	965	3923	74	239	
ACCESS	962	3623	74	240	
CLEAR	959	3331	75	202	
OF	957	3080	76	85	
THE	956	2946	75	109	
INCONEL	954	2763	74	266	
BLANKET	951	2437	73	289	
TO	1055	3927	71	65	
ED	1054	3809	71	90	
RELAY	1053	3678	70	208	
BOX	1052	3415	70	124	
26	360	2055	71	65	
POWER	359	1881	70	199	
DOWN	358	1621	70	143	
LMP	356	1413	71	122	
BUS	356	1242	70	120	
AND	355	1064	70	120	
HOOK	354	906	70	156	
UP	353	687	70	65	
ED	352	558	71	76	
ADAPTER	434	1885	86	291	
CABLE	433	1542	86	204	
(	432	1273	87	25	
SEE	431	1242	87	112	
STEPS	431	1066	86	192	
15	430	807	87	65	
,	429	717	87	25	
16	429	626	87	48	
,	429	549	87	25	
17	428	461	87	62	
OF	428	354	87	80	
LOSS	526	1886	86	169	
OF	524	1666	87	81	
MANUAL	523	1557	86	255	
'	521	1285	87	26	
&	521	1241	87	26	
AUTO	520	1155	86	154	
APS	519	946	86	125	
START	517	770	86	205	
27	666	2050	73	68	
APPLY	665	1879	71	204	
POWER	663	1631	72	205	
TO	661	1359	73	54	
ED	660	1246	73	81	
ADAPTER	659	1110	72	285	
CABLE	657	769	72	193	
:	655	551	73	22	
CB	774	1889	86	82	
(	773	1741	87	26	
16	772	1694	87	45	
)	772	1619	87	26	
EPS	771	1546	86	125	
:	770	1399	87	26	
BAT	769	1323	86	114	
FEED	768	1155	86	154	
TIE	766	935	86	114	
(	764	757	87	26	
2	764	721	87	26	
)	764	685	87	26	
CLOSE	772	521	67	203	
28	887	2051	69	76	
MANUALLY	886	1893	67	347	
STAGE	883	1498	68	204	
CB	994	1886	83	81	
(	993	1736	83	25	
11	992	1710	83	81	
)	992	1620	83	25	
ED	991	1542	83	81	
:	990	1452	83	25	
LOGIC	990	1374	81	200	
PWR	988	1122	82	119	
A	986	948	83	25	
-	986	856	83	25	
CLOSE	985	775	82	200	
MASTER	1082	1893	71	262	
ARM	1079	1586	72	105	
-	1077	1409	73	22	
ON	1076	1335	73	82	
STAGE	1160	1888	78	207	
-	1158	1620	79	23	
FIRE	1158	1544	78	164	
STAGE	1251	1875	73	191	
SEQ	1248	1629	74	120	
RELAYS	1247	1464	72	247	
LTS	1244	1171	74	132	
-	1242	983	75	22	
OFF	1241	906	74	119	
29	1330	2046	86	81	
CB	1328	1881	87	82	
(	1327	1733	87	26	
16	1327	1698	87	49	
)	1326	1621	87	26	
EPS	1325	1535	87	114	
:	1324	1401	87	26	
BAT	1324	1326	86	113	
FEED	1322	1155	86	154	
TIE	1321	946	86	125	
(	1319	765	87	26	
2	1319	731	87	26	
)	1318	687	87	26	
-	1318	599	87	26	
OPEN	1317	523	86	158	
DEMATE	1421	1875	73	236	
P166	1418	1582	74	145	
/	1417	1409	75	22	
167	1416	1354	75	109	
OF	1415	1202	75	81	
ADAPTER	1414	1073	73	289	
CABLE	1411	727	73	198	
FROM	1409	481	74	161	
1166	1501	1885	79	166	
AND	1498	1663	81	116	
JETTISON	1496	1481	78	309	
CB	1583	1881	87	82	
(	1582	1743	87	26	
16	1582	1698	86	49	
)	1581	1621	87	26	
EPS	1580	1546	87	125	
:	1579	1409	87	26	
BAT	1579	1326	86	125	
FEED	1578	1158	86	172	
TIE	1576	935	86	114	
(	1575	765	87	26	
2	1574	731	87	26	
)	1574	687	87	26	
-	1574	609	87	26	
CLOSE	1573	523	86	202	
30	1674	2039	83	61	
PERFORM	1673	1885	81	285	
CABIN	1670	1539	82	200	
REPRESSURIZATION	1668	1291	78	669	
WITH	1663	580	82	176	
DESCENT	1759	1874	71	295	
02	1757	1537	73	80	
IF	1756	1401	73	67	
AVAILABLE	1756	1278	71	366	
31	1845	2049	76	84	
PERFORM	1844	1885	75	280	
POST	1841	1541	76	169	
-	1840	1363	77	23	
EVA	1839	1332	77	120	
SYSTEMS	1838	1162	75	301	
CONFIGURATION	1835	811	74	528	
FRONT	1223	3920	73	207	
CORNER	1221	3669	73	248	
CONN	1218	3372	74	155	
MUST	1216	3171	74	176	
NOT	1215	2957	74	128	
BE	1213	2780	75	70	
DEMATED	1212	2650	73	293	
CONN	1518	3921	70	159	
COUPLING	1516	3701	68	308	
PLIERS	1513	3334	69	253	
CAN	1510	3027	70	102	
BE	1509	2866	70	81	
UTILIZED	1507	2742	69	338	
IF	1504	2354	71	81	
REQUIRED	1604	3920	70	331	
18	1746	4076	75	52	
DEMATE	1745	3921	73	246	
CONNECTORS	1742	3613	72	402	
REQUIRED	1739	3157	72	326	
FOR	1736	2769	74	105	
ACCESS	1734	2612	74	252	
TO	1732	2301	75	59	
GSE	1834	3932	70	131	
DUST	1832	3747	70	165	
COVER	1830	3539	70	198	
WITHOUT	1828	3293	68	300	
DEMATING	1825	2943	68	312	
FRONT	1821	2559	69	201	
CORNER	1919	3922	69	252	
CONNECTOR	1916	3619	67	366	
19	2006	4075	74	56	
DEMATE	2004	3918	73	247	
GSE	2001	3633	75	130	
DUST	2000	3454	73	163	
COVER	1998	3242	73	203	
20	2091	4077	76	56	
REMOVE	2089	3919	74	246	
ED	2086	3620	76	70	
ADAPTER	2084	3500	74	298	
CABLE	2080	3152	76	197	
FROM	2077	2897	76	155	
PGA	2075	2692	76	122	
GLOVE	2073	2531	75	206	
21	2176	4079	75	71	
REMOVE	2174	3917	74	239	
DUST	2171	3617	74	156	
CAP	2168	3412	76	108	
FROM	2167	3243	74	161	
CONNECTOR	2164	3021	73	360	
P428	2160	2612	74	166	
22	2258	4078	80	63	
OBSERVE	2256	3917	78	277	
ALIGNMENT	2252	3581	78	384	
MARKS	2248	3164	79	210	
&	2245	2894	81	24	
MATE	2245	2828	79	167	
ED	2242	2605	81	77	
ADAPTER	2241	2484	78	291	
CABLE	2340	3917	79	198	
TO	2337	3649	81	59	
GSE	2336	3543	80	117	
CONN	2334	3355	80	146	
ON	2332	3149	81	59	
ED	2331	3035	80	92	
RELAY	2330	2899	79	207	
BOX	2327	2641	80	127	
23	2435	4082	74	81	
PULL	2433	3913	74	157	
THE	2431	3699	74	115	
CABLE	2429	3537	73	204	
SLIGHTLY	2426	3277	72	335	
TAUT	2422	2897	73	167	
24	2512	4074	82	62	
CLIMB	2510	3906	80	207	
DOWN	2507	3654	82	149	
FROM	2505	3447	81	152	
LM	2502	3237	83	77	
VIA	2501	3103	82	119	
MESA	2499	2943	82	169	
(	2497	2712	83	25	
OR	2496	2691	83	77	
NAVIGATE	2495	2569	79	341	
BACK	2601	3917	77	162	
ACROSS	2599	3701	76	242	
SECONDARY	2595	3405	76	370	
STRUTS	2591	2984	77	245	
TO	2588	2685	78	74	
LADDER	2586	2568	77	256	
)	2584	2304	79	24	
25	2684	4075	75	57	
CLIMB	2682	3906	74	195	
UP	2679	3662	76	71	
LADDER	2678	3535	74	246	
AND	2675	3228	75	109	
ENTER	2673	3070	74	203	
CABIN	2670	2808	75	191	
