content	x	y	w	h	
[romp;!	6645	5161	182	48	
iSifflgM	6189	5196	188	44	
mwkBBI	4970	5492	138	36	
IpM®	6056	5697	381	74	
aaiiiwi)	5596	6530	146	52	
RECENTIS	772	653	1216	152	
ROMA	2094	661	768	146	
ICHNOGRAPHIA	2974	664	1950	158	
E	5022	678	105	145	
T	5198	680	121	149	
HYPSOGRAPHIA	5454	680	2046	158	
SIVE	7614	680	510	158	
PLAN	8244	677	649	161	
QVA	1800	848	469	181	
SVB	2424	854	448	174	
ALEXANDRO	2994	840	1594	189	
VII	4706	849	341	180	
jWftftWbfes.	5165	840	885	189	
P.M.VRBS	6146	857	1040	172	
IPSA	7304	882	522	146	
DIRECTA	7922	873	976	156	
IO.	2366	1024	117	49	
BAPTISTA	2520	1024	512	54	
FALDA	3068	1028	330	53	
DE	3438	1032	122	52	
VALLE	3613	1032	298	54	
VDIA	3974	1036	265	52	
DE	4300	1037	109	53	
LINE	4432	1038	217	52	
AVI	4666	1041	166	52	
T	4850	1041	52	52	
ET	4965	1042	124	50	
IN	6170	1040	98	53	
C	6301	1041	44	52	
ID	6374	1040	97	53	
I	6493	1041	25	52	
T	6542	1041	46	52	
C	6646	1040	45	53	
VRA	6714	1040	189	53	
E	6952	1042	42	50	
T	7022	1042	49	50	
rEjyiiilm	8218	1781	174	49	
iiit	8400	1776	70	54	
<v'y,,	1253	2176	97	45	
'	1402	2180	17	41	
/>/,	1432	2177	70	44	
vv>	1574	2178	61	42	
cZ>	1650	2190	62	36	
e/u^<7'ie	1832	2178	186	48	
in	2040	2177	42	49	
capitc,<tt	2106	2166	220	61	
P..ain	2401	2189	118	38	
L	2544	2172	13	56	
f®	2796	2178	58	50	
-	1972	2305	37	20	
cmerdnw	2037	2281	240	45	
CoW\^cf	2524	2260	294	90	
If	2818	2260	40	90	
Wf%	1248	2337	137	64	
exu^n	1834	2348	230	53	
■Etfortajf	2081	2333	300	69	
^	2406	2324	40	78	
ite'frv	2498	2312	213	90	
L/\Vvoyj	1248	2385	204	69	
e,:'*"n	1480	2389	144	65	
i„	1638	2414	44	40	
y^a"'	1694	2386	153	70	
tmplicuit,	1866	2398	224	58	
immortale?	2105	2378	297	78	
,uf*K-	2673	2392	176	68	
ZCJec"'°™»i	1716	2448	312	56	
Orbem	2048	2461	154	42	
pro^d-	2224	2432	225	82	
te	2585	2453	33	61	
«	2636	2442	22	72	
£0M	2689	2418	160	96	
|C?	1248	2470	266	104	
».5Aa.»,	1525	2480	478	94	
Jm	2176	2473	100	101	
«*	2290	2494	84	80	
«j;„,	2392	2478	140	98	
■	1670	2609	9	10	
T	1714	2561	44	65	
Oroscoptim	2038	2574	270	52	
,J?I	2318	2560	94	66	
_	2449	2606	9	20	
/l0li	2481	2581	90	45	
JLw'J,U	2585	2562	174	64	
>lf	2776	2553	48	73	
***5*	1490	2625	154	53	
*	1680	2612	30	66	
f'	1782	2626	29	52	
"Uraturtjuc	1824	2633	276	54	
nouos,	2120	2636	145	52	
aCc/'	2281	2609	140	78	
jUtC^/^A"'1/	2474	2588	352	104	
IS®	1246	2648	213	89	
tn	1561	2697	49	40	
fS^-XiuJprotndz	1625	2649	606	89	
d^n/nj	2248	2650	258	89	
^	2556	2650	52	89	
MIma<jinem	1246	2726	1062	65	
r»b	2497	2740	76	52	
Xvxutuur	1754	2774	256	56	
ac	2037	2806	58	25	
cubit;	2100	2790	140	42	
dblut	2465	2780	129	61	
Wmfi**iluj^ue—^	1246	2806	1046	100	
-	2308	2850	34	56	
ffucj^^Z	2373	2809	484	100	
as!ue'd/cr«ten	1581	2885	350	69	
ac	1950	2918	54	36	
uitam.	2018	2902	156	52	
Hac	2188	2904	97	50	
ta	2300	2900	41	54	
"ur?tti&enbintut,	1654	2945	413	61	
trt	2082	2965	42	41	
unicnJ	2146	2953	156	53	
L	2310	2944	36	62	
acitg&rM	2354	2940	241	66	
-	2608	2970	6	36	
SftfcjL	1250	2977	226	110	
X/tcr,	1806	3000	150	88	
cl	1978	3018	41	69	
Idem	2044	3004	138	84	
•	2206	3038	4	49	
,^gii,	2593	2981	264	109	
I	1248	3077	13	50	
^''	1713	3076	44	52	
-	1766	3108	5	20	
dacobuc	1796	3081	173	48	
dc	1982	3096	42	34	
88	2650	3073	57	57	
5BB8	2725	3073	129	57	
li/t?	7505	3158	57	18	
'	7778	3393	5	12	
v«	7792	3394	34	21	
f	7836	3396	17	22	
.S.Ap	6576	5296	89	46	
oiloioruni!	6672	5298	193	44	
PuV^Ti-a	572	5336	132	48	
Paula	580	5381	109	30	
^	694	5377	17	36	
a	2577	5500	14	13	
nit/lit	2592	5498	69	14	
unu/nq	4933	5536	108	22	
iiiSia	5600	5633	77	44	
Colnnti.	5686	5644	118	33	
'jpafi^r^	8656	6268	154	32	
Scria^yruu	8650	6298	160	29	
nun?	8657	6334	77	24	
jjSug*	8744	6326	66	44	
ICAiJHVM	1106	6893	384	54	
AN	1505	6892	120	60	
TIQVITi	1636	6898	306	70	
\.L	1105	6993	61	40	
IORVM(J,	1182	6993	305	60	
ADIFICIORV	1506	6993	428	60	
VRBJS	1113	7082	214	41	
ROMA	1356	7084	214	41	
SVISLOCI	1597	7086	333	44	
Wkt	1104	7162	129	68	
i\&%	1245	7174	133	56	
REGIONXBVS	1404	7180	420	50	
>vM	1857	7145	84	85	
iJtlcJuitp	3873	7412	156	38	
mm	3908	7634	292	85	
s£kY"	2540	7960	98	36	
O^^V«SS<-	2648	7956	260	41	
ioPSlfe	6905	8434	148	45	
pee	6917	8468	82	33	
|u	7010	8461	41	40	
B	7357	9497	32	32	
A.SILU:A	7402	9497	229	32	
S.	7662	9500	34	30	
I'AVLI	7714	9498	157	32	
B	6237	9510	29	29	
ASItLICA	6274	9508	233	32	
S.PE	6520	9508	94	32	
TBI	6625	9508	85	32	
IN	6726	9508	56	32	
VATICAN	6794	9506	218	33	
