content	x	y	w	h	
PAGE	628	211	160	65	
4	848	208	21	67	
DATE	3486	156	153	123	
-67284777/4171	3663	156	589	123	
2	482	407	5	61	
G	119	646	92	27	
&	119	580	92	26	
C	119	515	92	26	
DISPLAYS	203	784	95	465	
THRU	395	490	157	69	
SYMPTOM	761	568	164	42	
PROCEDURE	2171	560	207	38	
REMARKS	3707	551	168	46	
3	491	583	3	54	
2	682	733	13	50	
1	3506	672	13	49	
Orbital	3559	672	104	49	
rate	3680	672	57	49	
and	3766	672	41	49	
inertial	3837	672	105	49	
total	3965	672	67	49	
at	4053	672	39	49	
titude	3561	720	87	42	
displays	3663	720	117	41	
are	3795	719	41	42	
identical	3856	719	126	40	
1	4001	718	11	41	
min	4026	718	48	41	
.	4083	718	11	41	
ute	3558	761	45	46	
per	3627	761	51	46	
orbital	3703	761	95	46	
period	3817	761	87	46	
.	3911	761	12	46	
Waiting	3938	761	110	46	
1	4077	761	12	46	
minute	3557	805	100	45	
resolves	3674	806	120	45	
possible	3808	807	115	45	
ambiguity	3944	808	136	45	
.	4084	809	12	44	
YES	1711	828	52	37	
2	1823	842	10	37	
ORDEAL	1951	838	107	44	
pnl	2080	840	42	43	
NO	2266	859	40	37	
FDAI	683	888	71	34	
total	765	886	65	36	
att	839	886	42	35	
abnormal	891	885	138	35	
FDAI	1313	876	69	46	
OFF	1391	876	53	46	
flag	1454	876	55	46	
visible	1523	876	82	46	
?	1614	876	13	46	
NO	2824	869	39	33	
3	2380	837	11	36	
Wait	2374	896	68	35	
1	2459	895	9	36	
min	2481	895	47	36	
&	2554	894	9	36	
observe	2587	894	107	35	
FDAI	2711	892	72	37	
.	2778	892	10	37	
FDAI	2409	952	68	45	
total	2494	953	62	44	
att	2573	953	37	45	
changes	2627	954	116	45	
?	2748	955	12	44	
YES	2591	1009	51	40	
FDAI	3061	921	71	40	
FAILED	3143	921	94	40	
.	3241	921	11	40	
FDAI	1855	927	66	40	
1	1934	927	11	40	
(	1959	926	11	40	
2	1972	926	11	40	
)	1984	926	11	40	
affected	2008	926	117	40	
FDAI	2141	926	67	39	
-	1853	973	13	43	
alt	1876	973	37	41	
position	1923	972	109	41	
(	2047	971	12	42	
ORB	2058	969	56	43	
RATE	2129	969	73	42	
or	1850	1017	30	37	
INRTL	1897	1016	81	35	
)	1977	1013	11	38	
NO	1477	974	38	35	
2a	674	1068	67	54	
FDAI	1927	1099	72	35	
moves	2003	1098	93	35	
?	2100	1096	10	37	
YESU	1956	1156	90	41	
5	2376	1139	9	37	
FDAI	2429	1178	74	37	
OFF	2507	1177	54	38	
FLAG	2576	1177	63	37	
FAILED	2658	1176	95	37	
.	2756	1175	10	38	
FDAI	692	1212	70	44	
OFF	775	1214	46	43	
flag	835	1216	55	43	
appears	903	1217	108	45	
6	1264	1346	9	36	
YES	1711	1331	52	36	
7	1824	1349	9	36	
ORDEAL	1944	1346	111	46	
pnl	2073	1350	47	45	
ORDEAL	1344	1375	110	47	
operating	1469	1376	134	47	
?	1609	1378	12	45	
2	2786	1392	10	35	
2	3500	1375	13	47	
Failure	3563	1375	101	47	
may	3677	1375	62	47	
be	3755	1375	25	47	
confined	3804	1375	117	47	
to	3938	1375	27	47	
ORDEAL	3981	1375	112	47	
resolvers	3562	1422	130	43	
