content	x	y	w	h	
84	729	357	87	116	
'	1014	354	35	117	
s	1049	353	35	117	
MENSCHEN	1106	352	651	110	
BEGIN	1828	345	337	113	
,	2206	341	35	117	
I	1208	512	27	94	
SAMUEL	1269	512	350	94	
XVII	1651	512	207	94	
:	1870	512	27	94	
37	1949	512	53	94	
.	2014	512	27	94	
oorder	906	677	227	92	
zeide	1154	677	187	92	
David	1383	677	188	92	
,	1607	677	26	92	
de	1666	677	85	92	
HEERE	1779	677	295	92	
,	2091	677	26	92	
die	2150	677	104	92	
my	2263	677	118	92	
van	2396	677	104	92	
de	742	766	80	87	
hand	856	766	159	87	
des	1058	766	113	87	
leeuws	1206	766	236	87	
gereddet	1476	766	302	87	
heeft	1786	766	190	87	
,	1988	766	25	87	
en	2039	766	64	87	
uit	2123	766	100	87	
de	2238	766	80	87	
hand	2334	766	160	87	
des	746	847	114	88	
beyrs	859	847	199	88	
,	1058	847	25	88	
die	1101	847	88	88	
zal	1218	847	101	88	
my	1320	847	130	88	
redden	1464	847	224	88	
uit	1722	847	88	88	
de	1826	847	82	88	
hand	1916	847	175	88	
dezes	2105	847	195	88	
Phili	2330	847	175	88	
Ityns	753	936	168	87	
:	927	936	25	87	
doe	965	936	124	87	
zeide	1109	936	186	87	
Saultot	1299	936	265	87	
David	1578	936	190	87	
,	1798	936	25	87	
Gaat	1829	936	172	87	
heenen	2021	936	235	87	
,	2291	936	25	87	
en	2333	936	64	87	
de	2426	936	80	87	
HEERE	744	1016	295	83	
zy	1079	1019	88	81	
met	1175	1020	149	82	
u	1357	1022	22	80	
.	1398	1023	22	80	
ROMEINEN	1227	1098	466	86	
XII	1741	1098	136	86	
:	1894	1098	25	86	
21	1949	1098	80	86	
,	2026	1098	25	86	
En	834	1187	88	81	
word	954	1189	166	81	
van	1165	1191	102	80	
'	1309	1192	22	80	
t	1334	1192	22	80	
kwaad	1398	1193	217	81	
niet	1662	1195	138	81	
overwonnen	1842	1197	409	83	
,	2285	1201	22	80	
maar	2335	1202	182	81	
overwint	742	1274	330	86	
'	1095	1274	25	86	
t	1121	1274	25	86	
kwaad	1168	1274	221	86	
door	1423	1274	156	86	
'	1605	1274	25	86	
t	1631	1274	25	86	
goed	1700	1274	155	86	
.	1860	1274	25	86	
1	1093	1360	29	102	
KORINTHEN	1162	1360	523	102	
IX	1739	1360	57	102	
:	1842	1360	29	102	
25	1912	1360	77	102	
—	2009	1360	29	102	
27	2078	1360	77	102	
.	2154	1360	29	102	
Een	830	1454	130	82	
iegelyk	1012	1454	234	82	
,	1280	1454	23	82	
die	1316	1454	106	82	
ſom	1446	1454	105	82	
prys	1618	1454	140	82	
ſtryd	1827	1454	153	82	
,	2002	1454	23	82	
onthoud	2055	1454	281	82	
hem	2365	1454	107	82	
in	749	1533	53	96	
alles	842	1533	154	96	
.	1000	1533	28	96	
Deze	1102	1533	194	96	
dan	1328	1533	95	96	
(	1475	1533	28	96	
doen	1512	1533	144	96	
]	1689	1533	28	96	
wel	1737	1533	137	96	
(	1902	1533	28	96	
dit	1929	1533	96	96	
]	2028	1533	28	96	
op	2075	1533	69	96	
dat	2168	1533	109	96	
zy	2298	1533	71	96	
een	2395	1533	96	96	
verderfelyke	753	1614	437	86	
kroone	1211	1619	247	83	
zouden	1504	1621	229	84	
ontfangen	1787	1624	339	84	
,	2153	1627	22	82	
maar	2197	1627	174	84	
wy	2401	1629	106	83	
een	749	1699	108	84	
onverderfelyke	904	1699	536	84	
.	1442	1699	24	84	
.	1536	1699	24	84	
Ik	839	1784	47	87	
loope	932	1784	199	87	
dan	1169	1784	100	87	
alzoo	1328	1784	173	87	
,	1532	1784	25	87	
niet	1574	1784	126	87	
als	1720	1784	99	87	
op	1856	1784	64	87	
het	1963	1784	111	87	
onzeker	2111	1784	267	87	
:	2395	1784	25	87	
ik	2452	1784	33	87	
kampe	740	1867	234	80	
alzoo	1010	1867	177	80	
,	1208	1867	23	80	
niet	1269	1867	137	80	
als	1436	1867	80	80	
de	1548	1867	74	80	
lucht	1660	1867	175	80	
ſlaande	1868	1867	240	80	
.	2110	1867	23	80	
Maar	826	1946	187	83	
ik	1039	1946	46	83	
bedwinge	1105	1946	339	83	
myn	1448	1946	153	83	
lichaam	1636	1946	234	83	
en	1931	1946	76	83	
