content	x	y	w	h	
NO	250	549	99	78	
.	363	550	22	77	
20	405	550	71	77	
.	488	550	22	77	
THOUGHTS	537	551	391	79	
OF	967	553	100	77	
A	1119	554	22	77	
GRATEFUL	1186	554	395	79	
SOUL	1603	556	197	78	
UPON	480	620	205	72	
THE	739	620	143	72	
SUFFERINGS	907	620	473	72	
AND	1408	620	153	72	
DEATH	692	700	234	64	
OF	978	700	94	64	
JESUS	1122	700	216	64	
Words	661	783	146	48	
arranged	820	783	180	48	
by	1021	783	45	48	
C	1093	783	13	48	
.	1117	783	13	48	
A	1157	783	13	48	
.	1181	783	13	48	
Tindley	1217	783	141	48	
,	1362	783	13	48	
1	490	855	12	43	
-	512	855	12	43	
Come	547	855	114	43	
every	672	855	101	43	
one	804	855	68	43	
that	886	855	83	43	
loves	982	855	104	43	
the	1100	855	62	43	
Lord	1176	855	94	43	
,	1277	855	12	43	
Let	524	898	65	35	
us	604	899	46	35	
act	667	899	60	35	
the	742	899	60	35	
part	817	900	86	35	
of	919	900	38	35	
justice	975	900	125	36	
-	1112	901	9	35	
Hallelujah	1145	901	208	36	
.	1366	902	9	35	
Let	485	938	66	42	
us	562	938	46	42	
walk	619	938	88	42	
the	730	938	60	42	
self	805	938	71	42	
-	877	938	11	42	
denial	895	938	125	42	
road	1033	938	91	42	
In	530	978	30	42	
the	586	978	60	42	
way	656	978	78	42	
of	760	978	39	42	
suffering	811	978	179	42	
Jesus	1014	978	105	42	
-	1128	978	11	42	
Hallelujah	1158	978	214	42	
,	1378	978	11	42	
He	481	1018	62	42	
was	552	1018	78	42	
tried	649	1018	87	42	
by	754	1018	54	42	
Pontius	823	1018	160	42	
Pilate	1005	1018	116	42	
-	1130	1018	11	42	
Hallelujah	1167	1018	211	42	
,	1384	1018	11	42	
And	525	1057	81	48	
was	622	1057	75	48	
scourged	715	1057	172	48	
by	907	1057	52	48	
Romam	980	1057	133	48	
soldeirs	1151	1057	160	48	
-	1318	1057	13	48	
Hallelujah	1353	1057	208	48	
.	1568	1057	13	48	
2	486	1128	12	44	
-	513	1128	12	44	
And	549	1128	76	44	
while	642	1128	103	44	
he	765	1128	49	44	
bore	824	1128	91	44	
the	940	1128	63	44	
heavy	1013	1128	118	44	
cross	1156	1128	99	44	
Jesus	531	1170	105	42	
fell	653	1170	65	42	
beneath	731	1170	151	42	
his	903	1170	60	42	
burden	980	1170	134	42	
-	1127	1170	11	42	
-	1140	1170	11	42	
Hallelujah	1162	1170	212	42	
,	1385	1170	11	42	
That	492	1209	90	44	
all	589	1209	56	44	
the	660	1209	63	44	
world	736	1209	107	44	
of	864	1209	48	44	
sinners	921	1209	140	44	
'	1071	1209	12	44	
loss	1092	1209	79	44	
Might	519	1252	129	42	
receive	659	1252	144	42	
