content	x	y	w	h	
ROCHESTER	1978	569	394	75	
.	2391	570	21	74	
C	2481	571	21	74	
.	2511	571	21	74	
M	2571	571	21	74	
.	2623	571	21	74	
30	793	594	46	63	
And	1563	654	60	38	
they	1641	653	68	38	
sing	1722	653	66	38	
the	1799	653	55	38	
song	1861	653	70	38	
of	1943	653	29	38	
Moses	1984	653	103	37	
the	2095	652	55	38	
servant	2159	653	119	37	
of	2290	652	29	38	
God	2329	652	60	38	
,	2398	652	10	38	
and	2418	651	60	39	
the	2489	652	55	38	
song	2557	652	69	37	
of	2641	651	29	38	
the	2680	651	55	38	
Lamb	2749	652	91	37	
.	2842	651	10	38	
-	2877	651	10	38	
Rev	2906	651	65	38	
.	2979	651	10	38	
15	3006	650	21	38	
:	3041	650	10	38	
3	3064	651	10	38	
.	3080	651	10	38	
ISAAC	866	678	96	59	
WATTS	985	679	137	58	
,	1121	679	16	58	
1707	1150	679	76	58	
.	1228	680	16	58	
Key	1288	680	68	58	
of	1388	680	32	58	
A	1446	680	16	58	
Major	1487	680	115	59	
.	1605	681	16	58	
With	1818	892	91	49	
an	1934	893	34	48	
-	1989	893	13	48	
gels	2022	893	63	48	
round	2101	893	106	49	
the	2225	894	61	48	
throne	2299	894	117	48	
;	2415	894	13	48	
Ten	2446	895	62	48	
thousand	2529	895	170	48	
thousand	2710	895	168	49	
are	2894	896	54	48	
their	2965	896	84	48	
tongues	3076	897	148	48	
,	3224	897	13	48	
But	3272	897	68	48	
all	3360	898	41	48	
their	3430	898	86	48	
joys	3533	898	73	48	
are	3624	898	56	49	
one	3732	899	61	48	
.	3797	899	13	48	
-	980	1013	7	23	
-	997	1012	7	23	
6	1023	1010	41	24	
2	931	1122	14	50	
.	946	1122	14	50	
Worthy	1002	1122	145	50	
the	1165	1122	58	50	
Lamb	1234	1123	105	50	
that	1357	1123	68	50	
died	1435	1123	65	50	
,	1507	1123	14	50	
”	1522	1123	14	50	
they	1559	1124	75	50	
cry	1649	1124	50	50	
,	1706	1124	14	50	
Wor	1796	1124	86	51	
-	1889	1125	14	50	
thy	1901	1125	64	50	
the	1993	1125	56	50	
Lamb	2072	1125	114	51	
,	2185	1126	14	50	
”	2201	1126	14	50	
our	2234	1126	65	50	
lips	2324	1126	60	50	
re	2428	1126	38	51	
-	2481	1127	14	50	
ply	2506	1127	57	50	
,	2563	1127	14	50	
Heav	2587	1127	93	50	
'	2685	1127	14	50	
n	2706	1127	14	50	
and	2737	1127	65	51	
earth	2836	1128	87	50	
shall	2943	1128	90	50	
pass	3038	1128	85	51	
a	3134	1129	14	50	
-	3154	1129	14	50	
way	3163	1129	85	50	
:	3251	1129	14	50	
For	3303	1129	65	50	
He	3379	1130	54	50	
was	3437	1130	79	50	
slain	3538	1130	73	50	
for	3640	1130	42	51	
us	3743	1131	45	50	
.	3787	1131	14	50	
4	946	1286	53	37	
3	927	1345	13	47	
.	946	1345	13	47	
The	988	1345	67	47	
whole	1066	1345	103	47	
cre	1185	1345	47	48	
-	1239	1346	13	47	
a	1253	1346	13	47	
-	1292	1346	13	47	
tion	1321	1346	57	47	
joins	1429	1346	80	47	
in	1528	1347	25	47	
one	1617	1347	60	47	
To	1841	1348	43	47	
bless	1900	1348	87	47	
the	2008	1348	53	47	
sa	2111	1348	35	47	
-	2165	1349	13	47	
cred	2195	1349	67	47	
name	2321	1349	106	47	
Of	2446	1350	61	47	
Him	2505	1350	60	47	
who	2597	1350	80	47	
sits	2692	1350	63	47	
up	2774	1351	34	47	
-	2837	1351	13	47	
on	2875	1351	35	47	
the	2963	1351	53	47	
throne	3064	1352	116	47	
,	3183	1352	13	47	
And	3257	1352	73	47	
to	3361	1353	27	47	
a	3461	1353	13	47	
-	3500	1353	13	47	
dore	3532	1353	74	47	
the	3625	1353	54	47	
Lamb	3713	1354	104	47	
.	3819	1354	13	47	
4	918	1561	13	47	
.	937	1561	13	47	
Let	971	1561	60	47	
all	1075	1561	40	48	
that	1153	1562	72	47	
dwell	1237	1563	94	47	
a	1350	1563	13	47	
-	1388	1563	13	47	
bove	1419	1563	86	48	
the	1524	1565	53	47	
sky	1609	1565	61	47	
,	1676	1565	13	47	
And	1811	1566	73	48	
air	1901	1567	40	47	
and	1983	1567	67	47	
earth	2079	1567	80	48	
and	2189	1569	60	47	
seas	2301	1569	73	47	
,	2372	1569	13	47	
Conspire	2406	1569	161	49	
to	2589	1571	26	47	
lift	2667	1571	49	47	
Thy	2758	1572	74	47	
glor	2895	1572	63	48	
-	2963	1573	13	47	
ies	2977	1573	48	47	
high	3056	1574	79	47	
.	3145	1574	13	47	
