content	x	y	w	h	
ACA	1061	113	110	65	
ISOLATION	1230	115	360	66	
7	231	367	6	79	
.	271	367	6	79	
2	207	997	7	87	
.	269	998	6	87	
PERFORM	757	252	285	77	
ON	1102	255	68	75	
BACKSIDE	1232	255	321	77	
OF	1601	258	82	75	
MOON	1723	259	155	76	
CB	426	364	79	91	
(	531	365	25	91	
11	565	365	68	91	
)	643	365	25	91	
STAB	733	366	148	92	
/	899	367	25	91	
CONT	946	367	151	92	
:	1111	369	25	91	
ATT	1186	369	115	92	
DIR	1354	370	115	92	
CONT	1523	371	165	92	
-	1735	373	25	91	
Open	1817	373	148	92	
:	1111	453	23	88	
ATCA	1183	454	167	91	
(	1409	459	23	88	
PGNS	1430	459	166	91	
)	1611	463	23	88	
-	1691	465	23	88	
Open	1777	467	142	90	
COMM	934	540	154	91	
:	1112	544	23	87	
CDR	1186	545	110	89	
AUDIO	1353	548	197	90	
-	1613	552	23	87	
Open	1692	554	150	90	
CB	425	624	77	85	
(	525	625	23	85	
16	569	625	46	85	
)	645	626	23	85	
COMM	941	624	146	89	
:	1111	627	24	87	
S.E.	1183	628	173	90	
AUDIO	1394	631	188	89	
-	1651	634	24	87	
Open	1733	635	152	89	
STAB	722	704	162	95	
/	893	707	24	91	
CONT	937	708	163	94	
:	1103	711	24	91	
ATCA	1182	712	158	93	
(	1363	715	24	91	
AGS	1397	716	115	93	
)	1527	718	24	91	
-	1611	719	24	91	
Open	1689	720	151	94	
ACA	425	794	110	88	
PROP	592	795	155	88	
(	817	797	24	87	
BOTH	847	797	158	88	
)	1019	798	24	87	
-	1107	799	24	87	
DISABLE	1182	799	277	89	
ATTITUDE	427	880	325	87	
CONTROL	820	883	268	87	
SW's	1144	886	160	86	
(	1370	887	23	85	
3	1404	888	23	85	
)	1447	888	23	85	
-	1524	889	23	85	
DIRECT	1604	889	251	87	
Disconnect	419	1000	426	91	
PJ	889	1004	79	88	
709A	1024	1006	143	88	
(	1237	1007	24	87	
CDR	1272	1008	110	87	
)	1396	1009	24	87	
&	1484	1010	24	87	
PJ	1555	1010	95	88	
709B	1694	1011	141	88	
(	1906	1013	24	87	
LMP	1939	1014	112	87	
)	2065	1015	24	87	
Disconnect	413	1092	433	82	
PJ	880	1095	86	80	
708A	1011	1096	160	80	
(	1240	1098	22	79	
CDR	1267	1098	112	79	
)	1400	1099	22	79	
&	1480	1099	22	79	
PJ	1552	1100	86	79	
708B	1683	1101	160	80	
(	1904	1102	22	79	
LMP	1931	1102	112	80	
)	2064	1103	22	79	
Install	425	1208	301	94	
ACA	760	1212	117	92	
Shorting	929	1213	328	94	
Plug	1306	1217	163	93	
on	1521	1220	64	91	
PJ	1631	1221	101	91	
709A	1777	1222	148	92	
(	1991	1224	25	91	
CDR	2025	1225	103	91	
)	2147	1226	25	91	
Cover	423	1290	198	94	
PJ	668	1294	99	93	
709B	803	1296	158	93	
(	1027	1299	25	91	
LMP	1053	1299	116	94	
)	1188	1301	25	91	
with	1256	1302	165	93	
tape	1485	1306	152	93	
Install	436	1380	289	98	
ACA	769	1384	104	95	
Dust	929	1385	169	97	
Cap	1141	1387	108	96	
on	1303	1389	72	95	
PJ	1426	1390	87	96	
708A	1565	1391	157	97	
(	1778	1393	26	95	
CDR	1813	1394	108	96	
)	1940	1395	26	95	
Cover	418	1461	210	91	
PJ	667	1466	96	89	
708B	807	1468	153	91	
(	1029	1472	23	87	
LMP	1053	1473	111	90	
)	1179	1475	23	87	
with	1251	1477	162	90	
tape	1485	1482	158	90	
RECONFIGURE	415	1584	452	85	
:	892	1586	24	83	
ATTITUDE	584	1668	334	82	
CONTROL	975	1672	279	82	
SW's	1311	1676	148	80	
(	1528	1678	22	79	
3	1568	1678	22	79	
)	1600	1679	22	79	
-	1688	1680	22	79	
MODE	1752	1680	160	81	
CONTROL	1983	1683	268	81	
CB	586	1756	79	84	
(	684	1757	23	83	
11	723	1758	72	83	
)	804	1758	23	83	
STAB	883	1759	156	85	
CONT	1090	1761	166	85	
:	1264	1763	23	83	
ATCA	1339	1764	166	84	
(	1524	1766	23	83	
PGNS	1559	1766	155	84	
)	1728	1768	23	83	
-	1812	1769	23	83	
Close	1888	1770	205	84	
CB	586	1840	79	84	
(	684	1841	23	83	
16	730	1842	43	83	
)	804	1842	23	83	
STAB	880	1843	159	84	
CONT	1104	1845	152	84	
:	1264	1847	23	83	
ATCA	1342	1847	163	85	
(	1568	1850	23	83	
AGS	1594	1850	117	84	
)	1728	1851	23	83	
-	1812	1852	23	83	
Close	1888	1853	205	84	
COMM	1094	1930	151	75	
:	1269	1933	20	73	
S.E.	1343	1934	160	74	
AUDIO	1550	1937	191	75	
-	1809	1940	20	73	
Close	1889	1941	200	75	
3	227	1213	7	81	
.	268	1213	7	81	
4	215	1592	18	63	
.	261	1592	18	63	
