content	x	y	w	h	
DELL'ANTICHITA	1173	180	1073	135	
DI	2317	180	149	135	
ROMA	2493	180	387	135	
Ho	1119	304	121	131	
voluto	1290	304	228	131	
mettere	1555	304	293	131	
queſta	1881	304	215	131	
porta	2128	304	210	131	
in	2357	304	73	131	
diſegno	2444	304	262	131	
,	2722	304	38	131	
perche	2772	304	238	131	
mi	977	424	154	137	
è	1117	423	42	139	
parſa	1177	422	202	138	
per	1413	420	102	139	
la	1541	419	78	139	
bellezza	1653	419	314	136	
ſua	2001	416	122	138	
veramente	2169	414	402	137	
degna	2589	411	206	138	
di	2813	409	78	139	
ėſ	2918	409	82	138	
ſere	997	547	154	130	
riguardata	1183	545	404	127	
,	1603	541	39	131	
&	1669	540	39	131	
conſiderata	1777	539	418	127	
;	2211	534	39	131	
&	2277	533	39	131	
ſe	2415	532	50	131	
bene	2484	531	171	130	
ſi	2679	529	50	131	
è	2765	528	39	131	
fatta	2839	527	154	130	
in	995	660	71	126	
ſi	1114	658	53	127	
piccola	1187	658	263	124	
forma	1481	654	241	124	
,	1723	651	38	127	
non	1774	651	124	126	
ſi	1935	649	50	127	
è	2003	648	38	127	
mancato	2043	648	344	123	
per	2419	644	108	126	
queſto	2552	642	215	125	
di	2782	639	93	127	
da	2872	638	132	126	
re	991	776	94	126	
alle	1092	775	137	126	
colonne	1252	774	281	126	
,	1543	772	38	127	
a	1595	772	38	127	
gli	1686	771	93	127	
archi	1802	771	187	126	
,	2004	769	38	127	
&	2068	769	38	127	
alle	2186	768	118	126	
fineſtre	2357	767	259	125	
quella	2660	765	212	126	
de	2884	763	118	127	
bita	997	888	145	137	
proportione	1188	885	455	133	
che	1675	879	122	137	
ſi	1809	877	79	139	
rịcercaua	1893	876	366	134	
;	2269	871	43	138	
o	2325	870	43	138	
inſiememente	2459	869	475	133	
ſi	2945	862	75	139	
ſarebbono	997	1006	367	123	
dimoſtrate	1394	1001	392	122	
le	1802	996	74	126	
ſue	1893	995	111	126	
miſure	2035	993	263	124	
,	2312	990	39	127	
ſe	2366	989	74	127	
fosſe	2469	988	163	125	
stato	2665	986	171	125	
pof	2866	983	135	125	
ſibile	1001	1120	200	130	
l'hauer	1225	1118	266	130	
apponto	1504	1117	299	129	
la	1828	1115	73	131	
ſua	1937	1114	115	131	
altezza	2078	1114	285	129	
;	2392	1112	39	131	
laquale	2434	1111	280	130	
non	2733	1110	132	130	
ſi	2889	1109	49	131	
è	2973	1108	39	131	
potuto	1001	1242	241	122	
trarre	1258	1238	236	123	
,	1496	1235	38	125	
per	1560	1234	110	124	
eſſere	1703	1233	194	122	
la	1931	1230	49	124	
quarta	2027	1228	248	123	
parte	2304	1225	198	123	
jötto	2518	1222	173	123	
terra	2720	1219	190	122	
,	2907	1217	38	125	
ſi	2946	1216	68	125	
come	990	1352	220	126	
dal	1208	1350	126	127	
proprio	1348	1349	277	126	
diſegno	1651	1347	264	126	
ſi	1946	1345	53	127	
puo	2019	1345	129	126	
conoſcerc	2175	1344	340	125	
,	2529	1341	38	127	
Per	2628	1341	130	126	
queſta	2782	1340	211	125	
cagione	999	1480	290	126	
non	1313	1475	115	128	
potendo	1471	1472	273	126	
ſcriuere	1791	1467	297	126	
,	2103	1462	40	130	
quanto	2171	1461	239	128	
io	2467	1457	51	130	
vorrei	2553	1455	229	128	
ſopra	2822	1451	177	128	
la	996	1584	71	124	
detta	1091	1583	190	123	
opera	1323	1580	197	123	
,	1548	1577	37	125	
circa	1600	1577	172	123	
il	1807	1574	48	125	
dare	1873	1573	180	124	
le	2066	1571	71	125	
miſure	2144	1570	258	123	
de	2432	1567	71	125	
ſuoi	2537	1566	142	124	
membri	2681	1564	299	122	
,	2972	1561	37	125	
laſſando	1003	1696	305	139	
queſto	1357	1691	206	141	
ragionamento	1603	1688	508	137	
piglieremo	2165	1681	389	138	
a	2594	1676	44	142	
dire	2669	1675	151	141	
delle	2827	1673	176	141	
altre	991	1818	204	113	
coſe	1207	1815	133	115	
degne	1369	1812	204	114	
di	1593	1809	86	116	
memoria	1660	1808	340	113	
che	2045	1803	118	115	
erano	2175	1801	212	113	
nel	2394	1798	136	114	
Celiolo	2549	1796	231	114	
.	2809	1792	36	117	
Ho	2898	1791	108	115	
detto	988	1930	198	121	
come	1205	1927	208	121	
queſto	1427	1925	200	121	
monte	1647	1922	247	121	
preſe	1905	1920	200	121	
il	2127	1917	46	123	
nome	2191	1916	214	121	
da	2401	1914	92	123	
quel	2525	1913	161	121	
Celio	2711	1911	170	121	
Ca	2910	1909	91	122	
pitano	999	2046	248	109	
de	1273	2042	83	113	
alcuni	1375	2041	243	111	
Toſcani	1649	2038	289	110	
,	1947	2034	34	113	
che	2007	2033	114	112	
erano	2143	2032	206	111	
venuti	2378	2029	251	110	
in	2650	2026	42	112	
ſoccor	2747	2024	237	111	
fo	996	2158	73	128	
di	1094	2156	96	128	
Romulo	1205	2155	287	126	
;	1513	2152	39	129	
hora	1562	2151	169	127	
queſto	1757	2149	216	127	
viene	2004	2146	213	126	
a	2228	2143	39	129	
eſſere	2296	2142	197	128	
dalla	2511	2140	196	127	
ſiniſtra	2743	2137	250	127	
parte	996	2275	204	120	
della	1220	2272	187	121	
via	1434	2269	104	121	
Appia	1611	2266	215	120	
,	1856	2262	38	122	
prima	1935	2261	230	119	
che	2183	2257	125	121	
ſi	2343	2254	68	123	
eſca	2443	2253	144	121	
fuori	2630	2250	182	120	
della	2839	2247	151	121	
città	994	2382	171	123	
per	1208	2379	108	125	
la	1334	2378	71	125	
porta	1447	2377	184	123	
Capena	1669	2375	270	122	
,	1949	2372	37	125	
boggi	2014	2371	197	123	
detta	2228	2369	185	123	
di	2425	2367	92	124	
ſan	2518	2366	109	124	
Sebaſtia	2665	2364	317	121	
no	983	2504	106	114	
;	1095	2503	34	115	
&	1153	2502	34	115	
credono	1271	2501	278	112	
molti	1559	2498	217	113	
che	1793	2495	132	114	
la	1931	2494	67	115	
Chieſa	2032	2493	219	113	
di	2274	2490	87	115	
San	2373	2489	99	115	
Giouanni	2514	2488	342	112	
an	2871	2484	103	114	
te	984	2616	97	121	
portam	1086	2614	255	119	
latinam	1385	2609	275	118	
,	1684	2604	38	122	
che	1733	2604	127	120	
è	1880	2601	38	122	
nel	1930	2600	125	121	
Celiolo	2066	2598	246	120	
foſſe	2331	2594	168	120	
prima	2510	2591	241	119	
il	2767	2587	51	122	
Tem	2844	2585	122	121	
pio	992	2723	109	123	
di	1116	2722	96	123	
Diana	1228	2721	220	121	
,	1468	2718	37	123	
eſſendoui	1527	2718	323	119	
Stati	1899	2714	175	121	
ritrouati	2091	2711	344	120	
vaſi	2463	2707	138	122	
molto	2608	2706	222	121	
an	2852	2703	128	122	
țichi	1005	2838	175	118	
ſcolpiti	1197	2837	266	118	
con	1481	2836	102	119	
la	1629	2835	45	119	
imagine	1721	2835	299	118	
di	2040	2834	88	118	
quella	2136	2833	215	118	
Dea	2383	2832	136	119	
,	2534	2831	35	119	
Et	2616	2831	88	119	
la	2741	2831	66	118	
pora	2832	2830	155	119	
tache	994	2932	216	131	
nella	1257	2932	171	131	
eſtremità	1481	2932	337	131	
del	1849	2932	113	131	
detto	1981	2932	175	131	
Colle	2188	2932	196	131	
per	2405	2932	111	131	
cagione	2537	2932	269	131	
della	2821	2932	167	131	
strada	1008	3048	232	139	
Latina	1283	3048	237	139	
che	1549	3048	119	139	
vi	1717	3048	77	139	
paſſa	1795	3048	195	139	
andandouiſi	2025	3048	435	139	
per	2501	3048	99	139	
quella	2641	3048	211	139	
nel	2873	3048	119	139	
Latio	1000	3184	179	121	
,	1188	3182	37	123	
è	1237	3181	37	123	
detta	1283	3181	200	121	
Latina	1524	3179	235	121	
;	1770	3176	37	123	
laqual	1817	3176	261	121	
via	2133	3173	105	122	
incominciando	2273	3171	528	119	
den	2821	3166	151	122	
tro	986	3286	124	123	
alla	1119	3286	129	123	
città	1283	3286	169	123	
,	1480	3286	36	123	
ſi	1536	3286	48	123	
accompagna	1601	3286	481	123	
con	2089	3286	125	123	
l	2249	3286	36	123	
'	2273	3286	36	123	
Appia	2328	3286	210	123	
.	2571	3286	36	123	
La	2697	3286	70	123	
porta	2793	3286	179	123	
ancora	999	3406	248	114	
Gabiuſa	1283	3403	301	114	
detta	1608	3399	188	115	
coſi	1837	3397	120	116	
dal	1972	3395	137	116	
nome	2114	3394	216	114	
della	2326	3391	178	116	
città	2545	3389	170	116	
de	2740	3387	87	117	
Ga	2841	3386	149	116	
bij	991	3516	97	123	
,	1100	3515	37	123	
che	1151	3515	124	123	
è	1300	3514	37	123	
hoggi	1356	3514	215	122	
chiamata	1599	3513	344	121	
di	1971	3511	67	123	
Galigano	2061	3511	342	121	
,	2416	3509	37	123	
ſi	2467	3509	67	123	
vede	2550	3508	160	123	
nel	2732	3507	126	123	
ce	2868	3507	116	122	
fio	981	3634	99	117	
dalla	1111	3633	173	117	
parte	1310	3633	201	116	
di	1534	3632	88	116	
leuante	1637	3631	261	116	
,	1927	3630	34	117	
per	2100	3629	119	117	
queſta	2242	3629	223	116	
entraua	2507	3628	295	116	
il	2829	3626	45	117	
rio	2897	3626	100	117	
Appio	1032	3743	211	129	
,	1247	3741	39	131	
&	1325	3740	39	131	
l'acqua	1439	3739	269	129	
Crabra	1732	3736	263	129	
zilqual	2008	3733	291	129	
rio	2307	3731	111	130	
,	2407	3729	39	131	
entrando	2461	3729	343	128	
nella	2800	3726	199	129	
palle	2798	3847	167	116	
,	2972	3849	32	115	
