content	x	y	w	h	
ations	-4	708	109	86	
Den	0	882	112	44	
ac	-8	1017	36	52	
fuos	42	1016	70	52	
nella	36	1080	78	70	
ſempre	-7	1230	126	83	
PIANTA	1004	1444	863	139	
Dello	423	1647	228	130	
Stagno	687	1646	256	130	
di	983	1644	72	131	
Maccareſe	1084	1644	399	129	
,	1492	1641	28	131	
e	1555	1641	40	131	
de	1635	1641	92	130	
i	1759	1640	28	131	
luoghi	1815	1640	256	129	
adiacenti	2111	1638	336	129	
fino	1200	1832	147	87	
à	1380	1832	39	87	
Roma	1472	1832	247	87	
Aſsieme	937	2029	318	90	
con	1293	2025	142	91	
vn	1471	2023	94	92	
Diſcorſo	1609	2021	338	88	
Nel	283	2219	148	143	
quale	463	2218	200	142	
s'eſfamina	695	2217	384	141	
,	1081	2214	26	143	
ſe	1155	2214	64	143	
ſia	1255	2213	88	143	
più	1379	2213	124	142	
ſicuro	1539	2212	227	141	
,	1779	2210	25	143	
e	1843	2210	40	143	
meno	1911	2209	212	142	
diſpendioſo	2159	2208	448	140	
di	361	2421	71	125	
continuare	454	2420	398	119	
la	877	2414	63	125	
nauigatione	963	2413	453	119	
per	1453	2407	127	124	
il	1599	2405	53	125	
Canale	1699	2404	271	121	
di	1991	2400	73	124	
Fiumicino	2095	2398	401	120	
,	2515	2393	17	125	
Quero	291	2611	245	114	
di	555	2608	70	117	
ridurre	662	2607	271	114	
in	971	2603	74	116	
Porto	1087	2602	219	114	
lo	1327	2599	76	116	
Stagno	1433	2598	262	114	
di	1733	2595	74	116	
Maccareſc	1853	2593	396	113	
con	2293	2588	138	115	
fare	2463	2586	138	116	
anche	744	2786	223	135	
da	1002	2786	85	135	
quello	1138	2786	245	135	
vn	1422	2786	95	135	
Canale	1556	2786	271	135	
nuouo	1862	2786	249	135	
,	2130	2786	17	135	
ch'entraſſe	629	2981	400	120	
nel	1061	2980	118	120	
Teucre	1213	2979	282	120	
verſo	1521	2978	200	120	
la	1751	2977	66	120	
Magliana	1865	2976	362	120	
.	2249	2974	22	121	
E	415	3193	58	128	
fi	503	3191	50	129	
ſpiegano	583	3190	326	122	
in	937	3182	75	128	
oltre	1048	3180	186	125	
diuerfi	1267	3175	257	124	
penſieri	1559	3169	296	123	
circa	1901	3162	185	125	
l'elettionc	2119	3158	388	120	
d'altro	1259	3371	250	88	
Sito	1529	3363	146	91	
.	1691	3358	16	95	
