content	x	y	w	h	
100	1509	354	31	24	
ca	1537	347	17	27	
seguito	1514	450	73	42	
fla	1508	516	24	28	
in	1531	511	23	28	
m	1556	506	16	30	
i	1504	560	20	40	
due	1527	555	39	37	
statue	1505	617	52	33	
in	1560	606	22	39	
ud	1507	665	35	40	
FIE	1551	662	37	40	
qualis	1511	779	64	37	
ha	1512	833	7	33	
costri	1530	832	53	30	
Vergine	1510	881	71	54	
ti	1507	938	15	39	
assel	1529	938	49	38	
MO	1499	1003	40	28	
DO	1550	1001	22	30	
no	1505	1050	17	43	
qual	1538	1053	42	45	
donne	1506	1100	44	42	
plina	1505	1269	35	32	
co	1554	1270	18	31	
Pontefice	1507	1313	74	45	
I	1512	1370	11	41	
due	1536	1370	28	41	
stri	1502	1426	22	42	
Corin	1536	1425	43	43	
anito	1510	1542	24	35	
ma	1549	1546	25	34	
una	1507	1593	15	48	
gran	1542	1600	24	50	
Santi	1506	1748	23	48	
Vio	1543	1754	24	49	
rentino	1501	1862	51	52	
Corintie	1506	1916	58	51	
zarini	1500	1976	48	52	
,	1556	1982	8	48	
pierine	1502	2029	58	58	
redono	1499	2083	57	50	
lezza	1501	2187	39	55	
