content	x	y	w	h	
20	364	4162	82	81	
CB	362	3986	83	81	
(	361	3844	83	25	
16	361	3802	83	49	
)	361	3728	83	25	
EPS	360	3650	82	119	
:	359	3508	83	25	
CROSS	358	3429	82	202	
TIE	356	3170	83	108	
BUS	355	3002	82	119	
-	354	2828	83	25	
CLOSE	353	2750	82	203	
:	452	3510	79	23	
CROSS	451	3427	79	201	
TIE	450	3159	79	101	
BAL	449	3006	79	113	
LOADS	449	2835	78	212	
-	447	2574	79	23	
CLOSE	447	2487	78	197	
PGA	537	3987	83	118	
DIVERTER	537	3814	83	332	
(	537	3412	83	24	
2	536	3380	83	24	
)	536	3336	83	24	
-	536	3252	83	24	
EV	536	3173	83	73	
(	536	3034	83	24	
VERT	536	2993	83	160	
)	536	2832	83	24	
REVERSE	621	3980	81	284	
02	620	3651	81	91	
HOSES	620	3515	81	205	
R	620	3256	81	23	
/	620	3214	81	23	
R	620	3166	81	23	
AND	620	3086	80	115	
B	619	2912	81	23	
/	619	2870	81	23	
B	619	2830	81	23	
DON	714	3977	71	99	
HELMETS	714	3818	70	296	
,	713	3508	71	20	
GLOVES	713	3438	70	252	
&	712	3118	71	20	
RESTRAINTS	712	3046	70	416	
21	802	4153	73	81	
PREPARE	801	3990	72	285	
FOR	799	3640	73	116	
P57	798	3479	73	125	
CB	890	3985	87	81	
(	889	3847	87	25	
11	889	3809	87	81	
)	889	3725	87	25	
AC	888	3642	87	80	
BUS	888	3518	87	124	
A	887	3337	87	25	
:	887	3293	87	25	
RNDZ	887	3215	86	165	
RDR	886	2998	86	112	
-	885	2825	87	25	
CLOSE	885	2737	86	197	
PGNS	987	3990	74	177	
:	985	3802	75	22	
RNDZ	985	3721	74	151	
RDR	983	3510	74	117	
-	982	3339	75	22	
CLOSE	981	3263	74	212	
RR	1069	3985	79	73	
MODE	1069	3868	78	172	
-	1068	3636	79	23	
LGC	1068	3561	79	124	
V41	1150	3986	90	131	
N72E	1149	3824	90	167	
(	1148	3584	91	27	
+00000	1147	3551	90	234	
,	1146	3290	91	27	
+28300	1146	3213	89	236	
)	1144	2950	91	27	
N12	1239	3992	85	134	
R2	1240	3808	85	78	
00002	1240	3675	86	195	
,	1241	3458	85	24	
PRO	1241	3386	86	120	
116	1335	3983	67	105	
N72E	1334	3820	67	165	
CB	1415	3982	83	80	
(	1414	3840	83	24	
11	1414	3806	83	80	
)	1414	3724	83	24	
AC	1413	3635	83	73	
BUS	1413	3505	82	118	
A	1412	3336	83	24	
:	1412	3296	83	24	
RNDZ	1411	3218	82	164	
RDR	1410	2997	83	119	
-	1409	2824	83	24	
OPEN	1409	2741	82	142	
PGNS	1501	3979	74	165	
:	1500	3801	75	21	
RNDZ	1499	3719	74	148	
RDR	1498	3510	74	118	
-	1497	3338	75	21	
OPEN	1496	3263	75	167	
V44E	1584	3979	70	153	
WINDOW	1665	3989	82	251	
SHADES	1663	3681	82	241	
(	1662	3364	83	24	
3	1661	3332	83	24	
)	1661	3292	83	24	
-	1661	3208	83	24	
CLOSE	1660	3127	82	199	
CB	1748	3982	87	81	
(	1747	3836	87	26	
11	1747	3794	86	65	
)	1746	3722	87	26	
AC	1745	3639	87	81	
BUS	1744	3504	87	113	
A	1743	3335	87	26	
:	1743	3291	87	26	
AOT	1742	3205	87	114	
LAMP	1741	3040	86	164	
-	1740	2824	87	26	
CLOSE	1739	2738	86	201	
P57	1839	3986	75	129	
,	1838	3843	75	21	
R2	1838	3763	75	65	
00004	1837	3637	75	204	
,	1836	3411	75	21	
PRO	1836	3344	75	107	
