content	x	y	w	h	
Lib	276	147	25	34	
.	309	151	4	31	
2	327	154	4	31	
.	337	155	4	31	
Lib	269	468	31	32	
.	310	472	4	29	
3	330	474	4	29	
:	342	475	4	29	
134	397	112	64	34	
DE	589	98	101	39	
VRBE	727	97	200	39	
ROM	960	96	162	39	
A	1162	95	11	39	
toris	396	147	61	43	
domus	469	147	93	43	
:	567	147	12	43	
ibique	585	147	93	43	
eam	689	147	49	43	
locat	766	147	67	43	
Marlianus	842	147	147	43	
.	993	147	12	43	
Verum	1024	147	75	43	
hoc	1129	147	49	43	
non	1195	147	49	43	
reſponder	1262	147	138	43	
cap.4	270	185	58	30	
verbis	395	184	84	42	
Ouidij	490	184	91	42	
,	586	184	11	42	
qui	611	184	41	42	
Arce	660	184	67	42	
in	743	184	14	42	
ſumma	775	184	103	42	
Monetam	882	184	125	42	
conſtituit	1038	184	134	42	
,	1175	184	11	42	
nifi	1195	184	47	42	
impropriè	1254	184	142	42	
loquurum	393	220	123	42	
velis	542	220	63	42	
.	603	220	11	42	
Arx	628	220	47	42	
enim	689	220	53	42	
mulco	755	220	86	42	
editior	861	220	94	42	
in	960	220	23	42	
dextero	993	220	108	42	
Capitolij	1116	220	119	42	
iugo	1244	220	59	42	
,	1308	220	11	42	
quem	1320	220	65	42	
vulgò	393	260	78	38	
montem	482	259	107	39	
Caprinum	615	258	134	38	
,	763	257	11	39	
nominant	777	257	138	38	
,	915	256	11	39	
decliuis	930	256	107	38	
erat	1052	255	49	39	
in	1112	255	21	39	
Aſylum	1149	255	92	38	
fiue	1270	254	45	38	
Area	1329	253	66	39	
ante	395	290	59	43	
Aedes	467	290	91	43	
Senatorias	566	290	144	43	
iacentem	722	290	117	43	
.	848	290	12	43	
Vt	872	290	40	43	
ergo	920	290	54	43	
audiatur	994	290	112	43	
Tullius	1123	290	99	43	
,	1222	290	12	43	
&	1244	290	12	43	
Ouidius	1275	290	114	43	
,	1389	290	12	43	
arbitror	397	325	109	43	
incepiſſe	516	325	114	43	
gradus	642	325	97	43	
ab	749	325	24	43	
Aſylo	791	325	70	43	
,	867	325	12	43	
fiue	881	325	52	43	
Aedé	944	325	68	43	
Monetæ	1024	325	107	43	
,	1140	325	12	43	
ita	1156	325	30	43	
vt	1197	325	31	43	
