content	x	y	w	h	
(	594	220	12	61	
Ix	647	224	17	62	
IX	642	217	30	65	
XC	710	221	42	66	
90	293	268	29	64	
Engib	531	310	337	10	
sssol	903	268	158	54	
INDICE	377	299	230	56	
DE	643	307	79	52	
RAMON	763	311	246	58	
OON	167	380	82	46	
ologolab	694	366	229	53	
dra	177	423	65	51	
Contenuti	321	401	213	62	
ne	557	407	52	59	
'	615	409	14	57	
tre	649	410	63	59	
Tomi	749	413	127	61	
della	895	417	103	59	
Eps	169	480	74	53	
Descrizione	397	480	272	62	
di	696	479	47	63	
Roma.colo	771	478	252	62	
88	1084	477	58	63	
SD1180	560	526	152	51	
0	774	529	13	49	
0	874	531	13	49	
0	1089	534	13	49	
TOM	565	584	90	56	
.	683	582	17	57	
1.	728	581	30	57	
Isb.omnis	807	580	183	55	
ce	1091	576	42	56	
te	2	422	18	50	
Pulis	31	426	41	55	
TRA	165	545	82	37	
nese	3	703	28	32	
mella	-9	750	42	41	
M	38	750	11	41	
10	1100	775	34	36	
ДРЅР	-7	862	36	35	
nese	0	918	28	34	
TO	-2	974	23	31	
sani	973	938	79	61	
255	1070	929	73	36	
Ponte	215	682	127	60	
e	365	687	13	55	
Castel	401	689	137	60	
s	561	694	13	55	
.	579	695	13	55	
Angiolo	609	696	160	60	
3	1128	714	8	40	
2	171	741	11	45	
Piazza	217	742	139	48	
e	383	745	11	45	
Basilica	425	747	156	48	
di	605	751	40	45	
s	664	752	11	45	
.	677	752	11	45	
Pietro	705	753	128	48	
3	182	791	14	59	
Interno	228	793	160	64	
di	416	800	41	59	
questa	473	802	135	62	
Basilica	633	807	158	63	
STOV	804	792	92	47	
SVI	905	794	58	46	
SSSR	989	795	89	47	
23	1091	823	56	39	
4	180	848	15	58	
Campidoglio	229	849	271	63	
105	824	843	124	68	
091189	978	849	170	70	
5	178	902	16	59	
Tempio	237	903	154	61	
della	423	905	94	60	
Concordia	559	907	216	61	
ib	857	896	32	46	
sbian	924	897	97	47	
6	178	956	16	61	
Carta	230	957	114	63	
topografica	356	959	249	65	
della	614	964	107	62	
Città	740	966	100	63	
di	858	968	46	62	
Roma	912	969	138	64	
soiliesa	543	1006	156	51	
cap	731	1006	159	51	
0111901	964	1006	173	51	
STOM	484	1068	167	53	
.	676	1061	19	58	
11.	725	1060	53	56	
osio	799	1058	137	53	
ib	965	1051	35	58	
01	1019	1050	89	56	
.	1132	1046	19	58	
on	580	1114	46	48	
saada	628	1113	250	44	
ib	900	1109	28	48	
siltas	958	1108	144	47	
Foro	236	1167	100	61	
Romano	356	1165	177	60	
silginat	594	1162	177	59	
silab	800	1158	100	61	
oploca	936	1156	174	60	
Ś	188	1198	25	85	
Temdio	238	1197	167	84	
di	421	1196	48	84	
Venere	470	1195	163	84	
e	652	1194	25	85	
Romaleos	694	1193	235	83	
3200	983	1190	162	84	
9	176	1272	28	91	
Arco	230	1271	99	90	
di	345	1269	53	90	
Costantino	401	1267	230	87	
labore	869	1257	312	85	
1o	163	1328	35	44	
Colosseo	233	1327	182	43	
lovit	491	1324	111	44	
ib	629	1322	33	45	
6ti	693	1321	84	44	
slib	829	1319	111	44	
cob	959	1318	104	44	
1	169	1374	16	57	
Interno	237	1374	160	56	
del	427	1372	65	57	
Colosseo	523	1372	185	56	
di	733	1371	51	57	
silab	833	1370	95	57	
oicco	961	1370	95	56	
12	161	1428	49	47	
Basilica	235	1430	156	49	
di	415	1435	48	46	
s	480	1436	11	45	
,	493	1436	11	45	
Giovanni	523	1437	208	51	
in	742	1442	24	46	
Laterano	801	1444	196	50	
325	1061	1451	71	43	
13	161	1486	49	45	
Interno	240	1486	150	45	
di	416	1486	41	45	
511	822	1485	56	36	
questa	478	1498	145	47	
Basilica	637	1495	167	45	
323	1061	1506	74	42	
14	167	1525	32	59	
Basilica	235	1526	164	63	
di	425	1531	32	59	
s	478	1532	16	59	
.	496	1532	16	59	
Croce	523	1533	122	61	
in	665	1536	32	60	
Gerusalemme	724	1538	313	66	
332	1063	1546	74	60	
15	167	1587	38	54	
Tempio	245	1589	152	56	
di	426	1593	38	53	
Minerva	471	1594	189	56	
Medica	667	1598	177	56	
338	1058	1611	79	42	
16	166	1637	35	49	
Basilica	239	1639	159	54	
di	421	1644	35	50	
s	472	1645	13	49	
.	492	1646	13	49	
Lorenzo	517	1647	181	54	
fuori	716	1652	112	53	
le	836	1656	35	50	
mura	879	1657	129	53	
341	1057	1662	83	52	
17	161	1691	51	58	
Basilica	237	1693	151	60	
di	430	1697	41	58	
s	496	1698	15	57	
.	513	1699	15	57	
Maria	537	1700	129	59	
Maggiore	694	1703	218	61	
348	1058	1712	73	54	
18	163	1746	41	59	
Interno	235	1748	160	61	
di	422	1752	42	59	
questa	493	1754	134	60	
Basilica	662	1757	162	61	
19	163	1804	49	51	
Porta	243	1802	108	51	
Pia	386	1800	60	51	
365	1057	1816	70	45	
20	163	1852	38	44	
Porta	241	1854	105	45	
Pinciana	381	1857	186	48	
378	1056	1868	73	54	
21	156	1906	53	44	
Montecavallo	237	1908	289	47	
395	1057	1920	66	53	
22	159	1955	49	57	
Colonna	237	1957	173	61	
Trajana	454	1964	158	60	
4.12	1052	1980	73	46	
23	159	2010	50	57	
Tempio	246	2011	147	58	
di	429	2014	40	56	
Marcº	477	2015	140	57	
Aurelio	638	2017	154	58	
Antonino	826	2020	198	58	
4483	1054	2023	101	57	
24	159	2066	41	55	
Fontana	238	2067	172	56	
di	421	2068	50	55	
Trevi	490	2068	114	56	
304	1046	1344	86	58	
307	1066	1391	74	67	
0	5	1458	1	31	
lano	5	1506	29	33	
tano	2	1566	28	32	
은	24	1641	29	8	
tese	-3	1728	34	28	
NO	-1	1782	25	26	
349	1059	1763	71	61	
1	1554	1768	3	30	
geli	-14	1828	82	37	
ement	-5	1985	56	37	
