content	x	y	w	h	
WIN	3935	3038	135	51	
!	4090	3029	18	58	
uersam	3	3180	247	189	
lakappidis	288	3180	367	189	
captis	689	3180	247	189	
,	932	3180	55	189	
Ruricio	992	3180	280	189	
Maxentij	1324	3180	372	189	
duce	1727	3180	177	189	
profligato	1942	3180	398	189	
,	2318	3180	55	189	
Veronam	2360	3180	328	189	
urbem	2758	3180	229	189	
expugnat	3057	3180	405	189	
püs	22	3328	84	147	
admohs	142	3328	152	147	
,	279	3328	43	147	
in	323	3328	31	147	
man	383	3328	45	147	
nog	438	3328	64	147	
irruit	531	3328	152	147	
3.	761	3328	55	147	
Mauri	823	3328	187	147	
Sagittarij	1057	3328	243	147	
auxiliares	1331	3328	298	147	
..Verona-	1694	3328	276	147	
turres	1975	3328	171	147	
ac	2197	3328	51	147	
muri	2256	3328	174	147	
.	2418	3328	43	147	
villa	1694	4570	90	2	
atio	-4	5193	104	158	
manum	146	5189	219	156	
cums	408	5186	119	158	
,	521	5182	48	160	
coque	579	5182	212	156	
.	781	5179	49	159	
cum	851	5177	119	158	
fuis	1064	5174	142	157	
gurgitibus	1291	5168	376	154	
obruto	1720	5161	248	156	
,	1970	5156	49	159	
lauream	2035	5156	293	154	
uictor	2433	5147	230	156	
refert	2748	5142	228	156	
edit	-9	5327	120	129	
4.	167	5323	53	132	
Jubsequentik	220	5323	234	128	
s.Maxentij	515	5318	302	128	
copias	865	5313	168	129	
in	1094	5309	29	132	
aquis	1180	5307	163	130	
pereuntes	1365	5306	259	128	
Victores	1638	5300	211	130	
insequuntur	1881	5297	316	126	
6.cos	2287	5290	150	130	
que	2435	5288	97	132	
supplices	2568	5286	326	126	
Mauri	2932	5281	215	128	
Sagittary	3189	5276	300	127	
confodiunt	3539	5270	365	126	
.	3904	5265	39	131	
INS	1091	6268	3561	368	
