content	x	y	w	h	
SCULTURA	436	280	416	99	
,	883	280	29	99	
E	963	280	29	99	
ARCHITETT	1033	280	434	99	
,	1463	280	29	99	
95	1656	316	87	78	
fonollo	13	449	86	94	
Di	452	442	112	77	
s	606	442	22	77	
.	628	442	22	77	
TOMMASO	689	442	312	77	
DE	1067	442	83	77	
'	1160	442	22	77	
CENCI	1200	442	230	77	
.	1456	442	22	77	
ci	1	543	20	75	
.	26	545	14	75	
Lw	47	547	46	77	
.	106	552	14	75	
andrea	1	631	56	82	
fin	76	647	19	75	
C	209	601	58	155	
torio	12	729	47	80	
de	72	735	14	77	
Ontigua	344	587	272	87	
al	671	586	65	87	
palazzo	788	585	233	87	
de	1060	584	81	88	
'	1146	584	25	88	
Signori	1215	583	242	88	
Cenci	1509	582	198	88	
,	1724	581	25	88	
verſo	369	676	150	87	
il	574	676	62	87	
fiume	653	676	198	87	
,	863	676	25	87	
è	943	676	25	87	
queſta	1017	676	198	87	
piccola	1249	676	233	87	
chieſa	1516	676	183	87	
,	1727	676	25	87	
che	193	770	105	91	
fu	326	770	51	91	
rifatta	418	770	198	91	
del	649	770	105	91	
1975	779	770	178	91	
,	977	770	26	91	
e	1042	770	26	91	
dotata	1091	770	206	91	
da	1321	770	84	91	
Franceſco	1431	770	307	91	
di	14	828	25	131	
bukan	52	828	79	131	
Cenci	196	828	178	131	
.	396	828	38	131	
Quivi	460	828	190	131	
ſi	668	828	48	131	
vede	741	828	153	131	
una	913	828	132	131	
cappelletta	1064	828	358	131	
dalla	1441	828	147	131	
par	1613	828	128	131	
te	202	948	44	87	
dell'epiſtola	271	948	371	89	
dell'altar	667	950	298	88	
maggiore	979	951	311	88	
,	1315	952	25	87	
tutta	1357	952	157	88	
dipin	1547	953	200	88	
ta	198	1052	46	85	
con	281	1051	108	85	
diverſi	418	1051	214	84	
fatti	671	1049	145	85	
di	848	1048	64	85	
Maria	935	1048	213	84	
Verg	1185	1047	157	84	
.	1349	1046	24	85	
da	1413	1046	78	84	
Girola	1507	1045	236	84	
TO	8	1178	29	57	
.	46	1178	16	57	
mo	181	1132	123	95	
da	319	1132	69	95	
Sermoneta	424	1132	334	95	
.	791	1132	27	95	
E	867	1132	27	95	
'	925	1132	27	95	
chieſa	971	1132	192	95	
parocchiale	1192	1132	372	95	
.	1587	1132	27	95	
olo	-3	1308	40	71	
ivil	64	1308	45	71	
DI	435	1278	121	83	
S.	574	1279	62	83	
MARIA	641	1279	243	84	
IN	938	1280	46	83	
PUBLICOLIS	1026	1281	424	84	
.	1466	1283	24	83	
nell'alt	11	1403	107	70	
Queſta	376	1412	202	96	
chieſa	614	1414	173	95	
fecolare	824	1415	254	96	
,	1110	1416	26	95	
parocchia	1165	1417	305	96	
,	1494	1419	26	95	
e	1572	1419	26	95	
Juf	1632	1420	118	95	
ingrandi	5	1503	118	72	
patronato	372	1524	309	78	
di	719	1520	59	81	
caſa	801	1519	114	80	
Santacroce	943	1518	362	78	
.	1318	1514	24	81	
16120Monſig	19	1596	498	87	
.	540	1600	23	83	
Santacroce	582	1600	350	85	
,	950	1603	23	83	
che	1034	1603	104	84	
fu	1184	1604	50	84	
poi	1273	1605	106	84	
Cardinale	1427	1606	319	85	
60	10	1684	18	96	
XLVy	44	1684	88	96	
in	205	1684	54	96	
tempo	322	1684	202	96	
d'Urbano	570	1684	346	96	
VIII	941	1684	165	96	
,	1115	1684	28	96	
la	1208	1684	37	96	
fece	1301	1684	125	96	
rifar	1495	1684	145	96	
da	1656	1684	71	96	
'	1736	1684	28	96	
quivi	21	1776	62	85	
,	81	1776	24	85	
&	102	1777	24	85	
fondamenti	204	1777	376	87	
con	608	1779	96	86	
la	757	1780	47	85	
ſua	843	1780	96	86	
facciata	963	1781	249	86	
,	1238	1782	24	85	
con	1316	1783	98	85	
architet	1465	1784	296	86	
niconfrater	0	1868	113	82	
tura	213	1869	132	82	
di	377	1870	58	81	
Gio	456	1871	116	81	
:	590	1871	23	81	
Antonio	639	1872	261	82	
de	939	1873	73	81	
'	1018	1874	23	81	
Rolli	1054	1874	162	82	
,	1238	1875	23	81	
e	1304	1875	23	81	
l'adornò	1364	1875	288	83	
di	1685	1877	73	81	
pitture	218	1923	230	148	
.	449	1916	49	154	
sconto	647	1910	269	147	
de	950	1902	64	153	
Roll	1067	1898	141	151	
,	1237	1893	49	154	
el	1305	1891	85	153	
di	16	2156	34	61	
rilievo	56	2154	76	58	
1	2102	2483	5	42	
,	2114	2489	5	42	
Evangelio	-12	2058	118	83	
&	107	2060	22	81	
Il	310	2056	47	87	
quadro	382	2057	223	88	
del	654	2058	99	88	
primo	797	2059	200	88	
altare	1035	2061	186	88	
a	1275	2062	24	87	
man	1322	2062	138	88	
deftra	1498	2064	191	87	
è	1731	2065	24	87	
del	211	2148	102	74	
Cavalier	343	2150	268	75	
Raffaelle	653	2153	273	76	
yanni	971	2157	208	75	
,	1195	2159	20	73	
ed	1245	2160	54	73	
è	1365	2161	20	73	
anche	1434	2162	189	74	
fuo	1656	2164	93	74	
acelco	2	2234	76	98	
con	96	2235	53	98	
quello	217	2237	179	99	
dell'altar	470	2240	302	101	
maggiore	814	2244	316	101	
,	1149	2249	27	97	
dove	1224	2249	150	99	
ſi	1428	2252	36	97	
rappre	1512	2253	202	99	
•	1737	2256	27	97	
uro	-2	2322	38	90	
Baldi	61	2323	73	90	
ſenta	219	2325	152	91	
la	399	2328	48	89	
naſcita	482	2329	217	92	
di	738	2333	65	89	
Maria	823	2334	188	91	
Verg	1064	2337	149	91	
Il	1317	2341	48	89	
diſegno	1386	2342	249	93	
de	1665	2345	64	90	
'	1739	2346	25	89	
maggiat	6	2424	128	87	
ſepolcri	212	2424	241	87	
,	475	2424	25	87	
e	555	2424	25	87	
li	608	2424	51	87	
belli	685	2424	140	87	
ritratti	842	2424	238	87	
ſono	1121	2424	132	87	
di	1294	2424	62	87	
Gio	1382	2424	124	87	
:	1515	2424	25	87	
Fran	1569	2424	182	87	
ulo	0	2512	47	83	
,	36	2512	23	83	
che	57	2513	44	83	
é	100	2513	23	83	
ceſco	219	2514	149	84	
Grimaldi	407	2515	305	85	
Bologneſe	739	2518	327	85	
;	1100	2520	23	83	
ed	1173	2521	64	83	
il	1279	2522	36	83	
s	1344	2522	23	83	
.	1370	2523	23	83	
Franceſco	1422	2523	327	85	
artino	-5	2600	86	88	
che	83	2601	62	87	
nell'altro	215	2602	303	89	
altare	586	2605	171	89	
è	819	2607	24	87	
copia	897	2608	164	88	
di	1117	2610	64	87	
Gio	1215	2611	121	88	
:	1347	2612	24	87	
Franceſco	1427	2613	314	89	
esù	-3	2698	49	87	
Crillo	59	2698	68	88	
ſuddetto	210	2699	272	88	
,	511	2701	25	87	
da	590	2701	64	87	
uno	694	2702	112	87	
del	832	2702	112	88	
Caracci	961	2703	251	88	
.	1233	2704	25	87	
imo	5	2784	48	88	
lic	72	2785	37	87	
i	203	2786	24	87	
Vi	322	2787	79	88	
fono	424	2788	135	88	
due	602	2790	111	88	
maeſtofi	735	2792	270	89	
depoſiti	1026	2794	255	90	
del	1326	2797	95	88	
Marcheſe	1451	2799	307	89	
orentino	10	2876	110	98	
Santacroce	226	2879	355	101	
ſeniore	605	2884	219	99	
,	857	2887	27	97	
e	925	2888	27	97	
del	983	2888	109	98	
Principe	1106	2890	280	100	
D.	1414	2894	108	99	
Scipio	1530	2895	226	100	
ne	217	2972	86	98	
,	321	2973	27	97	
e	389	2974	27	97	
il	438	2975	54	97	
medaglione	493	2975	384	101	
co	921	2979	50	98	
'	987	2980	27	97	
putti	1032	2981	166	98	
di	1220	2983	70	97	
questo	1309	2984	193	98	
ſono	1536	2986	135	98	
di	1710	2988	70	97	
mo	-5	3062	48	89	
della	61	3063	73	89	
Gio	223	3064	113	89	
:	353	3065	25	89	
Battiſta	402	3065	243	90	
Maini	669	3067	218	90	
,	893	3068	25	89	
11	2432	2837	58	45	
na	9	3004	42	54	
nell	51	2992	82	43	
D	84	3451	9	63	
DI	1680	3458	103	72	
