content	x	y	w	h	
Finalis	-2	585	84	119	
dance	-4	934	75	98	
ON	-8	1531	55	72	
und	19	1876	53	69	
edias	7	1978	70	73	
Dell'Imperio	578	188	671	159	
Rom	1314	188	182	159	
.	1548	188	47	159	
269	1797	208	192	111	
de	7	328	61	131	
chiſſimi	213	328	327	131	
meíi	560	328	208	131	
coniumò	833	328	398	131	
in	1287	328	49	131	
mangiamenti	1380	328	636	131	
De	-9	452	117	123	
venticinque	214	452	502	123	
milioni	725	452	340	123	
d'oro	1089	452	224	123	
,	1327	452	36	123	
come	1372	452	257	123	
raccon	1644	452	351	123	
ta	211	564	66	119	
Plinio	319	563	222	119	
:	544	563	35	119	
poiche	609	562	318	118	
(	952	561	35	119	
ſecondo	1015	561	363	118	
ſcriue	1411	560	255	118	
Sueto	1706	558	289	119	
olar	26	720	57	78	
nio	193	674	123	123	
)	361	674	36	123	
li	419	674	45	123	
ſuoi	487	674	186	123	
paſti	689	674	213	123	
erano	941	674	246	123	
di	1239	674	91	123	
ceruella	1346	674	346	123	
di	1743	674	113	123	
Fa	1867	674	142	123	
giani	197	784	204	127	
,	391	784	37	127	
di	453	784	92	127	
Pauoni	547	784	337	127	
,	863	784	37	127	
di	924	784	95	127	
lingue	1034	784	284	127	
di	1349	784	92	127	
Pappagalli	1477	784	485	127	
,	1991	784	37	127	
e	205	904	27	93	
di	275	904	85	94	
latte	391	905	191	94	
di	631	906	85	93	
Murene	758	907	362	94	
condotte	1164	908	428	95	
dal	1644	911	144	93	
mar	1817	911	197	94	
Partico	205	1016	280	127	
,	502	1016	37	127	
e	579	1016	37	127	
dal	653	1016	145	127	
mar	803	1016	199	127	
di	1025	1016	93	127	
Spagna	1153	1016	329	127	
,	1501	1016	37	127	
inuitando	1554	1016	452	127	
ogni	204	1136	194	122	
giorno	445	1135	277	122	
amici	771	1134	248	122	
a	1040	1133	36	123	
mangiare	1095	1133	444	121	
.	1560	1131	36	123	
Haueua	1647	1131	351	121	
WA	18	1286	68	88	
diſtintili	209	1232	363	133	
mangiamenti	589	1234	616	134	
in	1230	1237	51	131	
Colatione	1347	1238	464	133	
,	1803	1240	37	131	
in	1850	1240	51	132	
Pranzo	197	1356	277	107	
,	528	1356	31	107	
in	584	1356	59	107	
Cena	710	1356	238	107	
,	971	1356	31	107	
&	1046	1356	31	107	
in	1178	1356	59	107	
Commeffatione	1304	1356	717	107	
.	2026	1356	31	107	
dopo	202	1464	209	128	
cena	458	1466	197	127	
:	675	1467	36	127	
&	751	1467	36	127	
in	869	1468	72	127	
ciaſcuna	980	1468	379	129	
di	1418	1471	91	127	
queſte	1530	1471	272	128	
non	1831	1473	180	127	
vi	208	1578	66	123	
spele	293	1578	189	123	
mai	510	1578	192	123	
meno	696	1578	259	123	
di	995	1578	90	123	
dieci	1090	1578	243	123	
inilia	1347	1578	217	123	
ſcudi	1607	1578	236	123	
;	1829	1578	36	123	
tal	1905	1578	124	123	
che	200	1692	157	124	
ſpendeua	383	1693	395	125	
quarāta	820	1695	337	124	
niilia	1187	1697	214	124	
ſcudi	1469	1698	236	124	
il	1717	1699	72	123	
gior	1802	1700	224	124	
no	198	1810	113	123	
:	329	1810	36	123	
&	403	1810	36	123	
oltre	513	1810	200	123	
l'altre	757	1810	255	123	
ſpele	1037	1810	217	123	
,	1259	1810	36	123	
diede	1331	1810	244	123	
a	1605	1810	36	123	
Vitellio	1686	1810	324	123	
ſuo	207	1904	122	125	
fratello	371	1906	297	126	
in	709	1910	72	123	
vna	811	1911	174	125	
Cena	1035	1913	226	126	
due	1324	1916	157	125	
mila	1515	1918	193	125	
peſci	1750	1921	223	124	
,	1988	1923	35	123	
e	202	2024	30	107	
fette	268	2025	183	109	
mila	474	2027	205	109	
vccelli	703	2030	305	109	
.	1022	2033	30	107	
Eliogabalo	316	2144	460	123	
,	779	2144	36	123	
come	853	2144	267	123	
riferiſce	1142	2144	347	123	
Lampridio	1515	2144	479	123	
,	2007	2144	36	123	
per	198	2283	122	88	
ciaſcun	370	2260	291	123	
paſto	719	2262	208	122	
mai	956	2263	207	122	
non	1167	2264	171	122	
ſpeſe	1380	2266	216	122	
meno	1633	2267	271	122	
di	1951	2269	90	121	
ſettanta	204	2372	343	109	
milia	587	2375	215	108	
fcudi	852	2377	228	108	
.	1088	2379	30	107	
Lucio	310	2488	236	121	
Lucullo	605	2488	331	121	
,	978	2488	35	121	
huomo	1030	2488	334	121	
che	1401	2488	155	121	
ſpendeua	1578	2488	431	121	
molto	182	2600	270	108	
bene	483	2601	225	108	
il	731	2602	62	107	
ſuo	820	2603	121	107	
dana	983	2603	206	108	
o	1250	2604	31	107	
,	1304	2605	31	107	
chiamato	1366	2605	399	108	
du	1807	2607	138	107	
Seneca	204	2696	302	136	
di	544	2698	98	135	
diligente	652	2698	393	136	
fpiendidezza	1081	2700	553	137	
,	1636	2702	38	135	
ſpende	1677	2702	337	136	
ua	202	2814	102	121	
il	341	2820	60	119	
giorno	435	2823	271	127	
cinque	748	2833	299	129	
milia	1067	2830	218	119	
ſcudi	1330	2827	233	119	
.	1572	2825	36	121	
Sich	1679	2823	188	120	
Seneca	201	2936	308	119	
dice	541	2936	184	119	
molto	738	2936	270	119	
bene	1048	2936	234	119	
,	1288	2936	35	119	
ragionando	1333	2936	525	119	
de	1893	2936	109	119	
paſti	206	3054	218	124	
de	432	3052	116	125	
'	542	3052	37	125	
ſuoi	587	3051	170	125	
tempi	796	3050	277	124	
,	1071	3048	37	125	
che	1131	3048	162	124	
in	1312	3047	71	125	
cialcun	1433	3046	326	123	
pafto	1780	3044	233	124	
conſumauafi	203	3158	565	105	
Pentrata	821	3158	412	105	
d'vn	1319	3158	199	105	
Cittadino	1587	3158	419	105	
dell'ordine	200	3272	485	135	
Equeſtre	697	3272	385	135	
,	1102	3272	39	135	
il	1149	3272	52	135	
quale	1236	3272	230	135	
mentre	1476	3272	342	135	
non	1841	3272	174	135	
poteua	195	3398	325	102	
hauer	563	3393	260	104	
d'entrata	879	3388	408	103	
manco	1310	3383	301	103	
di	1657	3378	100	105	
dieci	1813	3376	225	104	
milia	202	3484	204	135	
ſcudi	445	3484	224	135	
,	674	3484	39	135	
la	717	3484	74	135	
ſpeſa	858	3484	186	135	
poteua	1086	3484	323	135	
importare	1442	3484	437	135	
da	1922	3484	99	135	
dagento	210	3608	353	115	
milia	591	3604	231	117	
fcudiin	863	3601	307	116	
circa	1218	3598	209	117	
.	1458	3595	36	119	
Craffo	315	3716	275	105	
nobilifiimo	622	3713	520	103	
Romano	1157	3709	392	105	
,	1550	3706	32	107	
dopo	1619	3706	217	105	
ha	1880	3704	136	106	
uer	207	3839	132	113	
vinto	382	3836	224	111	
Spartaco	659	3831	393	108	
Capitano	1106	3823	419	108	
di	1579	3815	83	113	
Gladia	1686	3813	323	110	
tori	215	3940	163	117	
,	368	3938	36	119	
dette	421	3937	233	117	
vn	702	3934	89	119	
conuito	829	3933	346	115	
al	1218	3928	89	119	
Popolo	1321	3927	305	116	
ſopra	1691	3923	223	117	
dieci	1690	4039	242	86	
chew	-2	2099	67	72	
JJV	-8	2219	89	76	
Aile	-22	2329	100	74	
enda	-9	2561	89	64	
ed	3	3249	83	64	
Milli	11	3393	79	28	
9	2648	3484	7	63	
alo	25	3922	52	77	
M	1218	4049	20	92	
3	1430	4062	20	92	
