content	x	y	w	h	
18	775	308	66	38	
Perioche	1466	273	231	76	
in	779	384	30	83	
iudicium	842	384	219	81	
,	1085	382	24	83	
&	1119	382	24	83	
crimen	1178	382	173	82	
vocârunt	1388	381	235	81	
.	1623	379	24	83	
Dictatum	1660	379	232	82	
à	1933	378	24	83	
Deo	1979	377	106	83	
ipfo	2102	377	106	82	
Deca	2218	376	159	82	
logum	773	466	155	83	
,	953	464	25	85	
plebiſcita	979	464	235	83	
,	1220	461	25	85	
Sanctiones	1242	461	293	82	
omnes	1544	458	171	84	
,	1718	456	25	85	
nocentiſſimam	1750	456	373	82	
Reipub	2151	452	219	82	
licæ	769	540	96	72	
luem	887	539	110	72	
audacter	1031	538	223	72	
affirmârunt	1261	536	309	71	
:	1573	534	22	73	
Diem	1596	534	117	72	
nullum	1755	533	168	72	
vllum	1963	532	133	72	
futurum	2138	530	201	72	
,	2365	529	22	73	
quo	781	622	98	84	
ad	904	620	49	85	
Tribunal	990	620	229	83	
ſupremum	1231	617	258	83	
animæ	1532	614	169	84	
citarentur	1721	612	268	83	
.	1978	610	25	85	
Et	2036	609	65	85	
(	2107	609	25	85	
ineptiam	2134	608	211	83	
ride	777	700	100	84	
)	876	698	25	85	
agricultarum	908	698	321	81	
,	1254	693	25	85	
hanc	1278	693	136	83	
verò	1414	691	113	84	
abominandam	1556	689	357	80	
eſſe	1960	683	91	84	
,	2054	682	25	85	
&	2096	682	25	85	
execran	2158	681	185	83	
dum	768	778	100	76	
inuentum	915	777	233	75	
;	1193	774	23	77	
quòd	1243	774	122	76	
vomere	1399	773	182	76	
ibi	1600	771	77	77	
,	1685	771	23	77	
&	1731	770	23	77	
ferreo	1805	770	139	76	
ſulco	1966	769	134	76	
omnes	2127	767	182	76	
ex	2327	766	41	77	
herbis	762	844	163	85	
,	931	844	24	85	
&	965	844	24	85	
frugibus	1031	844	218	85	
animæ	1267	844	173	85	
pellerentur	1465	844	284	85	
.	1739	844	24	85	
Et	1789	844	62	85	
quamuis	1865	844	230	85	
extra	2119	844	113	85	
om	2265	844	100	85	
nem	767	932	94	82	
controuerfiam	897	931	352	81	
Manes	1287	928	177	82	
nunquam	1471	927	240	82	
legibus	1759	925	190	82	
Chrifti	1951	924	184	82	
fuerit	2144	923	133	82	
ad	2294	922	47	83	
.	2350	921	25	83	
dictus	768	1009	166	78	
,	941	1007	24	80	
fæpenumerò	975	1007	321	77	
tamen	1323	1003	151	79	
ceu	1509	1002	81	79	
ſimia	1618	1001	119	79	
Chriſtianorum	1762	999	363	77	
ritus	2174	995	121	79	
eſt	2310	994	59	79	
imitatus	768	1090	226	81	
.	984	1087	25	83	
Virgines	1037	1087	222	81	
,	1261	1084	25	83	
fi	1298	1084	34	83	
quas	1353	1083	116	82	
efſet	1485	1082	102	82	
reperire	1586	1081	199	81	
,	1790	1078	25	83	
laudauit	1821	1078	216	81	
.	2034	1076	25	83	
Totam	2095	1075	146	82	
fu	2288	1073	72	82	
am	763	1164	55	73	
Eccleſiam	856	1163	228	72	
,	1120	1161	21	73	
vt	1155	1161	55	73	
nos	1220	1161	94	72	
in	1329	1160	40	73	
Clericos	1404	1159	213	72	
,	1623	1158	21	73	
&	1675	1158	21	73	
Laicos	1738	1157	166	72	
;	1919	1156	21	73	
ità	1958	1156	63	72	
ille	2038	1155	79	73	
in	2143	1154	40	73	
Audi	2208	1154	147	72	
tores	771	1230	117	89	
&	912	1230	26	89	
Electos	977	1230	188	89	
diſpertiuit	1163	1230	277	89	
:	1443	1230	26	89	
Duodecimviratum	1483	1230	474	89	
,	1983	1230	26	89	
quem	2027	1230	112	89	
nos	2197	1230	89	89	
A.	2305	1230	66	89	
poftolorum	761	1318	291	82	
,	1084	1316	24	83	
ille	1122	1316	74	83	
Magiftrorum	1216	1316	323	82	
titulo	1592	1314	136	83	
inſigniuit	1760	1314	250	81	
,	2017	1312	24	83	
&	2059	1312	24	83	
decimuſ	2124	1312	235	82	
tertius	767	1396	172	80	
Primas	966	1395	168	81	
erat	1162	1394	94	81	
.	1250	1394	23	81	
Septuaginta	1323	1394	311	80	
&	1652	1392	23	81	
alios	1720	1392	121	81	
duos	1865	1392	132	80	
ſuis	2017	1391	91	81	
ritibus	2122	1391	183	80	
in	2313	1390	29	81	
Epiſcopos	768	1476	267	77	
Electos	1066	1470	193	77	
deuouebat	1263	1466	280	76	
.	1542	1461	25	81	
Sed	883	1551	81	81	
compendium	999	1551	328	80	
.	1351	1550	23	81	
Satis	1410	1549	106	81	
eſto	1534	1549	86	81	
,	1638	1549	23	81	
ex	1680	1548	46	81	
itinere	1745	1548	169	81	
hos	1929	1547	104	81	
vitiofos	2039	1547	203	80	
para	2261	1546	105	81	
tus	766	1620	83	73	
vidiffe	859	1620	153	73	
.	1017	1620	21	73	
Pro	1075	1620	71	73	
coronide	1177	1620	242	73	
Encomiaſten	1435	1620	329	73	
S.	1802	1620	40	73	
Leonem	1845	1620	201	73	
huius	2092	1620	157	73	
Hæ	2241	1620	94	73	
.	2341	1620	21	73	
reſeos	760	1700	161	83	
audiamus	939	1700	249	83	
.	1181	1700	24	83	
Cùm	1242	1700	107	83	
Cacodæmon	1386	1700	333	83	
,	1727	1700	24	83	
inquit	1765	1700	157	83	
,	1928	1700	24	83	
omnium	1968	1700	213	83	
vitio	2223	1700	103	83	
.	2339	1700	24	83	
rum	767	1786	88	76	
caput	890	1785	150	76	
ſit	1038	1784	57	76	
,	1091	1783	23	77	
ſedem	1116	1783	131	76	
ſupremam	1288	1782	239	75	
,	1560	1780	23	77	
&	1591	1779	23	77	
editum	1643	1779	172	76	
caftrum	1847	1777	186	76	
in	2079	1776	30	77	
hac	2139	1775	101	77	
Ma	2244	1774	110	77	
nia	761	1852	85	83	
fixit	869	1853	105	83	
,	968	1853	24	83	
vbi	991	1853	95	84	
non	1086	1854	107	83	
vnius	1211	1855	139	83	
generis	1374	1855	176	84	
abominanda	1566	1857	335	84	
,	1900	1858	24	83	
ſed	1945	1859	72	83	
conflugos	2032	1859	258	84	
,	2284	1861	24	83	
&	2312	1861	24	83	
extrema	759	1935	223	80	
omnium	978	1935	204	80	
Hærelum	1226	1935	216	80	
lacuna	1475	1935	181	80	
eſt	1661	1935	58	80	
:	1725	1935	23	80	
ita	1771	1935	56	80	
vt	1856	1935	44	80	
quod	1926	1935	135	80	
Sancti	2083	1935	166	80	
tan	2253	1935	95	80	
quam	772	2006	115	84	
profanum	933	2007	236	84	
fugiunt	1220	2009	201	84	
;	1429	2010	23	83	
quod	1486	2011	126	83	
Iudæi	1640	2011	150	84	
tanquam	1808	2012	213	85	
cæcitatem	2078	2014	229	84	
;	2336	2016	23	83	
quod	773	2088	124	81	
Scientiæ	929	2089	200	81	
abftrufæ	1161	2090	199	81	
nomine	1401	2092	209	80	
Magiæ	1638	2093	159	81	
damnant	1831	2094	248	81	
;	2087	2095	23	80	
quod	2141	2095	133	81	
in	2298	2096	46	80	
omnibus	759	2160	246	80	
impijs	1025	2161	161	80	
conciliabulis	1206	2162	328	80	
ſub	1550	2163	79	79	
anathema	1662	2164	264	80	
cadit	1942	2165	120	79	
,	2076	2165	23	79	
in	2118	2166	44	79	
Mani	2185	2166	162	79	
chæorum	756	2236	234	82	
Sectam	1029	2237	153	82	
,	1210	2238	23	81	
tanquam	1236	2238	208	82	
in	1493	2239	29	81	
latrinam	1548	2240	192	81	
puridiflimam	1791	2241	322	82	
corriua	2153	2242	196	82	
tum	759	2314	80	71	
effe	880	2315	86	71	
videretur	981	2315	233	72	
.	1213	2317	20	71	
Ethis	1252	2317	139	71	
velut	1396	2318	135	71	
centonibus	1551	2318	299	73	
ſuæ	1855	2320	82	71	
doctrinæ	1965	2321	231	72	
man	2211	2322	112	72	
tellum	757	2396	148	81	
peffimus	955	2396	219	81	
Manes	1181	2396	178	81	
conſuebat	1378	2396	269	81	
,	1642	2396	23	81	
vt	1675	2396	46	81	
omnes	1737	2396	180	81	
hanc	1925	2396	139	81	
ſibi	2080	2396	86	81	
veſtem	2185	2396	134	81	
aptare	753	2472	163	85	
poffent	925	2472	192	85	
.	1108	2472	24	85	
Porrò	1165	2472	138	85	
in	1315	2472	48	85	
dicendo	1381	2472	208	85	
Manes	1603	2472	181	85	
fuauis	1797	2472	155	85	
,	1959	2472	24	85	
in	1995	2472	47	85	
perſuaden	2069	2472	276	85	
do	751	2542	75	84	
,	822	2543	23	83	
contrariáſque	857	2543	352	86	
opiniones	1224	2546	255	85	
refellendo	1504	2549	262	85	
potens	1786	2551	179	84	
erat	1976	2552	95	84	
,	2074	2553	23	83	
ità	2121	2554	46	83	
vt	2201	2554	46	84	
qui	2278	2555	80	84	
eius	762	2620	98	84	
ſcholam	872	2621	177	84	
ſemel	1109	2623	131	83	
frequentaſſet	1259	2624	328	85	
,	1582	2626	23	83	
tam	1610	2626	69	83	
noxiè	1721	2627	140	84	
inficeretur	1877	2628	285	85	
,	2162	2630	23	83	
vt	2205	2630	46	83	
dif	2274	2631	78	83	
ficillimo	767	2698	224	89	
negotio	986	2700	200	89	
ad	1221	2702	48	88	
Chriſtianam	1285	2703	292	89	
Religionem	1619	2706	282	89	
poftliminiò	1961	2709	292	90	
ac	2285	2712	48	87	
ceſſus	756	2780	158	82	
effet	915	2781	110	82	
.	1022	2782	22	81	
Sed	1068	2782	81	82	
omitto	1174	2783	167	82	
plura	1373	2784	128	82	
,	1504	2785	22	81	
&	1530	2785	22	81	
ad	1587	2785	46	82	
AvGVSTINVM	1651	2786	372	83	
redeo	2048	2788	133	82	
.	2194	2789	22	81	
dias	2232	2790	97	81	
Vbi	877	2856	100	90	
aduerterunt	997	2857	314	92	
ergò	1331	2860	102	90	
nequiflimni	1471	2861	280	91	
Manichæi	1770	2864	279	91	
,	2058	2866	25	89	
quòd	2123	2866	124	90	
fuả	2275	2868	88	89	
doctrinâ	756	2932	225	87	
,	990	2934	23	85	
ac	1034	2935	47	85	
feliciſlimo	1095	2935	274	88	
ingenio	1378	2938	201	87	
non	1598	2940	97	86	
parum	1731	2941	136	86	
AVGVSTINVS	1919	2943	441	89	
incommodare	753	3010	374	87	
poffet	1136	3013	163	86	
;	1294	3014	23	85	
maturè	1324	3014	197	86	
occupâruntcereum	1542	3015	482	88	
Adoleſcen	2063	3019	293	86	
tem	754	3090	69	84	
,	860	3091	23	83	
&	902	3091	23	83	
in	967	3092	28	83	
ſuos	1021	3092	115	84	
paulatim	1144	3093	209	84	
hos	1393	3095	94	83	
dictos	1507	3096	156	84	
errores	1686	3097	167	84	
traxerunt	1878	3098	251	85	
.	2120	3100	23	83	
Quod	2211	3101	136	83	
«	697	3174	26	91	
ipfe	758	3174	89	91	
poft	861	3174	116	91	
AVGVSTINY	1005	3174	400	91	
S	1415	3174	26	91	
deplorat	1459	3174	216	91	
;	1681	3174	26	91	
Incidi	1743	3174	147	91	
itaque	1899	3174	169	91	
in	2083	3174	33	91	
homines	2139	3174	221	91	
व	1426	3268	17	59	
fuper	2195	3267	148	78	
I	2549	1816	5	55	
.	2538	1959	11	1	
