content	x	y	w	h	
EVA	158	3286	40	87	
-	155	3174	43	13	
2	155	3144	43	13	
TWO	153	3080	41	94	
MAN	150	2951	40	106	
WALKING	207	3334	57	235	
TRAVERSE	207	3040	57	268	
EVA	154	2417	48	92	
-	156	2309	47	12	
1	157	2266	47	12	
TWO	158	2204	48	87	
MAN	160	2078	48	100	
WALKING	219	2460	59	228	
TRAVERSE	222	2163	60	260	
ONE	145	1606	57	96	
-	145	1490	57	16	
MAN	145	1469	57	98	
EVA	145	1328	58	98	
1	146	1178	57	16	
(	210	1560	71	20	
MIN	210	1539	71	102	
TIME	211	1392	71	133	
)	211	1250	71	20	
EVA	160	765	56	93	
-	161	652	55	14	
3	162	619	55	14	
TWO	162	550	56	85	
MAN	164	425	56	100	
WALKING	230	810	57	240	
TRAVERSE	233	524	58	272	
Photo	382	3061	72	168	
contaminated	386	2841	75	410	
sample	393	2379	72	190	
area	397	2134	71	120	
5	437	1856	55	15	
+	437	1816	55	15	
20	438	1788	55	59	
Discard	536	3071	73	248	
scoop	538	2780	72	166	
/	539	2602	71	20	
ext	539	2571	72	101	
handle	540	2424	73	197	
Close	395	1680	71	169	
&	399	1465	67	18	
seal	401	1395	70	128	
SESC	404	1216	70	127	
-	408	1037	67	18	
stow	409	973	69	119	
in	413	783	67	35	
SCB	470	1603	66	86	
#	476	1468	64	15	
7	478	1430	64	15	
Remove	539	1689	72	202	
SCB	543	1434	70	87	
#	545	1293	69	19	
8	546	1258	69	19	
&	547	1188	69	19	
BSLSS	548	1122	71	167	
sample	552	902	72	202	
bag	555	670	70	107	
from	614	1607	68	108	
LMP	616	1437	67	94	
PLSS	617	1298	68	128	
tool	619	1119	68	130	
harness	620	951	69	237	
&	623	661	67	18	
stow	690	1620	58	124	
on	691	1446	57	63	
MESA	692	1343	57	140	
table	693	1154	58	157	
Doff	792	1694	69	137	
PLSS	794	1515	69	129	
tool	796	1335	69	130	
harness	797	1163	70	241	
&	800	875	68	18	
discard	801	804	70	234	
Doff	775	3062	72	133	
BSLSS	777	2892	72	172	
and	779	2674	71	91	
PLSS	780	2539	72	136	
tool	781	2356	72	126	
harness	783	2186	73	244	
&	851	2991	59	17	
discard	852	2925	61	239	
Retrieve	925	3068	57	277	
SWC	925	2738	57	90	
foil	925	2602	57	130	
Place	1526	3073	70	174	
SWC	1528	2848	69	87	
foil	1530	2712	69	137	
in	1532	2530	68	49	
bag	1533	2439	68	105	
from	1534	2292	69	122	
MESA	1536	2121	69	139	
&	1538	1935	68	18	
stow	1597	2998	62	122	
in	1599	2813	61	46	
ETB	1600	2718	62	95	
(	964	1682	73	20	
Do	965	1654	73	52	
following	966	1544	76	312	
sequence	970	1188	75	271	
ONLY	973	878	74	142	
if	975	692	74	52	
LRV	1036	1622	69	96	
is	1039	1468	68	50	
at	1040	1377	69	74	
LM	1042	1260	68	49	
)	1043	1190	68	18	
Unstow	1105	1703	78	204	
TCU	1109	1439	76	84	
power	1112	1303	77	171	
cable	1115	1083	77	165	
Unstow	1180	1695	70	196	
TCU	1183	1437	69	86	
&	1185	1297	68	18	
place	1185	1233	70	175	
on	1188	1016	68	49	
LRV	1189	916	69	96	
seat	1191	771	69	131	
Remove	1252	1700	61	211	
LCRU	1254	1443	60	128	
Y	1256	1260	59	17	
-	1256	1224	59	17	
cable	1256	1200	60	173	
from	1258	973	59	112	
LRV	1259	807	60	101	
&	1322	1615	59	16	
attach	1323	1557	61	204	
to	1325	1300	60	53	
TCU	1327	1192	59	83	
Retrieve	1384	1696	78	279	
TV	1392	1369	72	51	
camera	1394	1261	75	187	
and	1399	1017	74	90	
carry	1402	873	75	165	
to	1470	1622	53	58	
LRV	1469	1520	52	99	
TV	1535	1691	67	61	
pwr	1535	1586	66	95	
SW	1534	1445	67	51	
-	1534	1334	67	19	
OFF	1534	1270	67	96	
Remove	1601	1697	71	209	
TV	1606	1443	67	61	
from	1607	1331	69	109	
tripod	1610	1154	71	196	
Mount	1673	1710	61	184	
TV	1677	1477	57	50	
on	1679	1373	57	53	
TCU	1680	1263	58	80	
Connect	1742	1699	73	244	
TV	1747	1403	70	50	
power	1749	1307	72	166	
cable	1753	1091	71	168	
Unstow	1814	1704	63	201	
HGA	1817	1453	62	105	
from	1818	1302	62	112	
canister	1820	1133	64	278	
Carry	1891	1697	68	173	
HGA	1892	1486	67	95	
&	1893	1340	67	19	
TV	1893	1269	67	62	
/	1894	1197	67	19	
TCU	1894	1157	67	86	
to	1894	1024	68	61	
site	1895	918	67	133	
300	1952	1621	76	85	
'	1954	1513	75	20	
East	1955	1445	78	133	
of	1958	1274	77	68	
LM	1960	1165	76	54	
approp	1962	1059	79	203	
heading	1967	818	80	253	
096	2031	1631	60	87	
°	2030	1512	61	17	
Get	1877	3084	67	105	
LCRU	1878	2932	67	129	
&	1879	2752	67	19	
carry	1879	2679	68	162	
to	1880	2467	68	49	
site	1881	2370	68	142	
300	1882	2181	67	86	
'	1883	2078	67	19	
East	1883	2014	68	138	
of	1946	3009	73	67	
LM	1947	2894	73	53	
approx	1947	2795	74	209	
heading	1949	2549	74	248	
096	1950	2258	74	83	
°	1951	2153	73	21	
Assist	2229	3084	58	207	
CDR	2231	2835	57	98	
5	2240	1874	69	19	
+	2241	1832	69	19	
30	2241	1799	69	50	
Implace	2242	1690	71	234	
TCU	2245	1416	69	87	
staff	2246	1267	71	165	
in	2248	1057	70	50	
surface	2249	952	71	234	
17-6	2355	1910	57	117	
DATE	2455	2640	53	137	
7/13/71	2424	2374	68	251	
