content	x	y	w	h	
“	195	261	11	50	
Me	211	261	69	50	
,	271	261	11	50	
I	295	261	22	50	
have	323	261	95	50	
beliefs	429	261	129	50	
.	553	261	11	50	
Here	576	261	101	50	
as	688	261	43	50	
a	742	261	22	50	
person	772	261	136	50	
,	912	261	8	50	
we	934	261	54	50	
may	998	261	90	50	
have	1099	261	94	50	
some	1203	261	105	50	
power	1315	261	129	50	
-	1446	261	34	50	
we	1484	261	54	50	
don't	1549	261	100	50	
have	227	320	95	53	
all	333	320	50	53	
power	398	320	121	53	
.	518	320	15	53	
To	538	320	46	53	
me	595	320	66	53	
,	656	320	8	53	
God	679	320	80	53	
has	769	320	70	53	
all	850	320	51	53	
the	910	320	62	53	
power	979	320	130	53	
.	1104	320	8	53	
And	1121	320	88	53	
he	1218	320	46	53	
may	1274	320	90	53	
work	1374	320	101	53	
through	1486	320	160	53	
us	191	381	48	52	
-	258	381	11	52	
through	281	381	161	52	
you	452	381	75	52	
and	538	381	77	52	
I	623	381	19	52	
,	637	381	11	52	
someone	662	381	177	52	
else-	850	381	111	52	
whatever	973	381	191	52	
we	1173	381	54	52	
do	1238	381	45	52	
.	1286	381	4	52	
It's	1302	381	65	52	
not	1377	381	68	52	
our	1455	381	70	52	
doing	1535	381	117	52	
.	1644	381	11	52	
It's	180	436	65	53	
just	250	436	83	53	
his	342	436	61	53	
power	408	436	131	53	
may	548	436	89	53	
come	648	436	105	53	
through	764	436	159	53	
us	934	436	47	53	
...	990	436	25	53	
Don't	1028	436	113	53	
let	1150	436	51	53	
this	1210	436	77	53	
person	1292	436	141	53	
think	1446	436	109	53	
that	1564	436	85	53	
I'm	180	501	70	51	
the	262	501	62	51	
one	335	501	69	51	
that's	415	501	113	51	
doing	539	501	113	51	
this	663	501	77	51	
.	742	501	4	51	
I	759	501	22	51	
think	788	501	109	51	
there's	907	501	132	51	
a	1050	501	22	51	
higher	1082	501	135	51	
power	1222	501	129	51	
to	1361	501	36	51	
it	1408	501	32	51	
.	1442	501	4	51	
You	1465	501	73	51	
don't	1549	501	100	51	
think	170	556	109	51	
a	288	556	23	51	
whole	322	556	117	51	
lot	448	557	53	51	
about	510	557	117	51	
it	636	557	30	51	
,	663	557	10	51	
just	682	557	85	52	
somebody	774	558	205	51	
asks	988	558	89	52	
you	1086	559	75	51	
something	1170	559	219	52	
,	1382	560	11	51	
and	1408	560	77	51	
you	1494	560	75	51	
feel	1574	561	75	51	
in	332	618	39	55	
your	382	618	99	55	
mind	488	618	109	55	
and	608	618	77	55	
your	694	618	97	55	
heart	800	618	111	55	
that	920	618	85	55	
you	1014	618	73	55	
may	1098	618	91	55	
really	1200	618	117	55	
help	1326	618	85	55	
this	1422	618	75	55	
person	1504	618	134	55	
.	1648	618	8	55	
Somethin'guides	588	678	351	58	
you	948	678	76	58	
to	1035	678	36	58	
do	1083	678	45	58	
this	1145	678	73	58	
,	1221	678	16	58	
