content	x	y	w	h	
VILLA	1330	210	492	89	
de	875	340	98	108	
quali	1009	341	178	108	
ſi	1208	342	58	107	
poſſon	1265	343	232	108	
qui	1539	344	120	108	
vedere	1663	345	251	109	
,	1919	347	30	107	
con	1971	347	120	108	
fom	2126	348	158	108	
mo	869	444	131	87	
ſtudio	1034	442	191	86	
raccolte	1252	438	291	85	
.	1559	434	27	89	
Si	976	534	76	106	
ſtende	1090	535	217	106	
dunque	1353	537	286	106	
il	1669	539	58	105	
ſito	1732	539	111	105	
della	1887	540	154	106	
Villa	2073	541	162	106	
Borgheſe	874	632	322	115	
per	1232	632	96	115	
lo	1365	632	37	115	
ſpazio	1426	632	213	115	
di	1667	632	81	115	
tre	1750	632	102	115	
miglia	1852	632	236	115	
di	2105	632	88	115	
gi	2202	632	93	115	
ro	876	728	73	99	
,	968	728	29	99	
dalla	1026	728	159	99	
banda	1212	728	231	99	
ſuddetta	1480	728	295	99	
di	1822	728	91	99	
Porta	1922	728	193	99	
Pin	2146	728	99	99	
.	2268	728	29	99	
ciana	873	824	187	90	
,	1064	825	26	89	
ſin'à	1123	825	127	89	
Muro	1273	826	197	89	
torto	1503	826	183	90	
,	1703	827	26	89	
vicino	1746	827	217	90	
alla	1976	828	120	89	
Por	2126	829	161	89	
ta	867	916	61	107	
Flaminia	963	917	294	109	
:	1266	920	30	107	
&	1322	920	30	107	
è	1396	921	30	107	
tutto	1452	921	166	108	
queſt'ambito	1655	923	466	111	
cin	2155	927	123	108	
to	865	1016	65	91	
,	940	1016	26	91	
non	973	1016	130	91	
ſolo	1136	1016	126	91	
di	1297	1016	65	91	
mura	1374	1016	189	91	
all'intorno	1601	1016	366	91	
,	1970	1016	26	91	
d'altez	2025	1016	258	91	
za	861	1112	84	111	
,	941	1112	32	111	
le	986	1112	66	111	
più	1063	1112	97	111	
baffe	1197	1112	163	111	
,	1367	1112	32	111	
di	1399	1112	81	111	
venti	1485	1112	191	111	
palmi	1696	1112	209	111	
d'architet	1903	1112	380	111	
to	863	1210	67	91	
;	966	1211	26	91	
mà	995	1211	134	91	
nel	1132	1211	128	92	
di	1273	1212	83	91	
dentro	1374	1212	236	92	
contiene	1653	1214	315	92	
ancora	1995	1215	231	92	
molti	848	1288	223	122	
ricinti	1083	1291	216	122	
minori	1292	1294	271	123	
,	1556	1298	33	119	
che	1602	1299	117	120	
diſtinguendo	1746	1301	470	125	
il	2231	1307	64	120	
luogo	854	1404	214	111	
in	1095	1404	45	111	
più	1182	1404	78	111	
parti	1297	1404	183	111	
lo	1496	1404	59	111	
rendon	1582	1404	258	111	
più	1874	1404	82	111	
vago	2000	1404	157	111	
al	2190	1404	85	111	
Dinilio	605	1541	179	66	
la	859	1500	59	101	
viſta	962	1500	140	101	
.	1114	1500	29	101	
Il	1202	1500	37	101	
primo	1253	1500	221	101	
Ricinto	1496	1500	261	101	
,	1776	1500	29	101	
che	1850	1500	116	101	
ſi	1996	1500	39	101	
ſtende	2054	1500	237	101	
ne	559	1592	80	107	
della	652	1593	117	107	
