content	x	y	w	h	
DES	566	413	231	96	
GEMOED	837	413	699	96	
S	1592	413	28	96	
.	1630	413	28	96	
45	2049	444	95	74	
En	819	629	97	111	
Kapittel	968	633	328	120	
V	1331	644	29	110	
:	1386	646	29	110	
7	1452	648	29	110	
,	1496	649	29	110	
8	1562	651	29	110	
.	1606	652	29	110	
Zo	394	818	86	94	
zyt	519	819	120	95	
dan	685	821	108	95	
langmoedig	876	824	355	98	
,	1283	829	26	94	
broeders	1373	830	284	98	
,	1686	834	26	94	
tot	1771	835	93	95	
de	1923	837	70	95	
toe	2033	839	111	96	
koinſte	286	917	212	95	
des	561	921	104	93	
Heeren	724	923	220	95	
.	967	926	25	92	
Ziet	1095	928	119	93	
,	1264	930	25	92	
de	1370	931	83	93	
landman	1499	933	276	95	
verwacht	1826	937	321	96	
de	287	1018	66	92	
koſtelyke	376	1019	293	96	
vrucht	724	1024	215	95	
des	962	1028	104	93	
lands	1100	1030	174	94	
,	1293	1033	25	92	
langinoedig	1370	1034	366	97	
zynde	1794	1040	187	94	
over	2008	1043	128	94	
dezelve	271	1111	241	102	
,	533	1115	26	98	
tot	601	1116	97	99	
dat	747	1119	111	99	
het	931	1122	97	99	
den	1091	1125	97	99	
vroegen	1241	1127	237	102	
en	1545	1132	53	99	
ſpaaden	1655	1134	253	102	
regen	1951	1139	167	101	
zal	287	1213	117	97	
hebben	416	1216	223	98	
ontfangen	690	1221	315	100	
.	1030	1228	25	95	
Weeft	361	1334	209	94	
gy	641	1338	66	92	
ook	756	1340	90	93	
langmoedig	887	1342	366	97	
,	1275	1348	25	92	
verſterkt	1357	1349	300	96	
uwe	1697	1354	143	95	
herten	1878	1357	193	95	
;	2122	1361	25	92	
want	270	1433	185	98	
de	479	1436	85	97	
toekomſte	589	1438	326	101	
des	954	1444	92	97	
Heeren	1090	1447	215	98	
genaakt	1357	1451	255	99	
.	1628	1456	25	95	
I	728	1665	26	94	
PETRUS	783	1666	454	101	
IV	1275	1674	102	96	
:	1400	1676	26	94	
12	1475	1677	68	94	
,	1554	1678	26	94	
13	1615	1679	86	96	
Geliefde	367	1838	276	97	
,	692	1844	24	92	
en	796	1846	49	92	
houd	932	1848	139	95	
u	1138	1852	24	92	
niet	1229	1853	118	94	
vreemd	1406	1856	235	97	
over	1685	1861	141	95	
de	1867	1865	83	94	
bitte	1979	1867	162	95	
(	280	1938	24	91	
der	324	1938	104	94	
verdrukkinge	492	1941	427	98	
)	940	1949	24	91	
onder	1003	1950	174	94	
u	1228	1954	24	91	
,	1293	1955	24	91	
die	1375	1956	90	92	
u	1535	1959	24	91	
geſchied	1617	1961	251	94	
tot	1900	1965	89	92	
ver	2003	1967	133	93	
zoekinge	272	2036	295	109	
,	569	2041	28	104	
als	650	2042	88	105	
of	790	2044	57	105	
u	894	2046	28	104	
[	978	2047	28	104	
iets	1026	2048	104	105	
]	1146	2050	28	104	
vreemds	1222	2051	259	109	
over	1525	2056	130	106	
quame	1693	2059	216	108	
:	1924	2063	28	104	
Maar	366	2152	217	120	
gelyk	629	2156	173	119	
gy	853	2160	84	118	
gemeenſchap	988	2162	421	124	
hebt	1460	2170	133	119	
aan	1644	2173	114	118	
bet	1821	2176	97	118	
lyden	1971	2179	153	119	
van	276	2265	105	95	
Chriſtus	437	2268	271	98	
,	724	2272	25	93	
[	800	2274	25	93	
alzo	846	2275	133	95	
]	1000	2277	25	93	
verblyd	1064	2278	238	98	
u	1342	2283	25	93	
:	1408	2284	25	93	
op	1473	2285	67	95	
dat	1577	2287	119	95	
gy	1729	2290	67	94	
ook	1857	2292	78	94	
in	1983	2294	33	93	
de	2058	2295	83	95	
openbaaringe	270	2362	437	101	
zyner	768	2372	178	95	
heerlykheid	995	2377	360	98	
u	1397	2386	24	92	
inoogt	1476	2387	188	96	
verblyden	1711	2393	293	96	
en	2055	2400	65	93	
verheugen	275	2462	326	108	
.	616	2462	31	108	
OPENBAARINGE	552	2688	817	103	
III	1430	2688	104	103	
:	1543	2688	30	103	
19	1620	2688	95	103	
.	1719	2688	30	103	
Zo	374	2846	83	119	
wie	499	2849	114	119	
ik	666	2852	41	118	
lief	761	2854	104	120	
bebbe	892	2857	186	122	
,	1108	2862	31	118	
die	1182	2864	80	118	
beſtraffe	1310	2867	282	122	
en	1629	2874	63	118	
kaftyde	1743	2876	260	123	
ik	2035	2883	41	117	
:	2099	2884	31	118	
weeſt	271	2969	174	94	
dan	493	2972	103	92	
iverig	655	2973	180	94	
,	867	2976	25	92	
en	944	2976	50	93	
bekeerd	1061	2978	233	94	
u	1332	2980	25	92	
.	1379	2981	25	92	
D	1077	3520	27	95	
4	1202	3520	27	95	
DE	1983	3537	146	112	
