content	x	y	w	h	
No	741	455	90	79	
.	823	454	24	80	
55	862	454	61	79	
.	930	453	24	80	
Oh	1110	452	90	79	
!	1217	451	24	80	
let	1271	450	59	80	
me	1356	449	90	80	
get	1469	448	82	80	
up	1572	448	75	79	
.	1651	447	24	80	
1	824	678	12	44	
.	837	678	12	44	
On	873	678	49	44	
!	932	678	12	44	
just	959	678	67	44	
let	1040	678	44	44	
me	1114	678	57	44	
get	1199	678	50	44	
up	1287	678	49	44	
in	1378	678	24	44	
the	1445	678	51	44	
house	1510	678	96	44	
of	1619	678	32	44	
God	1672	678	76	44	
,	1751	678	12	44	
Just	1775	678	74	44	
let	1864	678	44	44	
me	1931	678	65	44	
get	845	872	53	47	
up	929	872	43	47	
in	1020	872	26	47	
the	1092	872	53	47	
house	1155	872	103	47	
of	1265	872	43	47	
God	1321	872	68	47	
,	1398	872	13	47	
Just	1426	872	70	47	
let	1519	872	46	47	
me	1592	872	61	47	
get	1680	872	53	47	
up	1764	872	43	47	
in	1855	872	25	47	
the	1932	872	53	47	
house	842	1072	101	44	
of	969	1072	32	44	
God	1036	1072	75	44	
,	1114	1072	12	44	
And	1157	1072	69	44	
I	1245	1072	12	44	
'	1254	1072	12	44	
ll	1268	1072	24	44	
nev	1321	1072	63	44	
-	1398	1072	12	44	
er	1415	1072	32	44	
turn	1482	1072	75	44	
back	1575	1072	74	44	
a	1695	1072	12	44	
-	1735	1072	12	44	
ny	1769	1072	40	44	
more	1841	1072	94	44	
.	1933	1072	12	44	
No	863	1258	56	43	
more	949	1258	96	43	
,	1045	1258	12	43	
no	1100	1258	40	43	
more	1178	1258	98	43	
,	1274	1258	12	43	
why	1314	1258	74	43	
thank	1432	1258	101	43	
God	1557	1258	80	43	
al	1701	1258	31	43	
-	1749	1258	12	43	
might	1778	1258	110	43	
-	1895	1258	12	43	
y	1912	1258	12	43	
,	1930	1258	12	43	
No	866	1454	48	44	
more	929	1454	94	44	
,	1026	1454	12	44	
no	1070	1454	40	44	
more	1134	1454	91	44	
,	1226	1454	12	44	
I	1271	1454	12	44	
'	1280	1454	12	44	
ll	1294	1454	24	44	
nev	1358	1454	63	44	
-	1428	1454	12	44	
er	1450	1454	32	44	
turn	1514	1454	67	44	
back	1606	1454	72	44	
a	1712	1454	12	44	
-	1743	1454	12	44	
ny	1781	1454	40	44	
more	1856	1454	94	44	
.	1955	1454	12	44	
