content	x	y	w	h	
DELLE	577	69	166	41	
ANTICHITA	773	68	330	40	
DD	407	142	77	38	
NN	518	141	84	38	
.	607	141	10	38	
HONORIO	635	140	279	36	
ET	947	138	70	38	
THEODO	1046	137	234	37	
:	1289	136	10	38	
SIO	413	201	85	36	
INVICTISSIMIS	545	199	425	31	
PRINCIPIO	1013	196	295	32	
BVS	405	260	115	30	
SECRETARII	570	254	353	32	
AMPLISSIMI	970	246	354	37	
SENATVS	411	308	278	41	
QVOD	711	304	130	43	
VIR	870	302	98	44	
ILLVSTRIS	997	300	298	41	
.	1295	296	13	45	
FLAVIUS	415	364	245	36	
ANNIVS	694	361	234	37	
EVCHARIVS	968	358	344	36	
EPIPHANIVS	413	420	368	35	
VCPRAEF	800	415	266	37	
.	1066	413	11	39	
VRB	1104	412	112	38	
.	1214	411	11	39	
V	1242	411	11	39	
Is	1281	410	29	39	
CE	417	478	65	38	
SACRA	505	477	192	37	
IVD	725	474	95	38	
.	834	472	11	39	
REPARAVIT	872	472	340	35	
ET	1238	467	79	39	
PRISTINAM	415	534	320	35	
FACIEM	766	529	207	37	
RED	1010	526	107	38	
VXIT	1130	524	141	37	
.	1272	522	12	39	
Della	427	639	75	54	
Carcere	528	644	121	55	
,	664	650	12	52	
ouero	687	640	94	57	
caſamento	795	637	166	56	
della	975	633	68	58	
plebe	1063	631	92	58	
Romana	1157	629	140	56	
.	1304	626	18	59	
Sſendo	589	753	108	62	
gid	712	750	48	64	
Roma	775	749	104	61	
molto	883	746	98	62	
creſciuta	992	743	147	61	
di	1154	739	37	64	
molticu	1188	738	125	61	
dine	578	804	80	64	
di	679	803	38	65	
huomini	719	803	143	64	
,	864	802	19	65	
&	897	801	19	65	
moltiplicandoſi	958	801	251	63	
,	1220	799	19	65	
ogni	1247	798	77	65	
di	593	866	35	62	
piu	639	865	38	62	
le	697	864	24	62	
ſcelleratezze	731	864	212	59	
,	945	861	18	62	
non	963	861	54	61	
baſtando	1040	860	146	60	
una	1189	858	63	61	
pri	1265	857	54	61	
gione	423	928	92	59	
ſola	516	926	64	60	
,	589	925	18	61	
ne	621	924	35	61	
fu	665	924	34	60	
edificata	723	923	131	59	
un'altra	869	920	134	59	
,	1005	918	18	61	
esſendo	1033	918	113	59	
ſtato	1157	916	74	60	
crea	1247	914	64	60	
to	419	986	35	59	
il	465	985	23	59	
Magiſtrato	501	984	176	56	
di	704	980	44	59	
diece	747	979	83	58	
