content	x	y	w	h	
G	2180	172	19	67	
4-13	2132	264	179	67	
2	884	459	6	63	
(	3117	526	31	106	
.01	3169	526	121	106	
°	3299	526	31	106	
)	3353	526	31	106	
(	1583	448	27	91	
If	1620	447	88	91	
req'd	1762	446	217	89	
.	1995	444	27	91	
mnvr	2069	443	186	90	
<	2327	441	27	91	
10	2366	441	85	90	
°	2465	440	27	91	
,	2511	439	27	91	
to	2609	438	70	91	
3	2751	437	27	91	
)	2787	437	27	91	
F	1114	547	22	71	
50	1202	545	78	69	
18	1347	542	67	69	
Request	1573	548	324	88	
MNVR	1941	545	172	90	
to	2194	543	67	90	
RPY	2318	542	131	90	
angles	2502	540	279	89	
(	1358	634	27	91	
ACCEPT	1389	633	268	90	
)	1671	631	27	91	
SC	1769	631	68	90	
CONT	1907	629	178	90	
-	2140	628	27	91	
CMC	2229	627	132	90	
CMC	1758	727	132	84	
MODE	1945	727	170	84	
-	2188	727	24	84	
AUTO	2276	727	171	84	
PRO	1759	829	130	69	
(	1353	912	28	95	
REJECT	1386	912	271	93	
)	1671	910	28	95	
ENTR	1765	909	166	94	
to	2005	907	70	95	
3	2141	906	28	95	
THRUSTING	3679	1119	89	411	
(	3675	638	92	27	
P40's	3674	611	91	238	
)	3672	359	92	27	
06	1195	1104	73	67	
18	1342	1105	76	67	
MNVR	1567	1099	185	90	
in	1824	1106	60	87	
progress	1948	1109	362	95	
When	1559	1188	181	96	
MNVR	1802	1190	178	96	
complete	2046	1192	361	97	
:	2432	1195	26	95	
(	3123	1092	27	95	
.01	3168	1092	123	95	
°	3306	1092	27	95	
)	3354	1092	27	95	
MINKEY	2534	1194	288	75	
to	2886	1194	69	75	
3	3029	1194	21	75	
Non	2548	1280	124	79	
-	2748	1280	23	79	
MINKEY	2825	1280	285	79	
to	3167	1280	73	79	
2	3308	1280	23	79	
3	890	1476	19	67	
(	2706	1460	31	107	
marks	2732	1460	235	107	
,	2986	1460	31	107	
min	3010	1460	138	107	
-	3170	1460	31	107	
sec	3209	1460	123	107	
)	3354	1460	31	107	
F	1121	1472	20	75	
16	1215	1473	57	75	
45	1340	1474	82	76	
MARKS	1574	1476	221	85	
,	1825	1474	26	87	
TFI	1851	1473	138	86	
,	2011	1472	26	87	
-00001	2055	1472	263	85	
(	1350	1563	28	96	
RECYCLE	1383	1563	321	96	
)	1719	1563	28	96	
V32E	1811	1563	170	96	
(	1355	1655	29	97	
FINAL	1388	1655	228	96	
PASS	1677	1653	174	96	
)	1865	1652	29	97	
TERM	2000	1651	174	97	
MARKS	2221	1650	228	96	
PRO	1568	1760	132	72	
PROP	3682	2047	75	171	
CONS	3684	1815	75	172	
4	886	1945	18	70	
F	1116	1932	28	97	
06	1217	1932	51	97	
81	1344	1932	91	97	
AV	1581	1932	87	97	
XYZ	1718	1932	125	97	
(	1870	1932	28	97	
LV	1895	1932	97	97	
)	1998	1932	28	97	
TPM	2040	1932	124	97	
PRO	1581	2028	129	100	
(	1776	2028	29	100	
If	1811	2028	91	100	
recycle	1951	2028	325	100	
-	2332	2028	29	100	
to	2421	2028	73	100	
3	2574	2028	29	100	
)	2604	2028	29	100	
(	3078	1924	30	107	
.1fps	3119	1925	220	108	
)	3348	1927	30	107	
5	882	2220	19	67	
F	1119	2222	21	75	
16	1216	2222	56	75	
45	1350	2222	69	75	
MARKS	1567	2216	237	85	
,	1820	2218	23	83	
TFI	1867	2218	118	84	
,	2014	2219	23	83	
MGA	2043	2220	129	83	
(	2476	2212	29	99	
marks	2500	2212	227	99	
,	2756	2212	29	99	
min	2776	2212	141	99	
-	2936	2212	29	99	
sec	2984	2212	127	99	
,	3126	2212	29	99	
.01	3174	2212	127	99	
°	3306	2212	29	99	
)	3356	2212	29	99	
(	1684	2314	26	89	
MGA	1715	2314	139	88	
SET	1904	2313	139	89	
TO	2093	2312	82	89	
-00002	2237	2312	262	88	
IF	2561	2311	82	89	
NO	2696	2310	82	89	
REFSMFLG	1813	2402	347	91	
or	2227	2402	84	91	
If	2374	2402	84	91	
P75	2512	2402	117	91	
)	2656	2402	26	91	
PRO	1584	2494	127	99	
(	1776	2494	29	99	
If	1824	2494	73	99	
MINKEY	1950	2494	281	99	
,	2246	2494	29	99	
to	2334	2494	73	99	
Sequencer	2474	2494	407	99	
35.1	2948	2494	173	99	
)	3126	2494	29	99	
6	894	2598	5	73	
F	1124	2600	21	73	
37	1217	2599	65	73	
P75	1576	2688	124	78	
-	1776	2687	23	79	
Transmit	1867	2687	353	77	
Mnvr	2272	2685	183	78	
Parameters	2515	2684	452	77	
To	3039	2681	58	79	
LM	3163	2681	73	79	
9N07	3751	2593	69	196	
OV	3755	2833	70	81	
SA	3758	2972	70	81	
3/22/71	105	3184	86	318	
3/22/71	576	3212	89	323	
To	1579	2878	86	92	
change	1719	2876	274	91	
ATIGINC	2049	2874	312	90	
:	2383	2871	28	93	
V24N1E	2047	2971	263	73	
2021E	2099	3060	219	81	
o	3761	3094	5	55	
10	3750	3175	70	51	
6	1585	3248	20	75	
min	1663	3250	123	76	
:	1827	3252	20	75	
00002	2041	3248	224	71	
06240E	2039	3343	272	75	
DATE	133	3491	68	170	
S	3754	3371	70	19	
DATE	603	3518	74	173	
10	1589	3524	65	71	
min	1702	3525	140	71	
:	1874	3525	20	71	
00003E	2035	3528	280	68	
25140E	2047	3623	272	72	
3	1590	3806	23	79	
min	1655	3806	135	79	
:	1830	3806	23	79	
00001E	2048	3804	264	81	
03120E	2044	3900	272	76	
P37	3661	4374	83	139	
BLOCK	3663	4180	84	231	
DATA	3666	3894	84	173	
