content	x	y	w	h	
T	177	140	32	111	
&	245	140	32	111	
D	333	140	32	111	
CONTINUED	139	272	754	111	
59:30	575	592	236	78	
59:50	585	690	228	80	
59:58	574	792	247	77	
00:00	589	890	231	77	
00:03	584	992	250	79	
SEP	1719	488	136	73	
GET	1915	485	148	73	
START	986	584	236	81	
DET	1283	581	131	82	
✓	1472	579	25	83	
CMC	985	688	136	86	
/	1139	687	25	87	
AUTO	1190	687	174	86	
8	1634	652	33	111	
MAGS	1684	651	335	108	
-	2117	643	35	114	
AT	2262	641	90	113	
Verz	2446	638	334	109	
+	996	790	23	77	
X	1043	789	23	77	
THRUST	1149	789	266	75	
CSM	987	890	130	88	
/	1140	887	27	91	
LV	1176	886	103	89	
SEP	1341	884	130	88	
STOP	995	986	175	97	
THRUST	1242	986	283	97	
~	1578	986	28	97	
0.5	1630	986	138	97	
fps	1840	986	124	97	
CHK	986	1096	136	72	
RCS	1182	1092	141	73	
FC	995	1188	73	79	
REAC	1136	1188	183	79	
-	1392	1188	23	79	
NORM	1480	1188	183	79	
00:15	599	2092	225	79	
SC	1009	1805	120	91	
CONT	1202	1803	263	88	
SCS	1706	1795	252	90	
02	991	1884	84	94	
TK	1141	1886	84	94	
3	1307	1888	26	93	
ISOL	1395	1889	182	94	
vlv	1639	1892	132	94	
tb	1841	1894	68	93	
-	1993	1895	26	93	
gray	2095	1897	178	95	
MAN	980	1980	156	109	
ATT	1190	1980	140	109	
(	1350	1980	32	109	
Pitch	1388	1980	242	109	
)	1647	1980	32	109	
-	1746	1980	32	109	
ACCEL	1843	1980	223	109	
CMD	2145	1980	139	109	
Pitch	992	2089	239	107	
up	1293	2085	81	109	
7.0	1471	2083	156	108	
°	1647	2082	33	109	
/	1702	2081	33	109	
sec	1744	2081	125	108	
For	1949	2078	156	108	
180	2213	2075	171	107	
When	976	2182	204	101	
Ditch	1236	2185	244	100	
error	1540	2187	230	101	
needle	1826	2190	290	101	
is	2194	2193	72	99	
positive	2330	2194	390	102	
,	2736	2198	28	99	
PRO	986	2292	146	83	
F	1207	2292	24	83	
50	1295	2292	77	83	
18	1458	2292	58	83	
SC	1747	2278	122	99	
COAT	1953	2282	290	101	
CMC	2393	2273	282	100	
PRO	991	2396	132	69	
06	1294	2394	74	79	
18	1446	2393	74	78	
BRAGS	1749	2356	347	111	
-	2169	2356	32	111	
RT2	2301	2356	266	111	
RATE	1834	2490	183	89	
CMD	2087	2495	130	88	
-	2281	2498	22	85	
F	1002	2592	26	89	
50	1095	2592	82	89	
18	1249	2592	82	89	
ENTR	1393	2592	180	89	
AT	1645	2592	82	89	
COMPLETION	1789	2592	478	89	
DAC	1003	3002	129	77	
-	1204	3002	22	77	
ON	1302	3002	69	77	
BMAG	1003	3094	183	101	
(	1262	3094	29	101	
3	1312	3094	29	101	
)	1354	3094	29	101	
-	1456	3094	29	101	
ATT	1542	3094	144	101	
1	1752	3094	29	101	
/	1802	3094	29	101	
RATE	1836	3094	195	101	
2	2098	3094	29	101	
CAPTURE	603	3306	337	77	
CMC	1002	3404	135	86	
/	1156	3403	25	87	
FREE	1204	3403	177	86	
PROBE	1006	3496	235	103	
RETR	1306	3496	184	103	
-	1557	3496	30	103	
PRIM	1649	3496	167	103	
1	1901	3496	30	103	
(	2005	3496	30	103	
PRIM	2046	3496	163	103	
2	2296	3496	30	103	
Alternate	2383	3496	435	103	
)	2842	3496	30	103	
SECS	1005	3600	176	87	
PYRO	1250	3600	182	87	
ARM	1497	3600	124	87	
-	1699	3600	25	87	
SAFE	1797	3600	179	87	
SECS	994	3696	194	107	
LOGIC	1259	3696	229	107	
(	1564	3696	31	107	
2	1606	3696	31	107	
)	1650	3696	31	107	
-	1758	3696	31	107	
OFF	1838	3696	150	107	
EDS	993	3808	146	80	
PWR	1196	3809	135	80	
-	1412	3810	23	79	
OFF	1503	3811	135	80	
If	2489	3806	91	83	
Dock	2631	3806	185	83	
PROBE	2886	3806	232	83	
cb	1011	3896	76	104	
EDS	1152	3898	131	104	
(	1367	3900	29	103	
3	1409	3901	29	103	
)	1461	3901	29	103	
-	1559	3921	23	88	
open	1650	3923	174	92	
remains	2483	3900	339	100	
gray	2890	3915	176	93	
DOCK	1000	4000	188	103	
PROBE	1255	4000	236	103	
EXTD	1555	4000	185	103	
/	1746	4000	30	103	
REL	1792	4000	130	103	
-	1994	4000	30	103	
OFF	2095	4000	133	103	
after	2475	4004	242	90	
capture	2790	4008	326	92	
:	3137	4013	24	87	
DOCK	1012	4104	173	97	
PROBE	1253	4104	236	97	
RETRACT	1546	4104	349	97	
(	1904	4104	28	97	
2	1954	4104	28	97	
)	2002	4104	28	97	
-	2100	4104	28	97	
OFF	2196	4104	138	97	
RETR	2483	4100	185	104	
-	2697	4101	30	103	
PRIM	2735	4101	181	104	
1	2989	4102	30	103	
(	3093	4102	30	103	
Sec	3128	4102	130	104	
1	3343	4103	30	103	
)	3383	4103	30	103	
cb	1011	4189	75	109	
DOCK	1163	4192	176	110	
PROBE	1411	4196	215	112	
(	1714	4202	29	108	
2	1758	4203	29	108	
)	1802	4203	29	108	
-	1898	4205	29	108	
open	1995	4207	171	111	
in	2493	4206	64	90	
that	2646	4209	180	92	
system	2886	4213	265	93	
TAPE	1004	4310	183	79	
RCDR	1255	4310	180	79	
PCM	1000	4416	131	84	
-	1211	4417	24	83	
LOW	1307	4417	129	84	
DAC	1000	4512	135	94	
/	1160	4511	27	95	
TV	1217	4511	69	95	
-	1362	4510	27	95	
off	1452	4510	146	94	
