content	x	y	w	h	
438	469	300	87	41	
9	940	485	7	24	
i	585	584	3	39	
Lucatelli	431	348	212	57	
,	650	346	18	59	
Vanvitelli	686	345	227	58	
,	926	343	18	59	
Studio	967	343	136	58	
,	1130	341	18	59	
Enrico	1163	341	142	58	
Spa	1325	340	99	58	
gnolo	434	404	114	57	
,	573	402	18	59	
Stendard	620	401	188	57	
,	831	399	18	59	
e	879	398	18	59	
Salvator	932	397	188	57	
Rosa	1149	394	101	58	
.	1269	393	18	59	
In	484	459	41	56	
quella	562	458	132	55	
da	733	457	51	56	
letto	809	457	96	55	
è	1001	454	12	45	
la	1045	454	39	44	
Maddalena	1106	453	257	44	
di	1399	451	39	45	
Guido	421	513	133	43	
il	643	508	31	55	
Martirio	695	508	186	54	
di	919	506	51	55	
s	996	506	15	55	
.	1019	506	15	55	
Pietro	1059	506	133	54	
,	1225	505	15	55	
di	1283	504	51	55	
Ti	1367	504	58	55	
ziano	425	564	119	43	
una	628	565	85	58	
Sagra	744	564	116	58	
Famiglia	892	562	194	58	
,	1111	560	18	59	
di	1176	560	44	58	
Pompeo	1258	559	172	57	
Battoni	429	616	174	58	
,	606	615	17	59	
due	651	615	84	59	
Madonne	757	614	218	59	
,	990	613	17	59	
del	1037	613	67	59	
Sassoferraio	1133	613	263	58	
;	1422	611	17	59	
una	428	674	91	62	
Sagra	542	673	125	62	
Famiglia	704	671	185	62	
,	918	669	19	63	
di	960	669	48	62	
Andrea	1029	668	159	62	
del	1210	666	65	63	
Sarto	1295	665	108	63	
,	1417	664	19	63	
ed	433	727	42	58	
alcuni	509	726	145	58	
quadretti	680	725	206	57	
del	909	724	74	58	
Masucci	996	723	199	57	
,	1219	722	16	58	
di	1276	722	43	57	
Ciro	1353	721	78	58	
Ferri	429	783	120	52	
,	558	781	16	53	
ed	604	780	48	53	
altri	686	779	101	51	
,	795	777	16	53	
Nell	483	833	97	53	
'	577	833	15	53	
altra	606	833	106	53	
camera	737	833	161	53	
accanto	919	833	163	53	
;	1106	833	15	53	
vi	1153	833	39	53	
sono	1213	833	103	53	
mol	1329	833	100	53	
ti	429	890	44	59	
quadretti	493	889	218	57	
,	718	887	18	59	
di	765	887	44	58	
Gaspare	832	886	187	57	
Pussino	1045	884	169	57	
,	1228	882	18	59	
del	1275	882	68	58	
Lu	1351	881	81	59	
catelli	434	942	142	60	
,	592	941	17	61	
Vanvitelli	639	941	229	59	
,	878	939	17	61	
di	924	939	47	61	
