content	x	y	w	h	
PARTING	1941	596	292	68	
HAND	2268	594	199	68	
.	2476	592	20	69	
L	2560	592	20	69	
.	2602	591	20	69	
M	2651	592	20	69	
.	2700	591	20	69	
“	1193	683	11	40	
But	1223	683	52	40	
as	1286	683	36	40	
touching	1328	683	144	40	
brotherly	1481	684	151	40	
love	1649	683	61	41	
ye	1723	684	38	40	
need	1767	683	74	41	
not	1853	684	58	39	
that	1918	683	66	41	
I	2001	684	11	40	
write	2022	683	85	41	
unto	2114	684	71	40	
you	2200	684	51	40	
:	2268	685	11	40	
for	2291	684	46	40	
ye	2352	684	36	40	
yourselves	2402	684	169	40	
are	2580	684	52	41	
taught	2646	685	107	40	
of	2762	685	36	39	
God	2804	684	62	41	
to	2888	685	21	40	
love	2929	684	66	41	
one	3009	685	58	39	
another	3072	685	130	40	
.	3202	685	11	40	
”	3215	685	11	40	
—	3239	685	11	40	
1	3268	685	11	40	
Thess	3293	684	102	41	
.	3399	685	11	40	
4	3420	685	11	40	
:	3444	685	11	40	
9	3473	685	11	40	
.	3485	685	11	40	
ey	923	730	34	46	
of	984	730	34	46	
G	1042	731	13	46	
Major	1090	731	111	47	
.	1201	732	13	46	
JEREMIAH	3307	735	194	44	
INGALLS	3532	737	167	44	
,	3700	738	12	43	
1803	3735	738	77	44	
.	3814	739	12	43	
Yet	3797	975	67	45	
1	951	975	19	63	
.	971	975	19	63	
1	954	1006	13	46	
.	968	1006	13	46	
S	1018	963	13	46	
My	1044	963	58	45	
Christian	1121	963	164	46	
friends	1305	963	121	47	
,	1431	964	13	46	
in	1456	964	25	46	
bonds	1505	964	107	47	
of	1628	965	33	46	
love	1677	964	70	47	
,	1751	965	13	46	
Whose	1773	965	133	46	
hearts	1915	965	116	47	
in	2055	966	16	46	
sweetest	2098	966	154	46	
union	2265	967	97	46	
join	2386	968	52	46	
,	2451	967	13	46	
2	2508	968	13	46	
.	2526	968	13	46	
Your	2561	968	89	46	
company	2662	968	162	47	
'	2832	968	13	46	
s	2846	969	13	46	
sweet	2878	969	102	47	
,	2987	970	13	46	
your	3012	970	90	46	
union	3111	970	97	47	
dear	3233	970	78	47	
,	3311	971	13	46	
Your	1050	1006	84	46	
friendship	1147	1007	176	46	
'	1330	1006	13	46	
s	1349	1007	13	46	
like	1378	1007	68	46	
a	1461	1008	13	46	
drawing	1492	1007	151	47	
band	1656	1007	91	47	
,	1748	1008	13	46	
Yet	1783	1008	59	46	
we	1849	1008	59	46	
must	1913	1008	103	46	
take	2031	1008	77	47	
the	2125	1008	59	47	
parting	2197	1009	132	46	
hand	2340	1009	91	46	
.	2439	1009	13	46	
)	2477	1009	13	46	
Your	3174	1010	87	52	
words	3269	1011	116	52	
delightful	3406	1012	182	53	
to	3599	1014	29	51	
my	3643	1015	66	51	
ear	3722	1015	51	52	
-	1105	1136	9	29	
-	1120	1136	9	29	
-	1168	1134	9	29	
-	1222	1131	9	29	
Ş	1011	1441	13	46	
How	1040	1441	71	46	
sweet	1137	1441	105	46	
the	1257	1442	52	46	
hours	1317	1442	101	46	
have	1434	1442	92	47	
passed	1542	1443	113	47	
away	1671	1444	94	46	
Since	1786	1444	90	47	
we	1888	1445	59	47	
have	1951	1446	96	45	
met	2051	1446	79	46	
to	2144	1446	26	47	
sing	2197	1447	73	45	
and	2284	1447	59	46	
pray	2358	1447	79	47	
;	2440	1448	13	46	
4	2501	1449	13	46	
.	2520	1448	13	46	
O	2553	1448	13	46	
could	2595	1448	88	47	
I	2708	1449	13	46	
stay	2731	1450	72	45	
with	2814	1449	80	47	
friends	2914	1450	130	47	
so	3062	1450	25	47	
kind	3110	1451	79	46	
,	3197	1452	13	46	
But	3803	1464	68	43	
How	1038	1480	69	44	
loath	1139	1481	78	44	
we	1240	1482	57	44	
are	1307	1482	56	45	
to	1382	1483	24	44	
leave	1427	1483	91	45	
the	1534	1484	56	45	
place	1610	1485	86	44	
Where	1713	1486	123	45	
Jesus	1862	1487	99	45	
shows	1975	1488	119	45	
his	2104	1489	49	44	
smil	2177	1490	75	44	
-	2250	1490	12	44	
ing	2264	1491	57	44	
face	2339	1491	75	45	
.	2412	1492	12	44	
S	2466	1492	12	44	
How	3072	1493	75	53	
would	3175	1493	111	54	
it	3307	1495	20	53	
cheer	3348	1495	94	54	
my	3455	1496	59	53	
drooping	3537	1497	150	54	
mind	3702	1498	101	54	
!	3806	1499	15	53	
5	2143	1777	12	45	
And	2185	1778	70	45	
since	2276	1779	87	45	
it	2383	1780	25	45	
is	2424	1780	25	45	
God	2468	1780	77	46	
'	2553	1781	12	45	
s	2566	1781	12	45	
holy	2594	1781	75	46	
will	2695	1782	65	46	
,	2764	1783	12	45	
We	2180	1824	74	40	
must	2256	1824	99	41	
be	2366	1825	45	41	
parted	2426	1826	111	41	
for	2561	1827	46	40	
a	2625	1828	11	40	
while	2656	1828	100	41	
,	2761	1829	11	40	
In	2182	1864	30	42	
sweet	2238	1864	103	43	
submission	2358	1865	198	44	
,	2570	1867	11	42	
all	2599	1867	41	43	
as	2659	1868	31	42	
one	2709	1868	65	43	
,	2776	1869	11	42	
We	2179	1904	77	42	
'	2251	1904	11	42	
ll	2266	1905	15	42	
say	2302	1905	60	42	
,	2363	1905	11	42	
our	2397	1906	59	42	
Father	2470	1906	120	43	
'	2595	1907	11	42	
s	2613	1908	11	42	
will	2640	1908	73	42	
be	2726	1909	38	42	
done	2782	1909	87	43	
.	2871	1910	11	42	
9	3058	1789	13	47	
And	3101	1790	74	47	
now	3189	1791	67	47	
,	3269	1791	13	47	
my	3292	1792	59	47	
friends	3366	1792	123	48	
,	3495	1793	13	47	
both	3516	1793	79	48	
old	3618	1794	48	48	
and	3690	1795	61	47	
young	3777	1796	110	48	
,	3888	1797	13	47	
I	3101	1831	13	44	
hope	3123	1831	92	46	
in	3232	1833	25	45	
Christ	3283	1834	124	46	
you	3422	1837	63	45	
'	3492	1838	13	44	
ll	3507	1838	25	45	
still	3545	1839	68	45	
go	3631	1840	33	45	
on	3683	1841	41	45	
;	3740	1842	13	44	
And	3099	1874	75	44	
if	3189	1875	24	44	
on	3233	1875	32	44	
earth	3291	1876	86	44	
we	3398	1876	57	45	
meet	3464	1877	93	45	
no	3573	1878	40	44	
more	3626	1878	93	45	
,	3724	1879	12	44	
O	3102	1916	11	42	
may	3145	1916	79	43	
we	3241	1917	61	42	
meet	3310	1918	93	42	
on	3418	1919	39	42	
Canaan	3479	1919	139	43	
'	3631	1920	11	42	
s	3649	1921	11	42	
shore	3678	1921	95	43	
.	3778	1922	11	42	
when	801	1912	92	51	
I	921	1913	14	51	
see	942	1913	52	51	
that	1005	1914	70	51	
we	1085	1914	65	52	
must	1149	1915	92	52	
part	1257	1916	67	51	
You	1344	1917	58	51	
draw	1425	1917	73	52	
like	1525	1918	69	52	
chords	1609	1919	113	52	
around	1737	1920	120	52	
my	1865	1921	65	51	
heart	1937	1922	95	51	
.	2034	1923	14	51	
6	2137	1985	12	43	
My	2177	1986	64	43	
youthful	2258	1986	156	45	
friends	2433	1988	124	44	
,	2560	1989	12	43	
in	2587	1989	23	43	
Christian	2637	1990	169	44	
ties	2834	1992	62	43	
,	2899	1992	12	43	
Who	2176	2030	97	42	
seek	2290	2031	69	42	
for	2390	2032	48	42	
mansions	2450	2032	179	44	
in	2648	2034	22	42	
the	2694	2034	60	43	
skies	2771	2035	86	43	
,	2867	2036	11	42	
Fight	2183	2069	101	46	
on	2294	2070	41	45	
,	2343	2070	12	45	
we	2368	2070	58	46	
'	2425	2071	12	45	
ll	2442	2071	16	45	
gain	2480	2071	61	46	
that	2573	2072	72	46	
happy	2662	2073	110	46	
shore	2792	2074	97	46	
,	2895	2075	12	45	
Where	2175	2113	128	42	
parting	2322	2114	127	42	
will	2466	2115	71	42	
be	2553	2116	38	41	
known	2605	2117	128	41	
no	2754	2118	38	41	
more	2808	2118	92	42	
.	2904	2119	11	41	
10	3044	1997	23	42	
I	3104	1998	11	42	
hope	3125	1998	88	43	
you	3230	1999	60	42	
'	3297	2000	11	42	
ll	3315	2000	23	42	
all	3357	2000	41	42	
remember	3413	2001	181	43	
me	3608	2002	61	43	
If	3095	2040	31	42	
on	3137	2040	38	42	
earth	3197	2041	88	42	
no	3307	2042	46	42	
more	3364	2042	99	43	
I	3484	2043	11	42	
see	3513	2043	54	43	
;	3574	2044	11	42	
An	3093	2082	55	42	
interest	3165	2082	143	44	
in	3320	2084	23	42	
your	3373	2084	82	43	
prayers	3472	2085	137	43	
I	3629	2086	11	42	
crave	3654	2087	97	42	
,	3754	2088	11	42	
That	3104	2124	86	42	
we	3198	2125	61	42	
meet	3260	2125	96	43	
beyond	3368	2126	138	43	
the	3524	2128	60	42	
grave	3598	2128	105	43	
.	3705	2129	11	42	
7	2138	2190	14	50	
How	2179	2191	71	50	
oft	2279	2192	51	50	
I	2348	2192	14	50	
'	2358	2192	14	50	
ve	2369	2192	47	51	
seen	2432	2193	73	51	
your	2529	2194	84	50	
flowing	2629	2195	133	51	
tears	2780	2196	86	51	
,	2873	2197	14	50	
And	2180	2235	70	45	
heard	2267	2236	101	45	
you	2389	2237	57	45	
tell	2468	2237	57	46	
your	2546	2238	81	46	
hopes	2640	2239	105	46	
and	2767	2240	65	45	
fears	2845	2241	89	45	
!	2948	2242	12	45	
Your	2182	2275	91	41	
hearts	2278	2277	118	42	
with	2408	2279	82	40	
love	2513	2281	78	40	
were	2605	2282	86	41	
seen	2714	2283	67	42	
to	2810	2285	22	40	
flame	2859	2286	102	41	
,	2957	2288	12	40	
Which	2179	2317	110	42	
makes	2310	2319	125	42	
me	2449	2321	67	42	
hope	2524	2323	91	40	
we	2624	2325	58	40	
'	2680	2325	12	40	
ll	2699	2325	15	40	
meet	2724	2326	96	41	
again	2831	2328	94	41	
.	2938	2329	12	40	
II	3034	2205	40	43	
O	3103	2206	12	43	
glorious	3151	2206	145	44	
day	3311	2208	62	43	
!	3389	2208	12	43	
O	3428	2209	12	43	
blessed	3474	2209	130	44	
hope	3622	2210	90	44	
!	3723	2211	12	43	
My	3090	2248	70	42	
soul	3176	2249	76	42	
leaps	3264	2249	91	43	
forward	3375	2250	137	43	
at	3537	2252	31	42	
the	3586	2252	60	42	
thought	3658	2253	149	43	
When	3094	2289	108	44	
,	3213	2290	12	43	
on	3237	2290	40	43	
that	3302	2291	76	43	
happy	3389	2291	114	44	
,	3508	2292	12	43	
happy	3534	2293	114	43	
land	3667	2294	78	43	
,	3750	2295	12	43	
We	3094	2329	76	46	
'	3165	2329	13	46	
ll	3182	2330	17	46	
no	3213	2330	50	46	
more	3270	2330	97	47	
take	3387	2331	76	47	
the	3486	2332	52	47	
parting	3552	2333	132	47	
hand	3701	2334	91	47	
.	3800	2335	13	46	
duty	799	2349	77	46	
makes	898	2351	121	47	
me	1030	2352	60	46	
understand	1100	2353	203	48	
That	1325	2356	84	47	
we	1420	2357	60	46	
must	1486	2358	97	47	
take	1597	2360	78	46	
the	1696	2361	53	47	
parting	1763	2362	133	47	
hand	1906	2364	92	47	
.	2005	2365	14	46	
8	2135	2398	12	41	
Ye	2181	2400	47	41	
mourning	2236	2400	181	45	
souls	2436	2404	88	43	
,	2530	2406	12	41	
lift	2561	2407	47	41	
up	2622	2409	47	41	
your	2687	2409	87	43	
eyes	2783	2411	79	43	
To	2187	2441	40	44	
glorious	2247	2441	144	45	
mansions	2397	2443	181	45	
in	2599	2444	24	45	
the	2649	2445	57	44	
skies	2725	2446	85	44	
;	2824	2446	12	44	
O	2182	2484	11	42	
trust	2229	2484	86	43	
His	2330	2485	60	43	
grace	2411	2486	93	43	
-	2517	2487	11	42	
in	2552	2487	23	42	
Canaan	2600	2487	142	44	
'	2754	2489	11	42	
s	2767	2489	11	42	
land	2797	2489	76	43	
We	2172	2525	79	48	
'	2241	2525	13	48	
ll	2257	2526	27	48	
no	2292	2526	45	48	
more	2347	2526	93	49	
take	2463	2527	81	49	
the	2563	2528	54	48	
parting	2632	2529	132	49	
hand	2777	2530	96	49	
.	2873	2531	13	48	
12	3036	2409	35	47	
But	3094	2410	67	47	
with	3176	2411	74	47	
our	3280	2411	61	48	
blessed	3357	2412	126	48	
holy	3504	2413	79	48	
Lord	3603	2414	86	48	
We	3092	2456	77	42	
'	3164	2456	11	42	
ll	3177	2457	23	42	
shout	3220	2457	100	43	
and	3333	2458	66	42	
sing	3421	2459	73	42	
with	3510	2459	79	43	
one	3613	2460	66	43	
accord	3690	2461	116	43	
,	3813	2462	11	42	
And	3093	2498	75	40	
there	3191	2499	91	40	
we	3292	2500	59	40	
'	3354	2500	11	40	
ll	3367	2500	21	40	
all	3406	2501	40	40	
with	3456	2501	76	41	
Jesus	3568	2502	100	41	
dwell	3682	2503	96	41	
,	3780	2504	11	40	
So	3096	2537	45	48	
,	3143	2537	13	48	
loving	3169	2537	114	49	
Christians	3305	2539	204	49	
,	3506	2540	13	48	
fare	3537	2541	66	48	
you	3621	2541	62	49	
well	3700	2542	84	49	
.	3781	2543	13	48	
Jeremiah	873	2598	150	50	
Ingalls	1047	2601	116	48	
was	1179	2602	74	49	
a	1272	2604	14	47	
native	1303	2604	116	48	
of	1433	2605	36	48	
the	1488	2607	55	47	
State	1567	2608	94	47	
of	1673	2608	36	48	
Massachusetts	1724	2610	278	50	
;	2006	2613	14	47	
born	2042	2614	80	47	
in	2142	2615	26	47	
1764	2199	2615	74	48	
and	2293	2617	62	47	
died	2380	2618	69	47	
in	2472	2618	27	48	
1828	2524	2620	71	47	
.	2602	2621	14	47	
In	2664	2621	27	47	
1804	2723	2622	73	48	
he	2810	2623	44	48	
published	2867	2624	177	49	
a	3067	2627	14	47	
book	3098	2627	87	47	
called	3205	2628	103	49	
“	3326	2630	14	47	
Christian	3363	2630	175	50	
Harmony	3560	2633	179	48	
.	3739	2634	14	47	
”	3754	2635	14	47	
The	3833	2636	67	48	
above	785	2642	105	41	
tune	906	2644	80	40	
,	985	2644	12	40	
“	1014	2645	12	40	
Parting	1046	2645	137	42	
Hand	1204	2647	97	42	
,	1305	2649	12	40	
”	1321	2649	12	40	
was	1355	2650	76	40	
composed	1447	2650	172	43	
in	1642	2653	23	41	
1803	1698	2655	75	40	
.	1772	2655	12	40	
He	1827	2656	60	41	
was	1893	2657	75	41	
a	1986	2658	12	40	
music	2009	2658	112	42	
teacher	2145	2661	128	42	
,	2277	2663	12	40	
and	2308	2663	64	40	
traveled	2386	2664	148	42	
through	2559	2666	139	42	
the	2733	2669	58	40	
States	2808	2669	111	42	
of	2936	2671	30	41	
New	2987	2672	76	41	
Hampshire	3090	2674	204	42	
,	3302	2677	12	40	
Vermont	3330	2677	165	42	
,	3494	2679	12	40	
and	3520	2680	64	40	
Massachusetts	3604	2681	277	44	
.	3884	2685	12	40	
Among	787	2681	128	42	
some	943	2683	91	41	
of	1054	2685	30	40	
