content	x	y	w	h	
IALA	214	3265	23	132	
.	205	3129	30	10	
EVA	254	3337	39	88	
-	249	3229	42	14	
2	248	3195	42	14	
TWO	245	3131	40	95	
MAN	240	3002	39	107	
WALKING	307	3384	51	236	
TRAVERSE	300	3090	50	269	
EVA	200	2420	47	93	
-	200	2312	47	13	
T	200	2269	47	13	
TWO	201	2207	47	88	
MAN	201	2074	47	94	
WALKING	264	2458	58	235	
TRAVERSE	265	2163	58	261	
ONE	185	1586	57	104	
-	185	1470	57	16	
MAN	185	1451	57	98	
EVA	185	1302	57	98	
1	185	1152	57	16	
(	252	1535	69	21	
MIN	252	1521	68	100	
TIME	250	1371	68	137	
)	249	1227	69	21	
ONE	173	670	62	100	
MAN	177	534	61	100	
EVA	248	661	59	87	
PREP	250	523	60	120	
0	446	1870	61	17	
+	446	1832	61	17	
50	446	1809	61	69	
Survey	555	1698	65	210	
ALSEP	550	1444	67	166	
site	546	1230	66	138	
Place	689	1697	66	177	
ALSD	690	1483	65	132	
&	690	1301	65	18	
HTC	691	1233	65	93	
on	691	1094	65	60	
surface	691	982	66	238	
Orient	759	1692	59	208	
ALSD	761	1443	58	125	
to	762	1266	58	54	
face	762	1151	59	124	
sun	763	982	59	90	
Place	623	3075	69	178	
pkgs	623	2865	68	139	
on	622	2681	69	51	
surface	622	2569	68	239	
with	621	2301	69	133	
expts	697	2997	70	164	
pkg	695	2791	71	102	
in	694	2634	71	41	
final	693	2539	70	167	
position	692	2327	69	272	
Disconnect	799	3075	69	356	
pwr	799	2678	69	99	
pkg	800	2540	69	97	
from	800	2391	69	114	
bar	800	2226	69	99	
Reposition	906	3072	68	336	
pwr	902	2681	71	103	
pkg	901	2537	70	103	
10	900	2393	70	53	
'	899	2319	71	21	
East	898	2259	70	138	
Remove	999	3080	80	217	
HFE	1000	2832	79	113	
stowage	1001	2676	79	234	
pip	1002	2400	79	102	
pins	1002	2256	80	137	
(	1003	2067	79	23	
2	1003	2043	79	23	
)	1003	2003	79	23	
Tip	1116	3075	73	98	
pwr	1113	2934	73	108	
pkg	1110	2793	73	108	
down	1108	2646	72	128	
Release	1182	3083	72	255	
RTG	1181	2790	73	94	
cable	1181	2639	73	157	
B.	1181	2436	72	69	
bolts	1180	2332	73	168	
(	1180	2105	73	21	
3	1180	2075	73	21	
)	1180	2042	73	21	
Deploy	1255	3075	68	208	
RTG	1252	2829	70	91	
cable	1251	2684	69	172	
&	1249	2467	70	21	
discard	1249	2403	68	249	
cable	1327	3005	59	173	
reel	1327	2789	60	137	
Release	1176	1694	75	243	
HFE	1176	1412	75	107	
pallet	1176	1265	75	200	
B.	1176	1017	75	69	
bolts	1176	918	74	172	
(	1175	685	75	21	
2	1175	655	75	21	
)	1175	625	75	21	
Lift	1248	1696	71	139	
HFE	1249	1515	71	100	
pallet	1250	1373	71	205	
from	1252	1116	70	117	
pwr	1253	944	70	100	
pkg	1253	805	71	100	
Carry	1323	1694	72	172	
HFE	1321	1475	72	95	
pallet	1320	1335	71	207	
15'N	1317	1083	73	119	
C	1316	904	73	22	
/	1316	875	73	22	
S	1315	837	73	22	
Unstow	1503	1692	57	200	
HFE	1503	1445	57	98	
connector	1503	1296	58	303	
Report	1502	3081	79	217	
shorting	1502	2821	79	277	
switch	1502	2498	79	191	
amps	1502	2250	79	130	
Connect	1605	3073	68	247	
RTG	1606	2788	67	87	
cable	1606	2645	68	173	
to	1607	2425	67	49	
C	1607	2321	67	19	
/	1607	2287	67	19	
S	1607	2253	67	19	
Place	1608	1698	66	183	
HFE	1607	1487	67	105	
pallet	1607	1335	66	204	
on	1606	1090	67	61	
surface	1605	972	67	239	
Connect	1676	1687	63	236	
HFE	1677	1406	63	99	
cable	1677	1259	63	170	
to	1677	1047	63	58	
C	1677	941	63	18	
/	1677	903	63	18	
S	1677	865	63	18	
Carry	1859	1695	67	179	
HFE	1857	1478	68	99	
pallet	1855	1338	67	211	
30	1852	1076	69	52	
'	1852	1005	69	21	
N	1851	942	69	21	
of	1928	1624	71	78	
C	1927	1509	71	20	
/	1927	1473	71	20	
S	1927	1437	71	20	
,	1927	1401	71	20	
deploying	1926	1334	70	310	
cable	1924	981	70	173	
Release	1747	3083	74	254	
subpallet	1746	2777	74	304	
B.	1745	2435	75	69	
bolts	1745	2336	74	172	
(	1744	2103	75	21	
2	1744	2073	75	21	
)	1744	2039	75	21	
Lift	1859	3082	70	148	
subpallet	1857	2889	69	308	
from	1855	2529	70	112	
PWR	1854	2363	70	102	
PKG	1852	2219	71	92	
&	1928	3003	83	25	
place	1927	2930	81	176	
10	1924	2708	83	47	
'	1924	2642	83	25	
N.	1923	2579	82	77	
of	1921	2468	83	63	
PWR	1920	2354	82	95	
PKG	1918	2213	83	86	
Release	2034	3084	69	256	
SIDE	2032	2785	70	129	
B.	2031	2613	71	65	
Bolts	2030	2502	70	160	
(	2029	2284	71	20	
4	2028	2256	71	20	
)	2028	2220	71	20	
&	2106	2995	58	16	
CCIG	2106	2929	58	122	
cover	2106	2755	58	171	
bolt	2106	2541	58	140	
Lift	2171	3077	72	139	
SIDE	2172	2895	72	128	
from	2173	2712	71	117	
subpallet	2174	2532	72	307	
Remove	2282	3074	73	209	
B.	2282	2819	73	53	
Bolt	2282	2718	73	141	
blocking	2282	2540	73	284	
cable	2282	2222	73	168	
reel	2356	3007	55	145	
Place	2174	1687	69	167	
HFE	2174	1477	69	97	
pallet	2174	1328	69	200	
on	2174	1085	69	63	
surface	2174	971	69	235	
&	2174	689	69	20	
fold	2246	1613	71	127	
mounting	2246	1452	70	290	
braces	2245	1119	71	209	
1	2282	1857	54	14	
+00	2283	1822	55	84	
Tip	2317	1688	72	95	
pallet	2315	1548	71	210	
down	2313	1293	71	134	
16-6	2417	1855	55	126	
DATE	2526	2616	59	135	
7/13/71	2513	2357	64	252	
