content	x	y	w	h	
el	-8	244	36	35	
T	-2	297	14	47	
:	2	297	14	47	
ven	5	421	28	32	
Ooh	-7	536	53	31	
rel	-10	591	62	30	
edia	-5	637	38	45	
el	21	754	19	40	
me	-9	864	24	44	
in	21	863	19	45	
fr	3	921	30	39	
.	37	921	3	39	
una	0	989	32	32	
Jom	0	1034	41	39	
DEGLI	300	182	185	62	
ANTICHI	522	186	254	64	
ROMANI	810	192	229	63	
:	1060	197	10	59	
173	1133	198	68	60	
tuto	160	243	91	49	
vicino	271	244	136	50	
al	428	246	33	49	
Tevere	483	247	152	50	
e	658	249	19	48	
Mezio	695	250	137	49	
,	850	252	10	48	
che	893	252	71	49	
avea	987	254	98	49	
indotti	1110	255	148	50	
li	160	294	24	61	
Fedenati	208	295	188	64	
alla	408	298	84	62	
guerra	514	300	144	63	
,	675	303	10	61	
nel	711	304	70	61	
tempo	786	305	137	63	
della	948	308	98	62	
battaglia	1066	310	197	64	
a	157	358	18	63	
poco	199	358	106	63	
a	318	358	21	63	
poco	360	358	101	64	
laſciò	472	359	123	63	
con	608	359	85	64	
le	714	360	33	63	
ſue	768	360	59	63	
Truppe	848	360	162	64	
l'Eſercito	1039	361	221	64	
Romano	164	410	186	61	
ſpogliato	373	412	191	62	
di	593	414	36	61	
ajuto	647	415	112	61	
al	781	416	32	60	
lato	833	417	81	60	
degl	935	418	113	61	
'	1033	419	16	60	
inimici	1071	419	153	62	
.	1248	421	9	60	
Effendo	156	464	170	59	
ftato	351	467	90	58	
riportato	465	469	202	60	
queſto	690	473	140	59	
fatto	852	476	102	58	
a	972	478	18	57	
Tullo	1012	479	116	58	
,	1145	481	10	57	
con	1180	482	76	58	
lieta	153	520	96	50	
fronte	266	521	131	51	
lo	411	524	39	49	
diffimula	471	525	183	51	
,	663	528	11	49	
facendo	691	528	169	52	
intendere	877	531	208	52	
a	1105	535	18	49	
tutto	1145	535	109	51	
l'Eſercito	158	576	208	56	
Romano	383	579	183	56	
,	573	582	9	54	
che	600	582	72	55	
ciò	688	583	63	55	
ſi	770	585	21	54	
era	813	585	63	55	
fatto	896	586	100	56	
con	1014	588	74	55	
ſuo	1106	590	64	54	
or	1195	591	60	56	
dine	158	629	92	55	
,	259	630	16	54	
accio	296	631	112	55	
Pinimici	425	633	190	57	
reſtaſſero	639	636	206	57	
nel	870	640	61	55	
mezzo	955	641	135	56	
,	1112	644	9	54	
e	1143	644	19	54	
che	1178	645	74	55	
nell'isteſſo	158	688	222	59	
tempo	400	691	138	59	
foſſero	560	693	144	59	
battuti	724	695	148	59	
,	892	698	10	57	
e	924	698	18	57	
nella	970	699	98	58	
fronte	1094	700	130	59	
,	1243	702	10	57	
e	152	746	23	58	
nelle	194	746	101	59	
ſpalle	316	747	113	60	
.	458	749	15	58	
Avendo	482	749	171	60	
perciò	671	751	140	60	
preſo	834	753	111	59	
animo	967	755	135	59	
li	1124	756	22	58	
Ro	1169	757	82	60	
mani	152	798	106	60	
,	277	800	10	59	
miſero	322	800	145	62	
in	490	803	36	59	
fuga	542	804	92	60	
gl’Inimici	653	806	213	62	
,	889	810	10	59	
che	916	810	72	60	
in	1012	812	34	59	
maggior	1066	813	188	61	
parte	150	858	117	63	
ſi	298	859	25	63	
affogarono	346	859	256	65	
nel	624	861	61	64	
Tevere	718	862	153	64	
.	886	863	11	63	
Nel	932	864	73	63	
giorno	1030	864	153	64	
fe	1207	866	46	64	
guente	142	916	152	60	
,	314	917	10	59	
eſſendo	356	917	155	61	
intimato	530	919	188	60	
il	738	921	22	59	
Conſiglio	778	921	208	61	
,	1010	923	8	59	
li	1032	923	48	60	
Albani	1102	924	144	60	
ftiedero	139	964	177	57	
tutti	332	967	98	56	
fen	454	969	60	56	
za	524	970	42	55	
armi	582	971	100	57	
vicino	704	973	136	57	
al	858	976	34	55	
Re	906	976	58	56	
,	969	978	10	55	
e	1000	978	18	55	
le	1042	979	34	55	
Legio	1100	980	144	58	
ni	146	1025	52	57	
Romane	205	1025	178	60	
colle	414	1028	103	58	
ſpade	551	1030	117	59	
naſcoſte	688	1032	179	59	
,	884	1035	11	57	
ſecondo	931	1035	173	59	
il	1136	1038	25	57	
co	1180	1039	48	57	
.	1234	1039	14	57	
mando	142	1080	151	60	
datogli	314	1081	155	60	
per	493	1082	66	60	
ordine	574	1083	150	60	
di	738	1084	35	59	
Tullo	798	1085	115	59	
Oftilio	944	1086	138	60	
.	1110	1087	11	59	
Me	1155	1087	94	61	
zio	144	1135	66	57	
poi	230	1135	69	58	
fu	315	1136	42	57	
lacerato	376	1137	180	58	
,	562	1138	10	57	
e	590	1138	19	57	
ſtraſcinato	630	1139	226	59	
,	868	1141	12	57	
la	900	1141	35	57	
Città	952	1142	115	57	
di	1086	1143	37	57	
Alba	1147	1143	103	58	
diſtrutta	141	1188	189	63	
,	349	1191	10	61	
li	378	1191	24	62	
Cittadini	424	1192	202	64	
portati	644	1196	154	63	
in	820	1198	34	62	
Roma	878	1199	130	63	
,	1023	1202	10	61	
ed	1057	1202	41	62	
anno	1125	1203	123	64	
verati	142	1246	139	60	
fra	296	1247	60	60	
li	372	1248	24	59	
Patrizj	420	1249	148	60	
,	576	1250	8	59	
cioè	605	1251	86	60	
li	710	1252	22	59	
Nobili	752	1252	136	61	
,	896	1254	8	59	
ed	926	1254	46	60	
il	992	1255	26	59	
reſto	1042	1256	106	60	
del	1169	1257	79	61	
la	141	1298	26	49	
Plebbe	192	1298	147	51	
fu	356	1300	39	50	
diſtribuita	418	1301	223	52	
nelle	662	1304	102	50	
Curie	786	1306	126	50	
.	933	1308	10	49	
Difcacciato	252	1358	256	61	
Tarquinio	529	1362	223	61	
da	770	1366	46	58	
Roma	834	1367	126	59	
l'anno	981	1369	153	60	
246	1156	1371	78	59	
.	1237	1373	9	58	
fece	133	1413	88	59	
queſto	240	1414	141	59	
ricorſo	400	1416	153	59	
a	575	1418	20	58	
Porſenna	614	1418	203	60	
Re	837	1421	53	58	
della	912	1422	101	59	
Toſcana	1037	1423	179	60	
,	1235	1426	12	58	
il	134	1466	28	61	
quale	196	1467	118	62	
avendo	346	1469	158	63	
congiunto	540	1472	226	64	
le	806	1475	34	62	
ſue	864	1476	64	62	
ſquadre	958	1478	173	63	
con	1162	1481	80	62	
quelle	130	1524	136	60	
di	288	1526	38	59	
Ottavio	346	1526	172	61	
Mamitio	542	1529	190	61	
Genero	750	1532	164	60	
di	934	1534	36	59	
Tarquinio	987	1535	233	61	
,	1238	1538	12	59	
ſe	135	1582	37	57	
ne	193	1582	47	58	
venne	260	1583	127	59	
a	411	1585	20	57	
Roma	451	1586	129	58	
con	617	1588	75	57	
grande	716	1589	151	58	
Eſercito	887	1591	176	59	
,	1081	1593	15	57	
e	1130	1594	19	57	
con	1172	1594	77	58	
impeto	143	1637	147	64	
grande	311	1637	160	65	
alla	480	1638	77	65	
prima	577	1639	127	64	
preſe	716	1639	140	65	
il	878	1640	23	64	
Monte	916	1640	143	65	
Gianni	1082	1641	148	65	
.	1236	1642	15	64	
colo	136	1692	95	60	
.	245	1693	7	59	
Effendo	289	1694	165	61	
poi	473	1696	68	60	
ſucceſſivamente	563	1698	350	64	
venuto	939	1703	164	61	
a	1122	1706	19	59	
bas	1161	1706	91	62	
taglia	134	1746	127	59	
con	296	1747	75	59	
li	410	1747	25	60	
Romani	457	1748	170	60	
,	646	1749	9	59	
ed	692	1749	49	60	
effendoſi	764	1750	188	60	
