content	x	y	w	h	
338	420	255	49	25	
Key	408	300	41	21	
of	458	301	18	21	
A	486	302	16	20	
major.	509	300	63	21	
SAWYERS	1077	252	195	27	
EXIT.	1298	253	104	27	
9.	1485	257	25	24	
8.	1541	258	27	24	
"Precious	843	301	103	17	
in	956	302	17	16	
the	984	300	30	18	
sight	1022	301	48	21	
of	1080	300	18	21	
the	1108	300	30	21	
Lord	1149	300	46	21	
is	1206	302	15	20	
the	1230	300	30	21	
death	1270	300	54	21	
of	1335	301	18	21	
his	1363	300	29	21	
saints."	1401	302	79	20	
116	1509	302	31	20	
Ps.	1551	303	30	19	
15.	1595	302	26	20	
e,	2063	309	14	13	
1859.	2089	304	39	18	
home,	458	1292	60	19	
To	529	1293	25	18	
welcome	576	1293	89	18	
the	675	1293	30	18	
travellers	717	1294	96	17	
home,	826	1293	61	20	
To	923	1295	25	18	
welcome	958	1296	90	18	
the	1058	1295	30	18	
travellers	1098	1296	97	18	
home,	1205	1296	62	19	
And	1290	1296	42	19	
sing	1341	1298	42	20	
hal-le-lu-jah	1395	1296	127	22	
the	1533	1297	30	21	
lou-der,	1584	1297	78	21	
To	1677	1297	25	21	
welcome	1736	1297	90	21	
the	1836	1296	30	21	
trav	1878	1299	39	19	
-	1926	1305	8	13	
el-ers	1947	1296	54	22	
home	2031	1293	49	24	
4.	491	1333	17	15	
And	534	1333	41	16	
there	585	1334	51	16	
are	645	1339	31	12	
out	687	1340	29	11	
friends	729	1335	69	16	
and	807	1335	36	16	
companions,	854	1336	127	20	
Escaped	558	1357	84	21	
from	651	1358	48	20	
the	711	1357	30	21	
evil	750	1358	36	20	
to	795	1361	17	17	
come,	822	1363	60	15	
And	534	1379	42	18	
crowding	585	1381	94	21	
the	687	1381	30	21	
gates	725	1384	52	18	
of	786	1382	18	21	
fair	813	1382	33	21	
Zion,	855	1382	51	21	
To	534	1404	26	16	
wait	570	1406	43	15	
our	621	1410	32	12	
arrival	663	1405	67	16	
at	740	1407	18	14	
home.	768	1405	61	16	
5.	1135	1335	17	18	
And	1177	1337	41	16	
there	1230	1336	51	17	
is	1290	1338	15	16	
the	1317	1337	30	17	
