content	x	y	w	h	
м	3659	296	6	29	
Q	865	310	8	32	
N	2920	298	8	33	
Р	1494	311	5	29	
к	5049	298	5	29	
H	7158	298	7	31	
o	2244	315	35	9	
G	7886	285	6	51	
F	8561	300	2	29	
E	9334	306	6	28	
D	10017	317	5	29	
с	10701	319	8	31	
B	11411	325	5	29	
VMP	8052	386	66	62	
LOGIC	8133	392	56	62	
PWR	8204	400	35	59	
B	8256	406	10	57	
4CB75	8275	406	62	62	
LTRI	11737	375	46	27	
PCN	11784	377	36	25	
DR	11855	377	22	27	
ENG	11953	381	35	21	
DATE	12103	383	50	21	
APPROVAL	12233	383	109	31	
2	11799	408	9	40	
Cele	11836	408	116	42	
Clante	11984	411	49	41	
C	12049	411	9	41	
-	12062	411	9	41	
25-11-27	12074	411	217	46	
COMMENTS	11743	455	112	22	
:	11860	455	5	22	
DESCENT	617	432	99	30	
ENGINE	728	432	80	30	
CONTROL	820	432	105	30	
LOGIC	936	432	62	30	
UZ	7842	424	37	55	
3	7886	424	14	55	
Q	1382	486	4	20	
10.24	7846	481	58	25	
EXPLOSIVE	8378	509	113	30	
DEVICES	8499	509	94	30	
HE	8433	552	28	25	
PRESS	8471	554	69	25	
EXPLOSIVE	9751	526	112	26	
DEVICES	9878	526	85	26	
DES	9789	563	42	26	
PRPLNT	9837	563	86	26	
EXPLOSIVE	11018	538	112	23	
DEVICES	11143	538	89	25	
DES	8419	609	39	23	
START	8469	609	68	23	
ISOL	9803	615	46	26	
VLV	9861	617	38	25	
1	11016	638	4	21	
DES	11079	626	40	24	
VENT	11129	626	55	24	
FIRE	8383	661	42	32	
6	8438	665	4	27	
FIRE	9767	681	47	22	
6	9828	677	7	24	
5	8509	696	5	23	
FIRE	11041	688	45	25	
6	11103	688	6	25	
5	9892	708	3	17	
ТО	7127	717	22	24	
DX	7242	699	55	61	
HAS2	7317	699	151	61	
I	8359	713	7	28	
SAFE	8384	713	49	28	
SC	356	756	19	19	
PYRO	7615	728	55	26	
SYS	7617	754	39	21	
B	7669	754	4	21	
K9	7613	781	27	17	
PYRO	9275	725	56	27	
SYS	9276	747	37	26	
B	9328	747	7	26	
K14	9278	777	43	19	
I	9746	750	6	25	
SAFE	9765	748	53	24	
4	8415	763	4	18	
1.3	7066	771	36	25	
+0.5	7112	771	55	25	
SEC	7181	771	36	25	
PYRO	10547	740	57	19	
SYS	10553	763	37	23	
B	10601	763	4	23	
K15	10547	788	41	23	
4	9830	779	4	19	
-	11143	792	15	3	
PYRO	11830	750	52	23	
SYS	11832	773	39	25	
B	11882	771	6	27	
K13	11827	797	42	24	
-	11230	796	17	4	
|	11018	776	7	26	
SAFE	11039	776	51	26	
4	11090	817	4	19	
-	8475	794	14	2	
PL	11789	750	20	89	
-	11128	823	15	2	
-	8459	827	16	2	
I	11136	834	2	20	
1	11238	840	3	21	
-	9755	867	17	4	
