content	x	y	w	h	
2-39	1373	242	126	53	
When	593	354	129	71	
VG	777	358	50	69	
=	877	359	19	69	
200	945	361	88	71	
fps	1085	363	88	71	
:	1192	365	19	69	
SYS	768	426	98	77	
A	912	426	22	77	
&	942	426	22	77	
B	974	426	22	77	
MAIN	1042	426	128	77	
SOV	1215	426	99	77	
(	1356	426	22	77	
2	1388	426	22	77	
)	1418	426	22	77	
-	1488	426	22	77	
OPEN	1548	426	128	77	
SYS	766	492	94	73	
A	911	493	21	73	
&	941	493	21	73	
B	977	493	21	73	
ASC	1040	493	94	74	
FEED	1183	494	121	73	
2	1355	495	21	73	
(	1392	495	21	73	
2	1421	495	21	73	
)	1459	495	21	73	
-	1525	495	21	73	
CLOSE	1591	496	157	73	
DOCKED	2463	884	57	191	
DEACTIVATION	2460	646	55	400	
(	2521	739	72	20	
UNSTAGED	2521	721	72	267	
)	2521	439	72	20	
When	588	630	135	60	
VG	773	632	43	59	
=	876	633	17	59	
0	942	633	17	59	
:	984	633	17	59	
ENG	765	696	94	65	
STOP	905	696	124	65	
-	1080	696	18	65	
PUSH	1141	696	126	65	
ATT	768	832	94	73	
CONT	915	833	120	73	
:	1046	833	21	73	
(	1120	833	21	73	
3	1150	834	21	73	
)	1179	834	21	73	
-	1253	834	21	73	
PULSE	1319	834	160	74	
Damp	764	974	136	73	
Excessive	935	974	301	73	
Rates	1274	974	170	73	
Via	1482	974	94	73	
LM	1614	974	69	73	
Y	1731	974	21	73	
,	1767	974	21	73	
Z	1827	974	21	73	
Translation	1899	974	357	73	
CSM	759	1108	97	61	
Resume	898	1108	203	61	
Attitude	1140	1108	269	61	
Control	1450	1108	234	61	
ENG	763	1244	90	63	
ARM	903	1244	90	63	
-	1042	1244	18	63	
OFF	1109	1244	90	63	
MASTER	755	1315	207	60	
ARM	999	1315	94	60	
-	1147	1315	17	60	
OFF	1210	1315	94	60	
ENG	768	1378	88	69	
STOP	908	1378	124	69	
-	1077	1378	20	69	
RESET	1146	1378	158	69	
PRO	761	1521	94	57	
Copy	758	1660	131	65	
Residuals	935	1657	301	62	
:	1246	1651	20	67	
470	1917	1662	94	56	
VGX	1726	1664	92	54	
VGY	1719	1730	101	54	
VGZ	1718	1800	94	51	
DOCKED	2479	2045	67	194	
DEACTIVATION	2484	1806	71	396	
PRO	759	1931	93	58	
3	2482	2172	56	16	
.	2482	2138	56	16	
4/5/71	265	2340	59	209	
DATE	271	2588	60	133	
EQUIPMENT	2457	3272	68	307	
CYCLING	2456	2934	68	226	
PLAN	2523	3272	73	129	
(	2524	3095	72	20	
NO	2524	3070	73	66	
COOLING	2525	2966	73	232	
)	2526	2722	72	20	
