content	x	y	w	h	
BASILIQUE	580	4170	60	364	
DE	585	3741	57	79	
SAINT	587	3598	59	197	
-	590	3382	56	8	
PIERRE	590	3358	60	248	
VATICAN	639	5418	45	212	
ETAT	683	2131	41	106	
ACTUEL	685	1998	42	172	
PL	715	3688	40	57	
.	717	3615	39	1	
8	717	3593	39	21	
o	1666	3619	62	45	
ति	1838	3667	61	36	
TELES	2261	4273	321	703	
MES	2641	4404	13	37	
SMAGNO	3199	3967	57	119	
SETDVESZTBOZKEIST	3200	3844	65	429	
||	3208	3414	56	19	
logo	3315	4581	488	85	
LORO	3629	3085	137	16	
HOT	3827	4198	13	47	
MMODO	3834	3738	17	106	
30	4008	3354	21	14	
Mei	4009	3324	24	29	
Huguet	4024	2099	42	97	
Jesc	4024	1990	42	72	
Echelle	4045	3848	30	80	
de	4047	3753	28	24	
0,002	4048	3713	30	48	
milli	4050	3657	28	41	
p	4051	3608	28	6	
mérre	4051	3597	29	72	
Coupe	4121	4593	55	104	
transversale	4124	4466	57	227	
de	4128	4220	55	35	
la	4129	4166	54	31	
Basilique	4131	4112	56	168	
de	4135	3922	53	32	
Saint	4136	3865	55	94	
-	4138	3766	53	10	
Pierre	4138	3749	56	119	
sur	4140	3608	55	59	
les	4143	3528	54	50	
petits	4145	3456	54	100	
axes	4146	3331	56	78	
IJ	4149	3224	53	37	
-	4150	3186	54	11	
KL	4150	3176	54	59	
du	4152	3101	53	40	
Plan	4153	3048	55	75	
général	4154	2948	56	140	
,	4157	2803	54	13	
Pl	4159	2791	53	40	
.	4159	2749	53	13	
1	4159	2735	53	6	
.	4160	2718	53	2	
VSA	4363	5452	24	51	
MOREL.etc	4364	5388	27	145	
Editeurs	4367	5214	26	91	
Imp	4416	2280	29	39	
.	4416	2234	29	1	
Lamoureux	4416	2225	29	132	
Paris	4416	2076	29	64	
108	4421	1973	21	38	
