content	x	y	w	h	
No	808	448	84	76	
.	886	448	22	76	
25	931	448	55	76	
.	986	448	22	76	
He	1117	448	83	76	
'	1194	448	22	76	
s	1209	448	22	76	
the	1272	448	76	76	
Lord	1387	448	128	76	
of	1565	448	42	76	
Lords	1640	448	170	76	
.	1825	448	22	76	
Why	957	715	81	43	
,	1041	715	12	43	
He	1065	715	56	43	
'	1115	715	12	43	
s	1124	715	12	43	
the	1150	715	55	43	
Lord	1225	715	84	43	
of	1346	715	40	43	
lords	1424	715	85	43	
,	1507	715	12	43	
And	1533	715	68	43	
the	1620	715	56	43	
King	1705	715	87	43	
of	1818	715	32	43	
kings	1887	715	95	43	
,	1982	715	12	43	
Why	2011	715	81	43	
Je	944	1164	30	40	
-	991	1164	11	40	
sus	1014	1164	57	40	
Christ	1080	1164	111	40	
is	1205	1164	21	40	
the	1244	1164	57	40	
first	1315	1164	69	40	
and	1393	1164	64	40	
the	1479	1164	51	40	
last	1545	1164	56	40	
,	1601	1164	11	40	
No	1622	1164	59	40	
one	1689	1164	63	40	
can	1771	1164	44	40	
work	1833	1164	84	40	
like	1939	1164	63	40	
Him	2010	1164	57	40	
.	2089	1164	11	40	
1	907	1579	12	43	
.	925	1579	12	43	
I	956	1579	12	43	
will	1004	1579	68	43	
not	1079	1579	61	43	
let	1159	1579	43	43	
you	1233	1579	55	43	
go	1312	1579	31	43	
,	1347	1579	12	43	
my	1370	1579	63	43	
Lord	1444	1579	86	43	
;	1541	1579	12	43	
No	1563	1579	48	43	
one	1622	1579	68	43	
can	1700	1579	50	43	
work	1765	1579	77	43	
like	1868	1579	62	43	
Him	1941	1579	55	43	
,	2016	1579	12	43	
Un	2043	1579	65	43	
til	938	2029	38	45	
you	1008	2029	57	45	
come	1088	2029	96	45	
and	1187	2029	64	45	
bless	1272	2029	83	45	
my	1361	2029	67	45	
soul	1437	2029	77	45	
,	1508	2029	12	45	
No	1549	2029	49	45	
one	1630	2029	58	45	
can	1713	2029	52	45	
work	1788	2029	82	45	
like	1890	2029	65	45	
Him	1983	2029	58	45	
,	2060	2029	12	45	
2	1004	2274	10	38	
.	1020	2274	10	38	
For	1059	2274	60	38	
Paul	1137	2274	79	38	
and	1227	2274	66	38	
Silas	1313	2274	79	38	
bound	1406	2274	112	38	
in	1540	2274	20	38	
jail	1592	2274	58	38	
,	1652	2274	10	38	
No	1093	2314	51	40	
one	1157	2314	63	40	
can	1241	2314	51	40	
work	1310	2314	84	40	
like	1420	2314	63	40	
Him	1499	2314	63	40	
;	1591	2314	11	40	
The	1060	2349	63	41	
Christians	1136	2350	184	41	
prayed	1334	2351	113	41	
both	1470	2352	71	41	
night	1562	2353	101	41	
and	1671	2354	63	40	
day	1753	2355	57	40	
,	1812	2355	11	40	
No	1090	2394	52	35	
one	1160	2393	60	35	
can	1235	2393	55	34	
work	1306	2392	84	35	
like	1418	2391	61	35	
Him	1494	2391	60	34	
.	1573	2390	9	35	
Cho	1134	2428	53	47	
.	1187	2428	13	47	
-	1211	2428	13	47	
Why	1238	2428	87	47	
,	1322	2428	13	47	
He	1355	2428	52	47	
'	1403	2428	13	47	
s	1413	2428	13	47	
the	1448	2428	53	47	
Lord	1520	2428	81	47	
of	1618	2428	35	47	
lords	1673	2428	92	47	
,	1763	2428	13	47	
&	1792	2428	13	47	
o	1816	2428	13	47	
.	1831	2428	13	47	
&	1008	2492	11	40	
I	1061	2492	11	40	
wish	1084	2492	75	40	
those	1185	2492	85	40	
mourners	1281	2492	178	40	
would	1473	2492	104	40	
believe	1593	2492	126	40	
.	1717	2492	11	40	
No	1091	2534	48	38	
one	1155	2534	60	38	
can	1235	2534	49	38	
work	1304	2534	86	38	
like	1418	2534	60	38	
Him	1491	2534	60	38	
,	1572	2534	10	38	
That	1056	2572	82	40	
Jesus	1151	2572	96	40	
is	1262	2572	21	40	
ready	1305	2572	92	40	
to	1420	2572	23	40	
receive	1469	2572	115	40	
,	1588	2572	11	40	
No	1089	2610	54	42	
one	1159	2610	60	42	
can	1238	2610	48	42	
work	1310	2610	82	42	
like	1414	2610	68	42	
Him	1493	2610	60	42	
.	1573	2610	11	42	
Cho	1136	2648	46	47	
.	1183	2648	13	47	
-	1211	2648	13	47	
Why	1238	2648	81	47	
,	1322	2648	13	47	
He	1350	2648	52	47	
'	1399	2648	13	47	
s	1413	2648	13	47	
the	1443	2648	53	47	
Lord	1509	2648	79	47	
of	1614	2648	35	47	
lords	1668	2648	87	47	
,	1754	2648	13	47	
&	1787	2648	13	47	
c	1811	2648	13	47	
.	1826	2648	13	47	
148	1431	2698	66	44	
