content	x	y	w	h	
DEL	663	288	162	78	
SEPOLCRO	870	291	430	81	
DE	1349	296	110	78	
'	1463	297	21	76	
NASONJ	1499	298	353	80	
.	1855	302	21	76	
TA	622	397	337	82	
V	969	398	23	80	
OL	1088	399	248	82	
А.	1404	414	60	66	
VIII	1562	408	282	75	
.	1833	408	21	75	
ILO	339	540	111	105	
L	400	528	17	61	
terzo	445	528	106	62	
nicchio	572	529	148	62	
contiene	761	531	177	62	
l'immagine	956	532	227	63	
di	1198	534	47	61	
Plutone	1254	534	167	62	
,	1424	535	17	61	
e	1468	536	17	61	
di	1508	536	47	61	
Proſerpina	1556	536	229	63	
num	1795	538	70	61	
.	1888	539	17	61	
1.	1921	539	33	61	
Siede	1969	539	114	62	
Plu	2099	540	80	62	
to	412	588	29	57	
,	469	588	16	57	
e	503	589	16	57	
tiene	537	589	99	57	
lo	653	589	33	57	
ſcettro	711	590	133	57	
nella	859	590	99	58	
deſtra	975	591	125	58	
,	1118	592	16	57	
velato	1164	592	114	57	
il	1306	593	22	57	
capo	1344	593	86	57	
quafi	1460	593	94	58	
fino	1574	594	69	57	
la	1666	595	22	57	
fronte	1718	595	115	57	
nel	1851	595	65	58	
manto	1922	596	128	57	
pavo	2065	597	112	57	
nazzo	328	644	117	63	
,	466	644	18	63	
ignuda	493	644	139	63	
la	653	644	35	63	
ſuperiore	704	644	198	63	
parte	919	644	102	63	
del	1041	644	71	63	
corpo	1127	644	113	63	
,	1253	644	18	63	
in	1289	644	24	63	
ſevera	1338	644	124	63	
maeſtà	1477	644	139	63	
compoſto	1639	644	186	63	
,	1848	644	18	63	
&	1893	644	18	63	
in	1954	644	24	63	
ſembian	2004	644	176	63	
za	338	699	41	55	
di	392	699	51	55	
Giove	444	700	131	55	
Stigio	597	700	111	55	
,	727	701	15	55	
come	775	701	115	55	
finſero	909	701	126	56	
ch'egli	1063	702	146	55	
ne	1221	703	51	55	
teneſſe	1285	703	140	55	
il	1447	703	20	55	
nome	1479	704	130	55	
,	1612	704	15	55	
e	1656	704	15	55	
la	1691	704	30	55	
forte	1741	705	92	55	
nel	1848	705	71	55	
ſuo	1931	705	56	55	
baſſo	2013	706	95	55	
re	2125	706	51	55	
gno	339	754	69	61	
.	418	754	17	61	
Siede	460	754	116	61	
feco	593	754	79	61	
Proferpina	693	754	221	61	
2.	931	754	45	61	
velata	999	754	118	61	
in	1141	754	22	61	
manto	1184	754	131	61	
pavonazzo	1340	754	219	61	
,	1578	754	17	61	
e	1621	754	17	61	
col	1650	754	70	61	
diadema	1731	754	183	61	
d'oro	1929	754	113	61	
in	2069	754	33	61	
ca	2122	754	56	61	
po	327	810	56	60	
,	398	810	17	60	
avendo	439	810	150	60	
anch'eſſa	611	810	182	60	
il	808	810	33	60	
nome	855	810	124	60	
di	989	810	44	60	
Giunone	1030	810	195	60	
Stigia	1238	810	116	60	
,	1374	810	17	60	
e	1417	810	17	60	
di	1453	810	43	60	
Regina	1503	810	146	60	
delle	1663	810	98	60	
Ombre	1782	810	147	60	
.	1942	810	17	60	
Avanti	1993	810	142	60	
di	2139	810	56	60	
loro	330	861	83	59	
Mercurio	420	862	201	59	
3.	646	863	43	59	
in	696	863	33	59	
piedi	748	863	109	60	
tiene	864	864	104	59	
il	978	864	33	59	
caduceo	1024	865	163	59	
nella	1202	865	95	60	
finiftra	1323	866	132	60	
mano	1469	867	117	59	
,	1595	867	17	59	
e	1643	868	17	59	
conduce	1680	868	167	60	
una	1864	869	67	59	
fanciulla	1950	869	177	60	
4	2141	870	17	59	
.	2171	870	17	59	
avanti	325	918	137	59	
gli	474	919	51	58	
Infernali	541	919	186	59	
Numi	736	920	130	58	
,	866	920	16	58	
abbracciandola	893	920	310	59	
,	1225	922	16	58	
e	1255	922	16	58	
traendola	1290	922	192	59	
dietro	1507	923	119	58	
la	1653	923	22	58	
ſpalla	1697	923	110	59	
con	1827	924	66	58	
la	1910	924	32	58	
deſtra	1967	925	119	58	
ma	2098	925	75	58	
no	326	970	56	60	
.	398	970	17	60	
Segue	439	971	124	60	
appreſſo	573	971	170	61	
un'altra	762	973	161	60	
Donna	934	974	143	60	
5.	1094	974	33	61	
in	1143	975	33	60	
piedi	1195	975	105	60	
tutta	1313	976	89	60	
velata	1427	976	115	61	
in	1564	977	33	60	
un	1616	977	44	61	
manto	1670	978	134	60	
turchino	1824	979	181	60	
,	2002	980	17	60	
fcoper	2027	980	151	60	
ta	325	1028	42	58	
ſola	386	1028	74	58	
una	478	1028	74	58	
mano	560	1028	116	58	
,	692	1028	16	58	
e	721	1028	16	58	
fola	765	1028	65	58	
la	852	1028	32	58	
faccia	907	1028	104	58	
dal	1039	1028	58	58	
manto	1107	1028	131	58	
.	1264	1028	16	58	
Per	443	1081	66	66	
eſplicazione	534	1081	255	66	
di	799	1081	48	66	
queſta	853	1081	125	66	
immagine	988	1081	217	66	
riporteremo	1210	1081	259	66	
alcuni	1485	1081	123	66	
verſi	1623	1081	96	66	
di	1744	1081	48	66	
Claudiano	1804	1081	202	66	
del	2025	1081	66	66	
pri	2108	1081	71	66	
ino	329	1136	62	63	
libro	410	1136	103	63	
del	530	1136	73	63	
Ratto	611	1136	117	63	
di	748	1136	47	63	
Proſerpina	807	1136	218	63	
,	1037	1136	18	63	
ne	1059	1136	58	63	
'	1113	1136	18	63	
quali	1138	1136	100	63	
elegantemente	1257	1136	297	63	
vien	1577	1136	73	63	
deſcritto	1676	1136	172	63	
Plutone	1874	1136	164	63	
feden	2049	1136	126	63	
te	331	1196	32	57	
nel	387	1196	65	57	
foglio	465	1196	112	57	
con	608	1196	65	57	
lo	697	1196	32	57	
ſcettro	755	1196	132	57	
in	911	1196	32	57	
mano	960	1196	113	57	
.	1090	1196	16	57	
Ipfe	665	1248	79	63	
rudi	764	1248	98	63	
folio	883	1248	82	63	
fultus	996	1248	122	63	
,	1123	1248	18	63	
nigraque	1169	1248	186	63	
verendus	1378	1248	180	63	
Majefiate	656	1306	211	68	
fedet	894	1305	92	68	
,	995	1304	20	69	
Squallent	1039	1304	188	68	
immania	1256	1303	175	68	
fæ	1461	1302	26	69	
do	1505	1302	51	69	
Sceptra	664	1358	149	66	
fitu	845	1357	62	67	
,	923	1357	19	67	
ſublime	976	1356	157	67	
caput	1143	1356	114	66	
mefiiffima	1263	1355	230	66	
nubes	1514	1354	121	66	
Afperat	676	1414	145	60	
.	833	1415	17	59	
Ove	329	1469	96	61	
nella	433	1469	99	61	
noſtra	551	1469	125	61	
pittura	694	1469	135	61	
,	850	1469	17	61	
in	876	1469	34	61	
vece	935	1469	87	61	
della	1042	1469	97	61	
nubbe	1159	1469	128	61	
,	1297	1469	17	61	
il	1331	1469	22	61	
velo	1369	1469	87	61	
adombra	1476	1469	178	61	
il	1678	1469	23	61	
capo	1717	1469	97	61	
di	1828	1469	45	61	
Plutone	1884	1469	156	61	
.	2066	1469	17	61	
Pin	2096	1469	80	61	
daro	331	1525	89	62	
negli	438	1525	103	62	
Olimpici	552	1525	193	62	
,	754	1525	17	62	
per	790	1525	63	62	
lo	869	1525	34	62	
ſcettro	925	1525	137	62	
di	1072	1525	56	62	
Plutone	1137	1525	159	62	
intende	1310	1525	156	62	
la	1480	1525	34	62	
ſua	1537	1525	61	62	
poſſanza	1615	1525	172	62	
,	1800	1525	17	62	
con	1843	1525	70	62	
la	1927	1525	34	62	
quale	1981	1525	106	62	
egli	2107	1525	81	62	
tira	330	1574	73	61	
i	416	1575	17	61	
Mortali	437	1575	166	62	
ſotto	621	1576	96	61	
il	742	1576	22	61	
ſuo	784	1577	53	61	
iinperio	866	1577	155	62	
:	1042	1578	17	61	
Neque	1085	1578	131	62	
Pluto	1239	1579	104	62	
immotam	1368	1580	170	62	
teneret	1576	1581	142	62	
virgam	1731	1582	122	61	
,	1879	1583	17	61	
qua	1909	1583	68	61	
mortalia	1990	1583	176	62	
corpora	327	1635	145	58	
ad	498	1635	42	58	
cavum	559	1635	113	58	
reducit	706	1635	139	58	
vicum	858	1635	101	58	
morientium	988	1635	225	58	
.	1242	1635	16	58	
La	1285	1635	54	58	
medeſima	1352	1635	216	58	
potenza	1586	1635	170	58	
fù	1788	1635	22	58	
attribuita	1839	1635	186	58	
a	2050	1635	16	58	
Pro	2083	1635	90	58	
ſerpina	337	1690	135	59	
,	490	1690	17	59	
la	515	1690	33	59	
quale	573	1690	107	59	
col	693	1690	67	59	
marito	763	1690	139	59	
aveva	921	1690	121	59	
uguale	1056	1690	140	59	
imperio	1217	1690	150	59	
ſopra	1399	1690	105	59	
l’Anime	1525	1690	166	59	
,	1696	1690	17	59	
come	1725	1690	122	59	
ben	1854	1690	68	59	
di	1947	1690	43	59	
loro	2003	1690	83	59	
due	2100	1690	76	59	
inteſe	335	1744	113	61	
Virgilio	466	1744	153	61	
nell'invocazione	649	1744	344	61	
:	1002	1744	17	61	
Dii	665	1802	71	61	
quibus	763	1802	138	61	
imperium	918	1802	182	61	
Animarum	1147	1802	199	61	
.	1378	1802	17	61	
Laonde	433	1856	164	61	
finge	617	1856	98	61	
,	726	1856	17	61	
che	759	1856	67	61	
Enea	840	1856	94	61	
volendo	961	1856	163	61	
entrare	1149	1856	139	61	
nell'Inferno	1313	1856	257	61	
facrifichi	1589	1856	186	61	
ad	1802	1856	47	61	
ambi	1864	1856	109	61	
loro	1984	1856	86	61	
,	2084	1856	17	61	
ad	2133	1856	43	61	
immitazione	332	1909	266	62	
di	606	1909	46	62	
Uliſſe	664	1909	115	62	
appreſſo	795	1909	170	62	
Omero	986	1909	151	62	
,	1138	1909	17	62	
per	1167	1909	63	62	
renderſi	1252	1909	164	62	
propizj	1425	1909	151	62	
i	1591	1909	17	62	
loro	1617	1909	79	62	
numi	1716	1909	122	62	
.	1824	1909	17	62	
Più	1860	1909	63	62	
chiaramen	1942	1909	234	62	
te	333	1964	33	57	
Tibullo	401	1965	145	57	
ſignificò	559	1965	169	58	
l'arbitrio	754	1966	173	58	
di	954	1968	40	57	
Proſerpina	1003	1968	225	58	
ſopra	1248	1969	100	58	
la	1360	1970	40	57	
vita	1418	1970	74	57	
umana	1515	1971	131	57	
.	1662	1971	16	57	
At	670	2018	47	64	
mihi	738	2018	102	64	
Perſephone	865	2018	222	64	
nigram	1112	2018	131	64	
denunciat	1290	2018	194	64	
horam	1502	2018	109	64	
.	1646	2018	18	64	
Era	328	2072	76	59	
eſſa	415	2072	71	59	
arbitra	507	2072	137	59	
della	661	2072	95	59	
vita	775	2072	79	59	
,	866	2072	17	59	
e	914	2072	17	59	
della	949	2072	95	59	
morte	1055	2072	127	59	
