content	x	y	w	h	
166	766	649	64	61	
THE	1098	634	108	60	
JUBILEE	1232	629	219	57	
SINGERS	1487	620	216	57	
.	1697	613	19	63	
Sitting	846	756	153	60	
by	1031	750	48	63	
his	1115	747	65	62	
window	1206	744	168	59	
at	1415	737	48	63	
the	1495	734	74	63	
hotel	1591	731	127	60	
in	1744	726	36	63	
Hull	1825	723	107	61	
on	1958	718	48	64	
Sunday	794	824	172	54	
evening	984	817	171	55	
,	1157	812	18	59	
and	1189	811	84	57	
noting	1286	807	152	55	
the	1456	802	76	57	
tide	1557	798	86	57	
of	1675	794	44	58	
people	1746	792	135	55	
flow	1909	787	104	56	
ing	794	888	68	58	
idly	912	884	76	57	
by	1037	880	55	58	
,	1094	878	18	59	
Mr	1145	876	76	58	
.	1212	874	18	59	
White	1271	872	141	55	
proposed	1450	866	200	53	
an	1694	858	45	58	
extempore	1783	854	233	52	
religious	796	953	198	44	
service	1010	946	157	45	
for	1189	941	58	47	
their	1272	937	101	47	
benefit	1398	933	155	45	
.	1558	927	16	50	
Taking	1633	925	156	45	
the	1822	918	72	49	
base	1918	915	97	47	
of	803	1012	44	58	
the	863	1010	68	57	
King	950	1007	111	56	
William	1087	1002	174	54	
monument	1302	995	254	51	
as	1577	986	56	58	
a	1658	983	18	59	
platform	1710	981	174	54	
,	1906	974	18	59	
Mr	1939	973	76	58	
.	2006	971	18	59	
Pike	808	1072	102	56	
preached	927	1068	198	53	
and	1152	1060	76	57	
the	1260	1056	76	58	
Singers	1361	1053	172	54	
sang	1559	1046	99	57	
of	1700	1041	45	59	
the	1767	1039	76	58	
love	1868	1036	91	56	
of	1984	1032	44	58	
Christ	805	1132	142	59	
,	947	1127	19	63	
to	977	1126	47	62	
a	1048	1123	19	63	
crowd	1093	1122	132	60	
that	1244	1117	95	60	
filled	1366	1114	105	59	
the	1502	1108	73	62	
street	1597	1105	124	59	
farther	1754	1100	150	58	
than	1924	1094	95	60	
the	803	1196	82	61	
voice	897	1193	117	59	
of	1039	1188	36	62	
either	1102	1186	124	59	
speaker	1250	1181	173	58	
or	1439	1174	47	62	
singer	1502	1172	141	59	
could	1659	1167	112	60	
be	1810	1162	47	62	
heard	1884	1159	123	60	
.	2014	1155	19	63	
Tears	816	1259	123	60	
trickled	972	1254	162	58	
down	1177	1247	116	60	
the	1322	1242	82	61	
cheeks	1422	1239	157	59	
of	1607	1233	36	62	
many	1666	1231	124	59	
to	1819	1225	47	63	
whom	1889	1223	122	60	
the	807	1323	79	59	
sound	907	1321	126	57	
of	1059	1317	36	60	
prayer	1109	1315	144	57	
or	1277	1310	45	60	
religious	1338	1309	201	56	
song	1560	1303	95	58	
was	1675	1299	88	59	
apparently	1795	1296	233	55	
almost	811	1394	156	47	
unknown	983	1388	211	46	
.	1194	1381	16	52	
In	876	1449	37	63	
Scarborough	941	1447	276	55	
,	1228	1438	19	63	
a	1266	1436	19	63	
free	1305	1435	80	61	
concert	1409	1431	165	58	
yielded	1598	1425	154	59	
a	1776	1419	19	63	
collection	1828	1417	200	57	
of	814	1516	47	62	
about	877	1514	131	59	
£go	1024	1509	82	60	
,	1111	1506	19	63	
and	1140	1505	83	61	
on	1251	1501	36	62	
Sunday	1324	1498	160	59	
the	1509	1492	73	62	
Singers	1613	1489	167	58	
sang	1811	1482	98	61	
,	1911	1479	19	63	
in	1952	1478	26	62	
a	2018	1475	19	63	
heavy	814	1580	131	59	
rain	986	1574	80	61	
,	1082	1571	19	63	
to	1134	1569	36	62	
a	1208	1566	19	63	
