content	x	y	w	h	
T210	5	778	28	33	
,	37	778	9	33	
di	270	144	39	50	
S.	322	143	39	51	
Paolo	372	142	109	50	
.	491	141	15	51	
13.	-5	173	24	44	
Forma	29	173	28	45	
455	628	154	77	40	
cmok	3	210	59	71	
e	81	207	23	72	
ne	113	207	42	71	
parla	167	205	103	71	
Cluuerio	293	202	191	68	
alla	512	196	76	72	
pagina	616	193	148	69	
Gaia	3	266	50	72	
1014.	83	263	108	70	
Nell'Iſola	207	260	222	66	
Ponza	438	253	146	69	
furono	601	249	155	68	
All	5	328	70	67	
relegati	82	326	149	66	
S.	250	323	27	68	
Siluerio	297	321	162	66	
Papa	490	317	101	67	
&	610	315	21	69	
c	652	314	21	69	
.	673	313	21	69	
&	722	312	21	69	
vniuerſalmente	77	376	318	54	
era	415	371	60	58	
Eglio	501	369	108	58	
di	645	367	55	59	
al	713	366	55	59	
giunta	10	420	44	44	
con	56	419	21	45	
tri	83	438	40	56	
condannati	130	437	249	55	
Romani	389	435	202	55	
.	595	433	17	57	
di	0	528	16	47	
Orient	20	529	42	48	
Nella	120	495	110	65	
ſpiaggia	253	494	175	65	
di	458	493	49	66	
queſto	518	492	133	66	
Ma	671	491	95	66	
re	84	552	21	59	
ſi	126	553	21	59	
fa	159	553	32	59	
al	205	554	42	59	
Maggio	249	555	184	60	
vna	455	557	83	60	
gran	553	558	90	60	
pre	671	560	91	60	
prelonu	-5	586	62	48	
/	58	588	11	46	
fa	83	614	22	63	
di	119	614	35	63	
Quaglie	171	614	167	63	
,	347	614	18	63	
le	380	614	36	63	
quali	436	614	111	63	
vengono	564	614	202	63	
fin	90	672	30	53	
da	137	672	39	52	
Barberia	193	671	186	52	
,	395	670	15	53	
e	435	670	15	53	
ſecondo	478	670	182	52	
la	701	668	29	53	
Ecquid	-6	708	74	55	
relatione	82	730	186	67	
de	289	730	50	67	
'	339	730	19	67	
più	365	730	67	67	
periti	453	730	128	67	
Caccia	600	730	173	67	
tori	92	788	56	65	
,	154	788	18	65	
fanno	201	789	127	65	
queſto	373	790	141	65	
traghetto	557	791	216	66	
ditan	9	880	55	44	
nel	88	852	53	62	
tempo	145	853	140	62	
di	297	854	58	62	
vna	363	854	79	63	
notte	455	855	121	62	
;	591	856	17	62	
porta	631	856	141	63	
no	83	908	43	59	
il	142	908	22	59	
ventricolo	179	908	221	60	
pieno	429	909	128	60	
di	573	910	54	59	
ſeine	637	910	112	60	
di	85	965	32	57	
Baſilico	122	966	159	58	
di	308	968	51	57	
molte	356	969	143	58	
ſorti	518	970	103	58	
;	625	972	15	57	
come	650	972	142	58	
fiè	90	1020	48	68	
conoſciuto	153	1021	233	70	
dal	408	1024	77	68	
germogliare	488	1025	294	71	
1	1	1065	11	38	
;	8	1065	11	38	
tra	26	1064	23	38	
fiume	0	1114	55	44	
di	86	1084	29	57	
detto	129	1084	96	57	
feme	254	1084	117	57	
feminato	385	1084	202	57	
;	600	1084	16	57	
benchè	612	1084	179	57	
non	81	1148	59	59	
ſempre	167	1148	155	60	
ciò	339	1149	59	59	
rieſce	423	1150	127	59	
,	568	1150	17	59	
per	595	1150	75	59	
non	697	1151	84	59	
eſſere	87	1202	94	66	
ſempre	201	1202	157	66	
maturo	359	1202	187	66	
;	566	1202	19	66	
e	592	1202	19	66	
quindi	645	1202	156	66	
ſi	79	1264	26	67	
può	117	1263	78	67	
arguire	226	1262	163	66	
,	395	1260	20	67	
quando	437	1260	164	65	
ſia	623	1258	49	66	
ſtato	691	1257	96	66	
gran	81	1320	73	63	
caldo	180	1320	125	63	
in	325	1320	25	63	
Barberia	381	1320	195	63	
,	584	1320	18	63	
e	616	1320	18	63	
quādo	651	1320	147	63	
no	82	1380	38	52	
;	126	1380	14	52	
la	164	1379	29	52	
caccia	213	1379	133	51	
colifte	366	1378	147	51	
in	529	1377	29	52	
Rcti	584	1377	104	51	
fem	704	1376	99	52	
2018	-3	1422	47	31	
lotto	9	1468	44	41	
plici	78	1439	93	57	
,	180	1438	16	58	
ſoſtenute	224	1438	203	57	
dalle	453	1437	116	57	
Pertiche	589	1436	197	57	
,	794	1435	16	58	
doue	76	1494	113	67	
vrtādo	206	1494	143	67	
le	370	1494	38	67	
Quaglie	424	1494	179	67	
,	608	1494	19	67	
cadono	633	1494	175	67	
Pos	6	1531	32	34	
ſtracche	85	1552	176	55	
in	279	1552	31	55	
terra	333	1552	109	55	
.	458	1552	15	55	
Nell	498	1552	115	55	
'	609	1552	15	55	
Autun	641	1552	174	55	
fanno	152	1612	132	51	
li	311	1612	28	51	
Nettuneſi	350	1612	238	51	
la	616	1612	37	51	
caccia	670	1612	137	51	
de	79	1672	55	59	
'	130	1671	18	59	
Palombi	163	1671	211	57	
,	376	1669	18	59	
auuiandoli	429	1668	258	57	
alle	705	1666	86	58	
Re	679	1730	84	39	
um	-8	1003	29	41	
Cin	29	999	30	41	
scoat	-11	1186	69	29	
cho	-2	1235	41	42	
,	24	1231	21	45	
il	36	1228	27	44	
ne	-6	1306	32	42	
pou	25	1301	31	41	
Sive	9	1351	41	42	
Taro	-6	1597	44	30	
no	78	1623	51	33	
JA	-2	1700	20	42	
