content	x	y	w	h	
N	417	295	28	58	
o	452	295	28	58	
.	482	295	16	58	
1	518	295	15	58	
4	536	295	15	58	
.	564	295	16	58	
G	580	295	33	58	
w	622	295	31	58	
i	662	295	21	58	
n	681	295	19	58	
e	708	294	24	58	
t	754	294	15	58	
o	772	294	15	58	
r	825	294	15	58	
i	843	294	14	58	
d	859	294	17	58	
e	882	294	19	58	
u	926	294	24	58	
p	956	294	23	58	
i	1010	294	10	58	
n	1022	293	9	58	
t	1073	293	14	58	
h	1088	293	19	58	
e	1115	293	24	58	
C	1166	293	28	58	
h	1203	293	24	58	
a	1229	293	21	58	
r	1259	293	19	58	
i	1279	293	15	58	
o	1296	293	17	58	
t	1318	293	19	58	
.	1337	292	16	58	
C	1041	354	16	29	
H	1062	354	15	29	
O	1081	354	14	29	
R	1099	354	13	29	
U	1114	354	13	29	
S	1132	354	14	29	
.	1147	354	8	29	
O	444	385	34	28	
L	485	381	35	28	
S	537	378	14	26	
O	552	377	13	26	
L	567	376	14	26	
O	583	374	13	26	
.	601	373	8	26	
1	487	505	13	47	
.	497	505	13	47	
G	522	505	19	47	
w	547	505	18	47	
i	569	505	13	47	
n	583	505	14	47	
e	601	505	15	47	
t	627	505	12	47	
o	642	505	11	47	
r	670	505	12	47	
i	686	505	10	47	
d	694	505	12	47	
e	712	504	15	47	
u	747	504	12	47	
p	762	504	11	47	
i	800	504	11	47	
n	814	504	11	47	
t	853	504	11	47	
h	866	504	13	47	
e	884	504	15	47	
c	920	504	11	47	
h	933	504	14	47	
a	953	504	13	47	
r	968	504	12	47	
i	983	504	10	47	
o	993	504	10	47	
t	1006	504	11	47	
,	1020	503	13	47	
S	1052	503	16	47	
o	1072	503	15	47	
o	1092	503	14	47	
n	1107	503	11	47	
-	1125	503	13	47	
e	1136	503	11	47	
r	1150	503	11	47	
i	1205	503	8	47	
n	1215	503	8	47	
t	1263	503	7	47	
h	1270	503	12	47	
e	1288	503	15	47	
m	1317	503	23	47	
o	1349	502	17	47	
r	1366	502	12	47	
n	1380	502	14	47	
i	1400	502	12	47	
n	1410	502	11	47	
g	1427	502	16	47	
.	1442	502	13	47	
S	539	718	15	35	
O	556	719	15	35	
L	570	719	15	35	
O	588	720	15	35	
.	604	721	11	34	
C	1036	715	17	36	
H	1059	715	16	36	
O	1079	715	13	36	
R	1094	715	13	36	
U	1111	715	15	36	
S	1130	715	15	36	
R	539	881	17	40	
i	562	881	13	40	
d	574	881	13	40	
e	593	881	17	40	
u	632	881	13	40	
p	648	881	13	40	
i	708	881	9	40	
n	720	880	9	40	
t	773	880	9	40	
h	783	880	13	40	
e	802	880	17	40	
c	849	880	13	40	
h	865	880	13	40	
a	882	880	13	40	
-	907	880	11	40	
r	923	880	13	40	
i	941	880	9	40	
o	948	880	10	40	
t	964	880	13	40	
,	977	880	11	40	
S	1033	879	14	40	
o	1050	879	13	40	
o	1066	879	13	40	
-	1098	888	12	30	
e	1113	886	13	30	
r	1125	885	13	30	
t	1242	878	10	40	
h	1252	879	15	40	
e	1272	879	17	40	
m	1303	880	20	41	
o	1329	880	17	40	
r	1348	880	12	40	
n	1358	881	17	40	
i	1387	882	17	40	
n	1400	882	14	40	
g	1419	883	18	40	
.	1434	883	12	40	
C	966	1058	15	19	
H	986	1059	15	19	
O	1005	1059	14	19	
R	1023	1059	14	19	
U	1041	1059	14	19	
S	1059	1060	14	19	
S	536	1074	13	24	
O	553	1074	13	24	
L	568	1074	13	24	
O	586	1074	13	24	
.	602	1074	6	24	
4	1381	1113	21	21	
0	1376	1135	21	19	
D	1371	1154	21	17	
D	1367	1171	21	17	
R	536	1207	18	42	
i	560	1207	13	42	
d	573	1207	12	42	
e	590	1207	13	42	
u	618	1207	18	42	
p	640	1207	17	42	
i	688	1207	6	42	
n	696	1207	7	42	
t	746	1206	10	42	
h	758	1206	12	42	
e	775	1206	13	42	
c	805	1206	13	42	
h	822	1206	14	42	
a	839	1206	14	42	
-	862	1206	11	42	
r	878	1206	14	42	
i	897	1206	10	42	
o	906	1206	8	42	
t	918	1206	10	42	
,	931	1206	11	42	
S	960	1206	13	42	
o	977	1206	13	42	
o	994	1206	14	42	
n	1012	1206	13	42	
-	1030	1205	11	42	
e	1043	1205	10	42	
r	1056	1205	10	42	
i	1107	1205	10	42	
n	1120	1205	10	42	
t	1155	1205	10	42	
h	1166	1205	14	42	
e	1186	1205	17	42	
m	1210	1205	20	42	
o	1237	1205	18	42	
r	1257	1205	12	42	
n	1270	1205	12	42	
i	1287	1205	12	42	
n	1300	1205	13	42	
g	1319	1205	17	42	
A	1355	1213	15	17	
n	1374	1213	15	17	
d	1395	1213	17	17	
I	1428	1213	4	17	
i	487	1497	11	3	
h	532	1562	16	38	
o	553	1562	14	38	
p	569	1562	13	38	
e	587	1562	16	38	
I	621	1562	10	38	
'	633	1562	10	38	
l	648	1562	5	38	
l	655	1562	5	38	
j	696	1562	9	38	
o	707	1562	11	38	
i	723	1561	11	38	
n	735	1561	9	38	
t	786	1561	9	38	
h	796	1561	12	38	
e	814	1561	15	38	
b	848	1561	16	38	
a	869	1561	14	38	
n	884	1561	14	38	
d	903	1561	16	38	
.	922	1561	10	38	
O	988	1561	10	38	
L	1025	1560	15	38	
o	1044	1560	14	38	
r	1061	1560	13	38	
d	1077	1560	12	38	
,	1093	1560	10	38	
h	1114	1560	15	38	
a	1134	1560	14	38	
v	1151	1560	12	38	
e	1166	1560	12	38	
m	1191	1560	25	38	
e	1227	1560	17	38	
r	1242	1560	9	38	
-	1253	1560	10	38	
