content	x	y	w	h	
EMER	1684	180	156	70	
1-12	1693	264	153	70	
ENTRY	570	404	212	69	
BUS	829	404	118	69	
LOSS	995	404	169	69	
MN	572	574	76	81	
BUS	704	574	116	81	
A	874	574	23	81	
LOST	955	574	169	81	
-	1178	574	23	81	
ENTRY	1263	574	205	81	
EARTH	191	1070	76	199	
/	189	852	78	23	
POST	189	818	76	171	
LANDING	187	607	76	289	
BMAG	658	743	159	84	
MODE	870	743	171	84	
(	1105	743	24	84	
3	1139	743	24	84	
)	1182	743	24	84	
-	1267	743	24	84	
RATE	1346	743	162	84	
2	1573	743	24	84	
FDAI	663	830	175	79	
SEL	879	830	113	79	
-	1052	830	23	79	
2	1140	830	23	79	
✓	660	914	23	82	
FDAI	705	914	169	82	
SOURCE	920	914	253	82	
-	1224	914	23	82	
CMC	1314	914	117	82	
AUTO	657	1003	167	91	
RCS	874	1001	119	92	
SEL	1055	999	106	92	
(	1236	997	28	93	
12	1271	997	70	92	
)	1349	996	28	93	
-	1443	995	28	93	
MNB	1525	994	120	92	
(	1659	993	28	93	
ONLY	1683	993	194	91	
IF	1924	990	52	93	
BUS	2035	989	146	92	
LOST	2227	987	166	92	
AFTER	2447	985	242	91	
SM	2737	983	70	92	
SEP	2861	981	106	93	
)	2975	980	28	93	
AC	659	1180	79	72	
INV	804	1180	113	72	
3	974	1180	20	72	
-	1061	1180	20	72	
MNB	1126	1180	123	72	
AC	658	1258	87	79	
INV	800	1258	113	79	
3	970	1258	23	79	
AC	1042	1258	87	79	
1	1186	1258	23	79	
-	1274	1258	23	79	
ON	1349	1258	73	79	
AC	665	1345	72	78	
INV	803	1346	111	78	
1	979	1346	22	78	
AC	1053	1347	71	78	
1	1192	1347	22	78	
-	1271	1347	22	78	
OFF	1342	1348	133	78	
All	664	1432	116	81	
F	844	1432	23	81	
/	884	1432	23	81	
C	926	1432	23	81	
MNA	1003	1432	127	81	
-	1188	1432	23	81	
OFF	1265	1432	127	81	
ALL	650	1512	130	83	
F	845	1512	24	83	
/	887	1512	24	83	
C	931	1512	24	83	
MNB	997	1512	134	83	
-	1183	1512	24	83	
MNB	1263	1512	117	83	
(	1451	1512	24	83	
BEFORE	1466	1512	259	83	
CM	1786	1512	58	83	
/	1871	1512	24	83	
SM	1909	1512	65	83	
SEP	2035	1512	118	83	
)	2163	1512	24	83	
cb	669	1596	69	97	
MNA	794	1596	124	97	
BAT	973	1596	110	97	
BUS	1138	1596	125	97	
A	1306	1596	28	97	
(	1404	1596	28	97	
Pnl	1429	1596	138	97	
275	1622	1596	96	97	
)	1738	1596	28	97	
-	1826	1596	28	97	
OPEN	1898	1596	165	97	
cb	661	1688	82	89	
MNB	787	1688	126	89	
BAT	971	1688	114	89	
C	1143	1688	26	89	
(	1233	1688	26	89	
Pnl	1267	1688	127	89	
275	1451	1688	102	89	
)	1566	1688	26	89	
-	1656	1688	26	89	
CLOSED	1745	1688	240	89	
17	347	1639	74	95	
MN	576	1864	76	69	
BUS	713	1864	117	69	
B	884	1864	20	69	
LOST	961	1864	167	69	
-	1185	1864	20	69	
ENTRY	1265	1864	209	69	
BMAG	661	2028	155	87	
MODE	871	2028	169	87	
(	1107	2028	25	87	
3	1151	2028	25	87	
)	1185	2028	25	87	
-	1273	2028	25	87	
RATE	1345	2028	168	87	
1	1571	2028	25	87	
FDAI	662	2120	173	70	
SEL	881	2119	113	70	
-	1058	2118	20	71	
1	1146	2117	20	71	
✓	702	2202	22	77	
FDAI	752	2202	167	78	
SOURCE	970	2203	246	78	
-	1272	2205	22	77	
CMC	1356	2205	120	78	
AUTO	664	2287	162	111	
RCS	873	2283	132	112	
SEL	1063	2279	100	112	
(	1235	2275	35	114	
12	1267	2274	86	113	
)	1351	2272	35	114	
-	1443	2271	35	114	
MNA	1527	2269	116	112	
(	1675	2266	35	114	
ONLY	1718	2265	181	111	
IF	1979	2259	65	113	
BUS	2098	2256	166	112	
LOST	2306	2252	224	110	
AFTER	2584	2246	234	110	
SM	2882	2240	68	113	
SEP	3006	2237	133	112	
)	3148	2234	35	114	
CRITICAL	286	3006	75	323	
BURNS	288	2624	74	206	
12/61/9	3323	2452	77	280	
AC	664	2459	74	80	
INV	808	2459	114	80	
3	977	2459	23	80	
-	1058	2459	23	80	
MNA	1134	2459	125	80	
AC	659	2547	80	73	
INV	805	2547	115	73	
3	977	2547	21	73	
AC	1054	2547	67	73	
2	1184	2547	21	73	
-	1273	2547	21	73	
ON	1350	2547	67	73	
AC	664	2630	69	77	
INV	807	2630	110	77	
2	972	2630	22	77	
AC	1054	2630	69	77	
2	1190	2630	22	77	
-	1276	2630	22	77	
OFF	1347	2630	121	77	
All	659	2720	124	74	
F	841	2718	22	75	
/	889	2718	22	75	
C	925	2718	22	75	
MNB	1002	2717	119	75	
-	1185	2716	22	75	
OFF	1262	2715	125	75	
All	658	2796	118	83	
F	845	2796	24	83	
/	887	2796	24	83	
C	931	2796	24	83	
MNA	997	2796	134	83	
-	1191	2796	24	83	
MNA	1263	2796	129	83	
(	1451	2796	24	83	
BEFORE	1466	2796	259	83	
CM	1786	2796	58	83	
/	1871	2796	24	83	
SM	1909	2796	65	83	
SEP	2035	2796	118	83	
)	2163	2796	24	83	
cb	671	2884	67	91	
MNB	787	2884	130	91	
BAT	963	2884	117	91	
BUS	1141	2884	116	91	
B	1308	2884	26	91	
(	1400	2884	26	91	
Pnl	1431	2884	130	91	
275	1611	2884	116	91	
)	1741	2884	26	91	
-	1823	2884	26	91	
OPEN	1901	2884	166	91	
cb	661	2968	80	87	
MNA	783	2968	137	87	
BAT	974	2968	110	87	
C	1141	2968	25	87	
(	1229	2968	25	87	
Pnl	1257	2968	124	87	
275	1437	2968	112	87	
)	1571	2968	25	87	
-	1659	2968	25	87	
CLOSED	1737	2968	244	87	
14614	3072	2649	106	187	
DATE	3105	3153	83	166	
6479477	3092	2870	77	291	
DATE	3272	3046	65	161	
AC	570	3144	87	79	
BUS	709	3144	124	79	
1	890	3144	23	79	
LOST	965	3144	161	79	
-	1186	3144	23	79	
ENTRY	1272	3144	201	79	
.	568	3367	15	49	
BMAG	667	3314	151	86	
MODE	873	3314	165	86	
(	1104	3314	25	86	
3	1139	3314	25	86	
)	1182	3314	25	86	
-	1269	3314	25	86	
RATE	1351	3314	154	86	
2	1574	3314	25	86	
FDAI	665	3399	168	78	
SEL	884	3400	110	78	
-	1060	3401	22	77	
2	1146	3401	22	77	
FDAI	757	3481	160	76	
SOURCE	967	3483	234	77	
-	1269	3486	20	75	
CMC	1359	3487	107	76	
AC	657	3656	80	75	
INV	808	3656	107	75	
1	973	3656	21	75	
MNA	1043	3656	129	75	
-	1225	3656	21	75	
OFF	1301	3656	130	75	
SUIT	659	3747	166	73	
COMPR	887	3747	193	73	
-	1140	3747	21	73	
AC	1224	3747	67	73	
2	1354	3747	21	73	
ECS	662	3830	116	81	
GLY	823	3830	129	81	
PUMP	1009	3830	158	81	
-	1226	3830	23	81	
AC	1302	3830	76	81	
2	1440	3830	23	81	
S	670	3910	24	83	
BD	749	3911	76	83	
NORM	875	3911	160	84	
XPNDR	1093	3912	202	84	
-	1359	3913	24	83	
SEC	1441	3914	119	83	
S	669	4000	22	77	
BD	749	4000	73	77	
NORM	876	4000	155	77	
PWR	1096	4000	110	77	
AMP	1258	4000	121	77	
-	1434	4000	22	77	
SEC	1523	4000	109	77	
