content	x	y	w	h	
\	1607	1038	29	7	
III	1596	1057	46	31	
Trill	1559	1129	92	121	
UTLASTOTELISTET	4448	2308	212	23	
ZAVAVAYAVA	4090	3513	91	13	
ZAVIVAVA	1932	3527	89	23	
ZAYAYAYA	2126	3529	88	21	
AVATAY	2358	3528	73	18	
ZAVAYAVARS	2535	3526	105	19	
CERES	2866	5909	459	101	
Prima	2623	6077	186	63	
Ceres	2831	6074	183	63	
homine	3034	6071	237	63	
ad	3278	6068	76	64	
meliora	3361	6068	229	61	
alimenta	2685	6166	250	67	
uocato	2967	6168	194	67	
-	3185	6169	17	66	
Mutauit	2630	6267	237	103	
tglandes	2838	6269	252	97	
utiliore	3113	6263	201	67	
cibo	3342	6260	107	68	
.	3459	6258	20	68	
Ouid.fact	3405	6350	188	70	
.	3595	6350	20	70	
