content	x	y	w	h	
8.9	347	1771	56	99	
E3	340	1606	56	114	
FLIGHT	421	2837	105	372	
PLAN	418	2413	106	247	
Group	416	2041	106	144	
5	415	1858	107	32	
HWA	414	1789	107	123	
MMB	414	1654	106	123	
zz9	412	1476	107	92	
AUA	506	1998	84	127	
Troak	501	1825	84	90	
for	497	1687	86	54	
Anker	494	1589	84	112	
of	490	1448	85	47	
life	488	1379	84	87	
,	485	1281	86	28	
if	484	1237	86	36	
witty	482	1176	82	155	
s	477	1003	86	28	
Loght	580	2013	98	109	
off	578	1867	98	73	
when	576	1767	97	93	
AVA	573	1623	97	87	
thorned	571	1503	95	143	
on	568	1347	97	57	
,	566	1289	98	31	
remorsed	566	1243	94	223	
off	561	1007	97	83	
when	559	917	98	103	
Tum	557	783	97	87	
off	553	607	97	87	
MCC	553	4240	58	160	
-	552	4066	59	17	
H	551	4042	59	17	
1734	543	3842	53	120	
CDT	539	3674	53	105	
09:00	626	3678	52	167	
(	711	3754	75	21	
21101	711	3724	76	164	
)	712	3556	75	21	
(	783	3755	67	19	
X1111	783	3730	67	169	
)	783	3557	67	19	
4.	840	3222	77	70	
N70	839	3079	76	88	
(	837	2937	77	23	
00000	837	2907	76	161	
)	836	2733	77	23	
(	835	2655	77	23	
00000	835	2635	76	161	
)	833	2461	77	23	
(	833	2391	77	23	
00120	833	2361	75	156	
)	831	2187	77	23	
N88	912	3091	71	101	
(	911	2934	71	20	
+93634	911	2911	70	196	
)	910	2702	71	20	
(	910	2660	71	20	
-23622	910	2635	70	201	
)	909	2426	71	20	
(	909	2386	71	20	
+	909	2358	71	20	
25973	909	2324	70	153	
)	908	2156	71	20	
224	829	1135	73	94	
MARKAB	830	1001	73	207	
(	831	745	73	21	
EFH	831	727	73	94	
)	831	620	73	21	
2	916	1955	41	11	
3	988	1937	37	10	
:	1030	3595	59	16	
10	1031	3560	59	42	
5	1130	1944	39	11	
:	1448	3590	57	17	
20	1447	3566	55	55	
POO	1323	3217	60	89	
V49	1391	3218	64	102	
MNVR	1390	3081	64	124	
TO	1389	2908	64	60	
OPTICS	1388	2802	64	201	
CALIBRATION	1386	2564	63	362	
ATTITUDE	1383	2156	63	264	
(	1458	3202	68	19	
210,339,330	1458	3180	67	366	
)	1457	2802	68	19	
P23	1532	3218	58	102	
CISLUNAR	1530	3082	57	264	
NAVIGATION	1527	2774	56	336	
OPTICS	1593	3215	69	200	
CALIBRATION	1592	2970	68	358	
STAR	1589	2559	70	116	
N70	1588	2398	70	100	
(	1587	2245	70	20	
00001	1587	2219	69	164	
)	1586	2046	70	20	
S	1481	1111	59	17	
-	1481	1075	59	17	
IVB	1481	1042	60	84	
APS	1482	910	59	92	
MCC	1483	781	59	101	
-	1483	667	59	17	
2	1483	631	59	17	
GET	1551	1124	58	102	
-09	1553	985	58	106	
:	1554	868	57	15	
30	1555	836	57	50	
AV	1619	1116	57	61	
NOM	1620	1018	57	90	
.	1620	902	57	16	
ZERO	1621	844	57	125	
FOV	1698	623	57	96	
=	1698	519	57	16	
1	1698	479	57	16	
°	1698	443	57	16	
GET	1700	1641	55	101	
=	1699	1527	55	15	
10	1699	1459	55	51	
HOURS	1698	1365	55	167	
M	1758	3395	51	14	
u	1867	3406	12	43	
09:30	1856	3679	54	167	
F	1894	3386	48	4	
N	1966	3388	49	4	
o	2089	769	34	23	
0	2217	1337	18	0	
it	2220	1101	40	21	
:	2265	3592	53	15	
40	2265	3564	53	49	
ta	2252	1153	74	81	
பப	2533	3726	139	83	
:	2676	3593	53	15	
50	2676	3565	52	49	
UV	2761	2980	59	76	
PHOTOS	2760	2867	58	203	
E	2935	3782	127	10	
10:00	3092	3660	53	146	
MISSION	3180	3934	57	288	
APOLLO	3264	3937	56	194	
15	3262	3695	57	54	
DAY	3162	1272	57	146	
/	3162	1116	57	16	
REV	3162	1090	57	114	
EDITION	3177	3393	57	263	
FINAL	3255	3465	74	162	
(	3256	3244	73	21	
7/26	3257	3225	73	130	
)	3258	3080	73	21	
DATE	3172	2687	56	174	
TIME	3169	1915	54	159	
6/21/71	3260	2713	66	244	
09:00	3260	2067	60	168	
-	3258	1848	61	18	
10:00	3257	1783	60	156	
FLIGHT	3352	2727	62	243	
PLANNING	3351	2453	61	339	
BRANCH	3349	2049	62	263	
PAGE	3163	792	56	199	
3-14	3253	766	52	120	
1	3259	1167	61	16	
/	3260	1129	61	16	
TLC	3260	1103	62	86	
