content	x	y	w	h	
EMER	1289	190	132	57	
1-19	1297	258	119	56	
00604	487	342	172	85	
Time	739	346	133	84	
from	918	348	115	84	
TIG	1083	350	94	84	
(	1230	352	23	83	
CDH	1254	352	94	84	
)	1356	354	23	83	
to	1433	355	46	83	
TIG	1531	356	82	84	
(	1668	358	23	83	
TPI	1699	358	94	84	
)	1802	359	23	83	
<	815	426	16	57	
10	851	427	51	57	
min	936	427	107	58	
(	754	488	18	71	
G	778	489	18	71	
/	820	490	18	71	
4-6,4-8	842	490	235	76	
)	1094	496	18	71	
00605	505	554	171	85	
Number	747	557	207	85	
of	990	559	61	84	
iterations	1100	560	321	86	
exceeds	1461	564	227	85	
loop	1741	567	115	84	
maximum	804	638	239	68	
(	758	701	18	68	
G	778	701	18	68	
/	827	702	18	68	
4-6,4-8,4-15,4-16	846	702	563	74	
)	1434	709	18	68	
00606	502	764	157	78	
AV	753	767	57	77	
(	865	768	21	77	
CSI	895	768	98	78	
)	989	769	21	77	
has	1056	769	98	78	
been	1188	771	127	78	
>	1365	772	21	77	
1000	1401	773	119	78	
fps	1576	774	86	78	
for	1705	775	87	78	
last	1839	777	127	78	
two	826	844	87	55	
iterations	961	845	323	56	
(	761	908	20	71	
G	783	908	20	71	
/	826	908	20	71	
4-6,4-8	851	908	225	71	
)	1100	908	20	71	
00611	498	974	181	73	
No	755	977	52	71	
TIG	863	978	80	71	
for	999	979	91	72	
given	1137	981	144	72	
ELEV	1328	983	129	72	
angle	1507	984	150	73	
(	762	1044	20	71	
G	786	1044	20	71	
/	828	1044	20	71	
4-10,4-12	853	1045	298	72	
)	1166	1046	20	71	
00612	511	1110	165	78	
State	759	1112	159	78	
vector	963	1113	200	79	
in	1209	1115	39	77	
wrong	1285	1116	185	78	
sphere	1501	1117	200	78	
of	1732	1119	68	77	
influence	1848	1120	286	78	
at	815	1190	73	53	
TIG	929	1187	80	54	
(	762	1254	19	68	
G	782	1254	19	68	
/	831	1253	19	68	
4-15	850	1253	133	68	
)	1003	1252	19	68	
00613	511	1320	172	75	
Reentry	752	1320	232	75	
angle	1037	1320	164	75	
out	1233	1320	93	75	
of	1367	1320	69	75	
limits	1477	1320	183	75	
(	766	1390	22	73	
G	789	1390	22	73	
/	833	1389	22	73	
4-16	859	1389	121	72	
)	1003	1388	22	73	
(	418	1456	23	82	
m	443	1456	23	82	
)	484	1456	23	82	
00777	504	1456	172	82	
ISS	767	1456	83	82	
warning	885	1456	250	82	
caused	1171	1456	194	82	
by	1404	1456	60	82	
PIPA	1500	1456	130	82	
fail	1678	1456	126	82	
(	761	1530	21	71	
G	790	1529	21	71	
&	826	1529	21	71	
N	862	1528	21	71	
6	927	1528	21	71	
)	970	1527	21	71	
.	999	1527	21	71	
01102	503	1598	177	62	
CMC	756	1599	98	61	
self	901	1600	130	61	
test	1063	1600	136	62	
error	1234	1601	169	62	
(	768	1666	20	71	
G	790	1666	20	71	
/	833	1665	20	71	
2-3	867	1665	101	71	
)	970	1665	20	71	
(	419	1736	22	73	
m	441	1736	22	73	
)	485	1735	22	73	
01105	508	1735	174	72	
Downlink	754	1733	265	71	
too	1066	1731	95	72	
fast	1209	1730	133	72	
Rset	756	1798	132	73	
.	901	1798	21	73	
If	973	1798	55	73	
alarm	1068	1798	148	73	
recurs	1274	1798	201	73	
DOWNLINK	1515	1798	253	73	
FAILURE	1817	1798	228	73	
.	2056	1798	21	73	
(	836	1874	19	68	
G	863	1874	19	68	
&	898	1874	19	68	
N	932	1873	19	68	
12	1003	1873	63	68	
)	1077	1873	19	68	
.	1112	1873	19	68	
(	420	1938	24	79	
m	444	1938	24	79	
)	484	1937	24	79	
01106	511	1937	167	78	
Uplink	751	1936	207	78	
too	1003	1934	91	79	
fast	1147	1933	123	79	
Rset	753	2008	139	67	
.	903	2007	19	67	
If	975	2007	51	67	
alarm	1067	2007	156	66	
recurs	1279	2006	191	66	
UPLINK	1511	2005	197	66	
FAILURE	1749	2004	231	66	
.	1991	2003	19	67	
(	838	2080	20	71	
G	859	2080	20	71	
&	902	2080	20	71	
N	931	2080	20	71	
12	1006	2080	65	71	
)	1075	2080	20	71	
.	1111	2080	20	71	
(	423	2146	22	77	
m	445	2146	22	77	
)	493	2145	22	77	
01107	508	2145	173	76	
Phase	763	2144	160	76	
table	975	2142	158	77	
failure	1188	2141	216	76	
-	1421	2140	22	77	
assume	1451	2139	201	76	
erasable	1691	2138	259	75	
memory	818	2222	213	66	
is	1082	2218	52	69	
destroyed	1177	2217	302	65	
If	763	2290	61	65	
Comm	872	2289	118	64	
:	1013	2288	18	65	
1.	1108	2287	60	65	
174	1216	2286	84	65	
CMC	1354	2285	84	65	
DOWNLINK	1484	2284	267	63	
2.	1100	2354	72	65	
P27	1209	2354	90	65	
As	1347	2354	60	65	
Necessary	1444	2354	297	65	
.	1761	2354	18	65	
3.	1113	2416	55	75	
V48	1212	2416	97	75	
As	1346	2416	69	75	
Necessary	1444	2416	302	75	
(	1799	2416	21	75	
146	1826	2416	88	75	
)	1929	2416	21	75	
.	1967	2416	21	75	
4.	1100	2496	76	59	
Reestablish	1210	2495	363	58	
REFSMMAT	1618	2493	269	58	
via	1933	2492	84	58	
P51	1277	2557	102	68	
As	1418	2560	60	66	
Necessary	1518	2561	301	71	
.	1838	2566	18	66	
If	1109	2626	62	70	
FRESH	1217	2627	158	70	
START	1417	2629	160	70	
recurs	1621	2631	192	70	
,	1835	2633	19	69	
CMC	1185	2696	93	72	
FAILURE	1311	2696	233	72	
(	1600	2696	20	72	
SSR	1627	2696	93	72	
-	1732	2696	20	72	
3	1768	2696	20	72	
)	1797	2696	20	72	
.	1834	2696	20	72	
If	769	2776	54	69	
no	860	2774	64	70	
Comm	975	2773	121	69	
,	1119	2771	21	70	
pg	1169	2770	79	70	
G	1276	2769	21	70	
/	1318	2769	21	70	
9-1	1339	2768	112	69	
01301	511	2832	183	77	
Arcsin	764	2832	198	77	
or	1006	2832	58	77	
arccos	1105	2832	205	77	
input	1350	2832	158	77	
is	1563	2832	44	77	
greater	1662	2832	220	77	
than	1929	2832	117	77	
5/12/71	151	2315	63	249	
DATE	-8	2529	64	125	
5/12/71	-5	2361	67	238	
DATE	176	2587	57	127	
one	825	2926	95	39	
Notify	754	2978	212	69	
MSEN	1001	2975	128	70	
,	1150	2973	21	71	
continue	1219	2972	258	69	
.	1488	2969	21	71	
(	428	3038	23	79	
m	452	3038	23	79	
)	492	3038	23	79	
01407	519	3038	165	79	
VG	773	3038	44	79	
increasing	877	3038	331	79	
(	770	3108	22	77	
G	800	3108	22	77	
&	832	3108	22	77	
N	870	3108	22	77	
12	938	3108	58	77	
)	1012	3108	22	77	
.	1042	3108	22	77	
01426	518	3184	162	69	
IMU	778	3184	80	69	
unsatisfactory	899	3184	477	69	
Realign	766	3250	235	74	
or	1043	3248	55	75	
use	1149	3248	96	74	
SCS	1287	3247	96	75	
.	1395	3246	21	75	
