content	x	y	w	h	
EERSTE	537	389	388	73	
CHRISTENE	981	391	589	74	
N	1596	393	20	72	
.	1633	394	20	72	
XXXVI	982	488	254	71	
.	1223	489	20	70	
IA	1939	1143	10	14	
W	1906	1174	26	7	
lills	1446	1630	31	14	
NA	1753	1702	28	10	
9	1816	1705	1	8	
10	336	1760	17	4	
W	818	1784	9	2	
SULULLOVER	1066	1760	19	102	
HUTAN	1510	1806	55	12	
BODI	1573	1806	31	12	
XIA	1752	1779	13	136	
Die	1978	1896	19	40	
Spiridion	594	2084	159	47	
zet	786	2084	53	46	
zijnen	870	2083	94	47	
gaft	995	2083	84	46	
'	1080	2082	13	47	
zwijnen	1106	2082	141	47	
vleesch	1291	2081	134	47	
1	1873	2080	4	17	
.	1883	2080	4	17	
Luka	1899	2079	65	16	
ok	1906	2084	43	29	
36	1966	2084	32	29	
Ô	379	2214	17	58	
Disgenoot	423	2215	243	60	
!	668	2217	17	58	
'	710	2219	17	58	
t	727	2219	17	58	
is	763	2219	34	58	
tot	822	2220	59	58	
geen	906	2220	99	60	
ergernis	1040	2222	175	60	
of	1239	2225	43	58	
ſmaad	1292	2225	135	60	
,	1441	2227	17	58	
Dat	316	2282	88	62	
u	423	2282	17	62	
Spiridion	472	2283	194	62	
op	705	2284	45	62	
zwynsvleeſch	771	2284	301	63	
wil	1097	2285	70	62	
onthaalen	1190	2286	209	62	
:	1412	2287	17	62	
Zyt	376	2345	85	66	
dan	475	2347	75	65	
geruſt	590	2348	130	66	
,	730	2350	19	65	
en	775	2350	49	65	
neem	847	2350	102	66	
dit	992	2352	58	66	
voedſel	1078	2353	165	67	
in	1259	2355	37	65	
deez	1320	2356	104	66	
'	1430	2357	19	65	
ſtaat	1464	2357	96	66	
.	1562	2358	19	65	
De	309	2408	82	64	
damp	407	2409	125	65	
van	554	2411	72	64	
'	644	2412	19	63	
t	664	2412	19	63	
bygeloof	697	2413	204	65	
moet	910	2416	122	64	
zwichten	1049	2418	201	65	
voor	1282	2421	99	63	
de	1401	2423	59	63	
ſtraalen	1483	2423	151	66	
,	1655	2426	19	63	
Van	366	2476	91	64	
Jezus	489	2478	116	64	
liefdewet	624	2479	217	66	
,	850	2482	19	63	
die	897	2482	63	64	
geene	986	2484	133	64	
ſpys	1136	2485	89	64	
verbied	1249	2487	162	65	
,	1423	2489	19	63	
Als	365	2536	72	73	
maar	456	2537	115	73	
'	588	2539	21	72	
t	602	2539	21	72	
gebruik	655	2539	154	74	
met	843	2541	93	73	
lof	955	2543	62	72	
en	1041	2544	41	72	
matigheid	1116	2544	222	74	
geſchied	1370	2547	172	74	
.	1559	2549	21	72	
