content	x	y	w	h	
No	269	539	78	85	
.	343	539	24	85	
1	412	539	24	85	
.	438	539	24	85	
Pilgrim	774	535	194	84	
Stranger	1051	539	233	85	
.	1300	542	22	82	
Words	347	633	115	46	
by	474	633	42	46	
C	538	633	13	46	
.	557	633	13	46	
A	590	633	13	46	
.	613	633	13	46	
TINDLEY	648	633	155	46	
,	803	633	13	46	
D	839	633	13	46	
.	862	633	13	46	
D	890	633	13	46	
.	914	633	13	46	
Scotch	993	633	104	46	
Melody	1113	633	131	46	
arr	1261	633	50	46	
.	1313	633	13	46	
by	1338	633	43	46	
WM	1393	633	76	46	
.	1468	633	13	46	
D	1501	633	13	46	
.	1529	633	13	46	
SMITH	1555	633	106	46	
.	1670	633	13	46	
1	393	866	11	40	
.	410	866	11	40	
Go	441	866	52	40	
ye	555	866	36	40	
hum	624	866	63	40	
-	705	866	11	40	
ble	714	866	52	40	
2	396	909	9	34	
.	410	909	9	34	
If	448	909	25	34	
your	529	909	80	34	
way	629	909	64	34	
is	729	909	19	34	
3	394	946	9	35	
.	409	946	9	35	
When	442	946	95	35	
dis	564	946	45	35	
-	614	946	9	35	
cour	626	946	76	35	
-	704	946	9	35	
aged	715	946	72	35	
4	394	986	11	42	
.	412	986	11	42	
If	451	986	23	42	
you	529	986	60	42	
chance	614	986	105	42	
to	743	986	23	42	
pil	841	866	46	40	
-	902	866	11	40	
grim	936	866	62	40	
stran	1034	866	73	40	
-	1119	866	11	40	
ger	1135	866	51	40	
,	1185	866	11	40	
Thro	1227	866	72	40	
'	1308	866	11	40	
this	1332	866	60	40	
world	1404	866	94	40	
of	1547	866	36	40	
woe	1618	866	69	40	
,	1689	866	11	40	
dark	827	909	69	34	
and	946	909	58	34	
lone	1039	909	71	34	
-	1114	909	9	34	
ly	1141	909	25	34	
,	1170	909	9	34	
He	1239	909	56	34	
will	1325	909	68	34	
be	1432	909	38	34	
your	1517	909	80	34	
guide	1612	909	93	34	
,	1705	909	9	34	
and	834	946	61	35	
for	951	946	45	35	
-	1013	946	9	35	
sak	1041	946	45	35	
-	1107	946	9	35	
en	1133	946	32	35	
,	1172	946	9	35	
Run	1231	946	65	35	
to	1339	946	26	35	
Him	1414	946	59	35	
in	1534	946	26	35	
pray	1604	946	74	35	
'	1683	946	9	35	
r	1697	946	9	35	
,	1712	946	9	35	
find	839	986	56	42	
a	962	986	11	42	
stran	1017	986	78	42	
-	1104	986	11	42	
ger	1127	986	54	42	
,	1181	986	11	42	
Put	1237	986	60	42	
him	1320	986	48	42	
in	1435	986	23	42	
the	1521	986	55	42	
way	1615	986	67	42	
,	1685	986	11	42	
HAN	386	1153	31	64	
You	388	1370	63	40	
may	490	1370	76	40	
meet	576	1370	86	40	
with	675	1370	67	40	
manya	777	1370	174	40	
dan	979	1370	52	40	
-	1052	1370	11	40	
ger	1073	1370	52	40	
,	1130	1370	11	40	
Ev	1198	1370	45	40	
-	1261	1370	11	40	
'	1285	1370	11	40	
ry	1301	1370	29	40	
-	1339	1370	11	40	
where	1358	1370	105	40	
you	1492	1370	58	40	
go	1637	1377	34	31	
.	1676	1377	8	31	
He	388	1414	52	31	
is	510	1414	22	31	
,	537	1414	8	31	
though	557	1414	117	31	
so	696	1414	23	31	
meek	775	1414	86	31	
and	898	1414	58	31	
low	984	1414	48	31	
-	1059	1414	8	31	
ly	1082	1414	28	31	
,	1119	1414	8	31	
More	1167	1414	91	31	
than	1274	1414	71	31	
all	1390	1414	49	31	
be	1499	1414	35	31	
-	1574	1414	8	31	
side	1620	1414	65	31	
.	1689	1414	8	31	
Nev	378	1454	71	31	
-	470	1454	8	31	
er	498	1454	34	31	
has	574	1454	57	31	
been	663	1454	70	31	
one	789	1454	59	31	
o	902	1454	8	31	
'	915	1454	8	31	
er	932	1454	28	31	
-	966	1454	8	31	
tak	986	1454	49	31	
-	1059	1454	8	31	
en	1085	1454	29	31	
,	1123	1454	8	31	
Who	1177	1454	79	31	
re	1290	1454	28	31	
-	1343	1454	8	31	
sort	1386	1454	64	31	
-	1465	1454	8	31	
ed	1496	1454	35	31	
there	1610	1454	86	31	
.	1702	1454	8	31	
Tell	390	1490	59	35	
him	479	1490	50	35	
how	571	1490	60	35	
to	689	1490	19	35	
flee	793	1490	49	35	
the	903	1490	50	35	
dan	984	1490	56	35	
-	1059	1490	9	35	
ger	1081	1490	49	35	
,	1135	1490	9	35	
While	1155	1490	112	35	
it	1296	1490	25	35	
is	1405	1490	19	35	
called	1471	1490	93	35	
day	1629	1490	55	35	
.	1689	1490	9	35	
st	343	1796	31	52	
Don	376	1873	61	38	
'	445	1873	10	38	
t	460	1873	10	38	
for	514	1873	44	38	
-	565	1873	10	38	
get	596	1873	49	38	
that	662	1873	72	38	
When	361	1914	97	35	
the	507	1914	55	36	
world	574	1915	91	35	
in	691	1915	20	35	
When	360	1954	97	35	
the	506	1954	55	36	
storms	578	1955	112	35	
of	699	1955	32	35	
Tell	385	1994	68	35	
him	496	1994	51	36	
there	578	1995	85	35	
'	666	1995	9	35	
s	680	1995	9	35	
a	709	1995	9	35	
