content	x	y	w	h	
13	1033	210	30	38	
Liber	403	196	101	39	
I.	557	198	20	38	
Haud	120	252	82	53	
timeam	216	254	102	53	
magni	336	256	105	53	
dixiſſe	440	257	99	53	
palatia	548	259	100	53	
cæli	660	260	57	53	
.	717	261	13	52	
Ergo	122	306	66	48	
vbi	201	306	48	49	
marmoreo	243	307	161	48	
ſuperi	414	308	88	48	
ſedérereceſſu	505	308	193	49	
,	706	309	13	48	
Celſior	127	352	101	55	
ipſe	229	352	61	55	
loco	293	352	50	55	
,	347	352	15	55	
fceptrog	360	352	126	55	
innixus	502	352	111	55	
eburno	617	352	102	55	
,	723	352	15	55	
Terrificam	131	401	139	52	
capitis	295	403	101	51	
concußit	402	404	126	51	
terg	539	405	57	51	
,	600	406	13	50	
quaterſ	621	406	113	51	
Cæſariem	123	452	128	53	
,	264	452	15	53	
cum	282	452	45	53	
quaterram	349	452	156	53	
,	524	452	15	53	
mare	529	452	82	53	
,	615	452	15	53	
fidera	629	452	81	53	
mouit	720	452	91	53	
.	815	452	15	53	
FAB	304	538	82	37	
.	388	539	10	36	
VIII	422	539	90	36	
.	506	539	10	36	
ARGVMENTVM	541	540	302	38	
.	858	542	10	36	
Lycaon	171	612	129	44	
Arcadiæ	314	613	131	43	
rex	465	614	50	43	
,	524	614	12	43	
cùm	545	614	55	43	
aduenas	622	614	139	44	
&	779	615	12	43	
hofpites	805	615	139	44	
truci	959	616	96	43	
daret	118	652	94	48	
,	207	653	13	47	
Iupiter	223	653	112	47	
fimulata	348	653	140	48	
hominis	497	654	145	48	
fpecie	649	655	94	48	
,	745	656	13	47	
ad	756	656	43	47	
eius	806	656	68	47	
regiam	884	656	94	48	
ac	1009	657	46	47	
cedit	123	694	75	46	
,	202	695	12	45	
cui	215	695	55	45	
tanquam	269	695	138	46	
mortali	427	696	140	46	
necem	571	697	90	46	
Tyrannus	691	698	170	46	
præparans	867	699	178	46	
,	1043	700	12	45	
humana	115	734	149	50	
prius	265	734	94	50	
membra	356	734	151	50	
deuoranda	515	734	180	50	
,	696	734	14	50	
velut	708	734	89	50	
hoſpitali	805	734	147	50	
huma	960	734	104	50	
nitate	115	778	98	45	
,	215	778	12	45	
proponit	227	778	156	45	
.	381	778	12	45	
Quod	409	778	93	45	
cùm	515	778	52	45	
Iupiter	598	778	114	45	
ſentiret	722	778	126	45	
,	849	778	12	45	
eum	864	778	58	45	
non	943	778	65	45	
pe	1017	778	41	45	
nitus	115	815	96	47	
interemit	215	815	161	47	
,	373	815	13	47	
ſed	388	815	47	47	
in	446	815	26	47	
lupi	487	815	72	47	
formam	564	815	125	47	
conuertit	719	815	161	47	
.	877	815	13	47	
Talibus	210	1616	116	52	
inde	328	1617	64	52	
modis	394	1618	96	51	
ora	493	1618	44	52	
indignantia	552	1619	172	52	
foluit	732	1620	85	52	
:	821	1621	14	51	
Non	986	1680	60	32	
