content	x	y	w	h	
4	422	274	1	49	
Continued	2451	274	325	61	
.	2793	272	18	63	
RUDIMENTS	1354	270	460	65	
OF	1884	272	103	63	
MUSIC	2040	272	229	65	
.	2296	272	18	65	
The	418	366	71	51	
Semi	516	367	101	51	
-	612	367	14	51	
breve	624	367	114	52	
is	758	368	27	51	
now	811	369	67	51	
the	920	369	57	51	
longest	1002	370	138	51	
note	1164	371	88	51	
in	1272	371	29	51	
music	1332	372	115	51	
and	1471	373	73	51	
is	1577	373	18	51	
called	1631	373	102	52	
a	1772	374	14	51	
measure	1809	375	171	51	
TREBLE	2222	427	175	39	
note	316	448	88	45	
.	405	448	12	45	
There	470	448	110	45	
are	605	448	63	45	
certain	692	448	129	45	
modes	845	448	133	45	
of	1005	448	41	45	
TIME	1074	448	90	45	
that	1186	448	84	45	
takes	1290	448	104	45	
a	1426	448	12	45	
dotted	1469	448	123	45	
semi	1622	448	102	45	
-	1715	448	12	45	
breve	1724	448	112	45	
to	1868	448	25	45	
fill	1934	448	47	45	
FLOW	2672	378	124	40	
OF	2838	378	59	40	
MELODY	2915	378	223	40	
.	3145	378	11	40	
a	325	547	9	35	
measure	356	547	171	35	
.	533	547	9	35	
LEADING	711	606	230	38	
NOTE	981	607	133	38	
AND	1153	608	106	37	
KEY	1297	609	100	37	
NOTE	1433	609	137	38	
.	1581	610	10	37	
In	413	681	38	50	
each	480	682	75	50	
tune	589	682	82	51	
written	690	683	135	51	
on	857	684	37	50	
the	925	685	57	50	
staff	1000	685	88	51	
there	1114	686	102	50	
is	1236	687	28	50	
a	1287	687	14	50	
leading	1328	687	147	51	
note	1493	688	84	51	
and	1595	689	72	51	
key	1684	690	72	50	
note	1778	690	84	51	
.	1868	691	14	50	
The	423	762	62	49	
leading	514	762	141	50	
note	679	763	90	49	
is	794	763	27	50	
always	853	764	131	49	
on	1013	764	36	49	
some	1083	765	104	49	
one	1208	765	70	49	
line	1300	765	71	50	
or	1398	766	36	49	
space	1463	766	106	49	
of	1596	766	45	50	
the	1664	767	64	49	
music	1740	767	117	49	
staff	1888	768	87	49	
and	318	840	69	49	
so	415	840	36	49	
is	482	841	27	49	
the	530	841	63	49	
key	606	841	70	49	
note	702	841	84	50	
.	786	842	14	49	
When	822	842	109	49	
the	962	842	63	50	
leading	1042	843	148	49	
note	1208	843	88	50	
is	1316	844	27	49	
discovered	1368	844	203	50	
,	1581	845	14	49	
then	1616	845	75	49	
the	1726	845	57	49	
key	1802	845	64	50	
note	1892	846	89	49	
ALTO	2255	776	115	35	
is	323	928	28	52	
on	374	928	38	52	
the	445	929	60	52	
next	526	929	88	52	
line	636	929	70	53	
or	729	930	39	52	
space	793	930	105	52	
above	925	930	113	53	
or	1063	931	38	52	
below	1125	931	104	53	
it	1267	932	29	52	
,	1298	932	14	52	
and	1328	932	75	52	
wherever	1427	932	178	53	
you	1630	933	67	52	
find	1730	934	68	52	
the	1828	934	60	52	
key	1909	934	60	52	
Melody	2747	452	152	53	
is	2924	452	30	53	
known	2974	452	132	53	
to	3135	452	29	53	
be	3190	452	49	53	
a	3264	452	15	53	
succession	3307	452	195	53	
of	3532	452	39	53	
harmo	3595	452	143	53	
nies	2660	516	78	36	
in	2760	517	26	35	
a	2819	518	9	35	
tune	2854	518	92	36	
.	2948	519	9	35	
When	2750	567	112	55	
harmonic	2899	568	187	55	
