content	x	y	w	h	
RUDIMENTS	952	497	431	54	
SHARPS	611	587	189	35	
AND	824	590	104	32	
FLATS.	953	592	160	32	
The	176	662	72	34	
following	268	660	175	43	
questions	462	663	172	39	
apply	657	662	106	42	
to	784	666	38	28	
the	842	665	55	30	
keys:	918	665	98	41	
l.	178	717	30	31	
NO	230	714	55	32	
sharps	309	714	120	42	
nor	454	724	62	20	
flats,	539	714	89	37	
give	654	715	74	41	
the	753	716	56	30	
key	834	716	65	41	
in	923	718	34	29	
major	981	718	117	41	
and	1123	720	68	30	
minor.	1214	721	119	31	
2.	176	768	31	33	
One	229	766	73	34	
sharp,	328	765	115	43	
give	470	766	74	42	
the	572	765	56	33	
key	654	767	66	41	
in	746	769	35	30	
major	808	769	116	40	
and	952	772	67	29	
minor.	1047	773	120	30	
3.	175	821	32	32	
Two	229	819	80	32	
sharps,	328	818	132	43	
give	478	819	74	42	
the	570	817	57	34	
key	644	819	66	42	
in	727	820	36	30	
major	780	821	116	40	
and	914	823	68	29	
minor.	1001	824	118	30	
OF	1437	501	92	51	
major	1401	1430	117	41	
MUSIC.	1591	502	237	56	
Continued.	1960	504	334	52	
5.	1793	598	29	29	
What	1846	597	103	31	
is	1972	598	28	30	
the	2024	597	56	30	
key	2102	597	65	40	
note	2190	601	78	30	
and	2292	599	67	31	
letter	2382	599	102	32	
of	2506	600	39	30	
five	2566	601	63	31	
flats?	2653	601	99	32	
6.	1795	640	29	29	
What	1846	639	105	30	
is	1973	640	28	29	
the	2025	639	57	31	
key	2104	639	64	40	
note	2192	643	79	28	
and	2296	641	67	30	
letter	2386	642	103	30	
of	2512	643	38	29	
six	2573	644	51	29	
flats?	2646	643	98	31	
7.	1795	682	28	29	
What	1846	681	104	30	
is	1974	682	28	30	
the	2028	682	56	29	
key	2109	681	64	40	
note	2198	685	79	27	
and	2302	684	67	30	
letter	2393	684	102	30	
of	2520	685	39	29	
seven	2583	694	99	22	
flats?	2707	685	99	31	
Note—lf	1793	723	172	30	
seven	1990	732	99	22	
notes	2114	726	95	28	
are	2237	734	57	22	
used,	2320	725	94	36	
the	2439	726	56	31	
same	2520	736	91	21	
key	2636	727	64	40	
note	2725	730	78	29	
will	2828	727	68	31	
apply.	2921	727	118	45	
LOCATING	2019	765	246	33	
THE	2300	767	100	31	
KEYS—MAJOR	2437	767	332	35	
KEYS.	2805	770	136	32	
13	3159	514	65	52	
4.	175	873	31	32	
5.	169	926	31	32	
6.	169	977	29	33	
7.	175	1030	30	33	
8.	169	1082	30	33	
9.	167	1125	31	33	
10.	150	1168	48	32	
ll.	150	1211	49	31	
13.	151	1296	49	32	
14.	154	1341	46	29	
15.	154	1383	46	29	
Three	228	872	109	33	
sharps,	358	871	132	42	
give	511	870	73	43	
the	605	870	58	35	
key	682	873	66	41	
in	768	874	35	30	
major	825	874	115	40	
and	962	876	68	30	
minor.	1051	878	119	30	
Four	222	924	94	33	
sharps,	337	923	132	43	
give	491	923	75	42	
the	588	924	56	32	
key	665	925	65	41	
in	752	927	36	29	
major	810	927	117	40	
and	951	928	67	30	
minor.	1041	930	119	31	
Five	223	976	81	33	
sharps,	328	975	133	43	
give	486	975	75	44	
the	587	977	57	33	
key	667	978	67	41	
in	759	979	34	30	
major	818	980	116	40	
and	961	981	66	30	
minor.	1053	982	119	31	
Six	226	1028	60	34	
sharps,	307	1027	134	45	
give	464	1031	74	40	
the	561	1029	57	32	
key	640	1030	66	43	
in	729	1031	36	30	
major	788	1032	118	40	
and	930	1033	67	30	
minor.	1021	1035	117	30	
Seven	222	1079	107	36	
sharps,	353	1080	132	43	
give	511	1084	74	40	
the	609	1083	56	32	
key	689	1083	66	41	
in	779	1085	34	29	
major	839	1085	116	40	
and	981	1086	67	30	
minor.	1073	1088	120	30	
One	219	1127	74	31	
flat,	317	1122	72	40	
give	412	1127	74	40	
the	509	1127	57	31	
key	589	1126	65	41	
in	677	1127	35	29	
major	735	1127	118	40	
and	877	1128	67	30	
minor.	967	1130	120	29	
TWO	222	1170	80	29	
flats,	328	1168	90	37	
give	446	1170	74	39	
the	546	1169	56	30	
key	629	1169	65	40	
in	719	1170	35	29	
major	780	1169	116	40	
and	922	1170	68	30	
minor.	1018	1171	118	31	
Three	221	1208	109	34	
flats,	353	1211	90	37	
give	468	1212	75	40	
the	566	1212	57	31	
key	646	1211	65	41	
in	736	1214	35	29	
major	795	1211	116	41	
and	938	1213	67	30	
minor.	1029	1215	119	29	
Four	223	1250	94	34	
flats,	351	1254	90	37	
give	474	1255	75	40	
the	582	1255	57	30	
key	672	1254	66	42	
in	771	1253	35	32	
major	838	1254	116	41	
and	989	1256	68	31	
minor.	1091	1256	119	33	
Five	224	1297	81	30	
flats,	334	1297	90	36	
give	453	1298	74	39	
the	555	1295	56	34	
key	639	1295	66	43	
in	731	1297	36	31	
major	794	1298	117	40	
and	941	1299	67	31	
