content	x	y	w	h	
101	629	5737	77	118	
:	631	5602	76	21	
20	631	5561	77	69	
*	732	3248	40	11	
*	727	4940	77	21	
COPY	727	4909	77	181	
AGS	727	4680	77	132	
K	727	4504	77	22	
FACTOR	726	4418	77	256	
*	821	4943	78	21	
V47E	821	4900	79	169	
65.2	965	1507	64	174	
*	1018	3218	11	41	
*	1110	3217	11	41	
*	1198	3217	11	41	
*	1286	3216	11	41	
DATE	630	280	176	101	
67747777	853	274	377	95	
/	1230	264	33	105	
13	1253	264	60	104	
/	1326	262	33	104	
7	1348	260	32	105	
/	1380	260	33	105	
*	1128	504	12	41	
*	1216	502	11	40	
*	1488	540	13	45	
*	1403	542	13	45	
*	1535	3246	37	9	
AGS	640	3564	75	118	
ACTIVATION	640	3390	74	426	
TO	638	2899	76	69	
BACKSIDE	638	2771	76	342	
101	726	3036	74	126	
:	726	2896	74	21	
35	726	2863	74	68	
CSM	760	2732	73	127	
CIRCULARIZATION	760	2551	70	652	
(	746	1064	90	25	
101	746	1021	90	116	
:	746	886	90	26	
34	746	839	89	68	
:	745	754	90	26	
55	745	709	90	67	
)	745	625	90	25	
*	818	3248	45	12	
P76	848	2546	89	117	
(	847	2358	90	26	
UPDATE	846	2327	89	266	
CSM	844	2008	89	119	
S.V.	842	1820	90	161	
)	841	1645	90	26	
,	841	1600	90	26	
PRO	840	1524	90	129	
CM	895	1102	61	89	
V82	932	2548	83	130	
,	932	2400	83	24	
N12-00002	932	2324	82	402	
,	931	1913	83	24	
PRO	931	1834	83	118	
65.2	978	1139	69	206	
VCSM	1013	2542	89	163	
HA	1018	2328	87	92	
/	1020	2225	86	22	
HP	1021	2188	86	77	
54.	1056	1510	83	136	
&	1060	1334	80	21	
*	1114	2225	75	22	
PCM	1114	2195	74	129	
-	1112	2002	76	22	
HI	1111	1928	76	95	
54.6	1078	1146	81	184	
*	1201	2226	79	24	
V47	1200	2184	79	115	
,	1199	2041	79	23	
414	1199	1969	77	125	
+	1198	1824	79	24	
1	1196	1776	79	24	
SR	1276	2942	68	75	
V83	1289	2545	83	134	
,	1288	2402	85	24	
SET	1286	2321	85	134	
ORDEAL	1285	2152	83	264	
101	1373	2929	68	118	
*	1379	2228	82	24	
317R	1379	2186	81	163	
,	1378	2002	82	25	
440R	1376	1914	82	160	
,	1375	1733	83	25	
PCM	1375	1655	82	120	
-	1374	1464	83	25	
LO	1373	1386	82	76	
+41	1458	2934	71	121	
*	1465	2226	68	20	
VHF	1464	2164	68	146	
ANT-	1463	1985	67	228	
AFT	1460	1714	67	176	
AGS	1558	2717	73	128	
CALIBRATION	1556	2536	72	472	
*	1642	2225	77	22	
READ	1642	2194	76	171	
AND	1640	1958	77	122	
RECORD	1639	1790	77	260	
INITIAL	1638	1468	77	280	
CAL.NOS	1636	1124	76	307	
.	1634	799	78	22	
PGNS	1736	2544	79	175	
MODE	1734	2324	80	175	
CONT	1733	2093	79	165	
-	1732	1871	80	24	
ATT	1730	1789	79	126	
HOLD	1729	1616	79	178	
*	1822	2222	82	24	
VERIFY	1822	2185	80	264	
25	1819	1876	83	77	
MIN	1818	1752	83	130	
SINCE	1817	1567	81	214	
TURN	1816	1292	81	157	
-	1814	1114	83	25	
ON	1814	1076	82	76	
V60	1916	2543	81	131	
,	1914	2395	82	25	
V76	1913	2317	81	120	
,	1910	2177	83	25	
V16N20E	1909	2101	79	311	
RATES	2003	2536	81	215	
<	2000	2262	83	25	
0.075	2000	2183	81	211	
°	1998	1951	83	24	
/	1998	1909	83	24	
SEC	1998	1873	81	131	
*	2087	2225	81	24	
400	2086	2182	81	118	
+	2084	2044	82	24	
6	2084	2002	82	24	
,	2084	1952	82	23	
START	2083	1867	80	212	
WATCH	2081	1614	80	220	
*	2178	2225	71	21	
400R	2177	2182	69	169	
MONITOR	2263	2195	82	313	
ICDU	2260	1812	83	149	
LIMITS	2258	1607	83	261	
OGA	2352	2046	88	129	
+31500	2350	1867	88	244	
/	2347	1552	90	26	
+00000	2346	1463	88	246	
IGA	2447	2044	83	125	
+00000	2444	1873	81	266	
/	2441	1555	85	25	
+04500	2440	1463	81	248	
LIMITS	2435	1106	81	262	
MGA	2524	2048	89	125	
+00000	2522	1870	89	256	
/	2521	1554	90	26	
+04500	2521	1465	89	253	
,	2520	1217	90	26	
*	997	4940	77	21	
V25E	997	4902	77	170	
LOAD	997	4680	77	167	
AGS	996	4451	77	121	
K	996	4277	77	22	
FACTOR	996	4188	77	252	
UPDATE	996	3888	77	262	
*	1086	4940	78	21	
414	1086	4901	78	121	
